
Track Intensity Center Mean Ch=3 Img=1
 ==================== 
Track Intensity Center Mean,Unit,Category,Channel,Image,ID,
226.611,,Track,3,Image 1,1000000051,
233.091,,Track,3,Image 1,1000000094,
240.842,,Track,3,Image 1,1000000192,
217.6,,Track,3,Image 1,1000000195,
233.111,,Track,3,Image 1,1000000198,
225.125,,Track,3,Image 1,1000000261,
239.733,,Track,3,Image 1,1000000277,
225.154,,Track,3,Image 1,1000000292,
231,,Track,3,Image 1,1000000307,
224.667,,Track,3,Image 1,1000000330,
225.565,,Track,3,Image 1,1000000371,
227.167,,Track,3,Image 1,1000000372,
223.478,,Track,3,Image 1,1000000401,
222.5,,Track,3,Image 1,1000000456,
224.941,,Track,3,Image 1,1000000469,
218.545,,Track,3,Image 1,1000000496,
