
Track Intensity Max Ch=1 Img=1
 ==================== 
Track Intensity Max,Unit,Category,Channel,Image,ID,
288,,Track,1,Image 1,1000000051,
296,,Track,1,Image 1,1000000094,
292,,Track,1,Image 1,1000000192,
286,,Track,1,Image 1,1000000195,
282,,Track,1,Image 1,1000000198,
276,,Track,1,Image 1,1000000261,
312,,Track,1,Image 1,1000000277,
268,,Track,1,Image 1,1000000292,
300,,Track,1,Image 1,1000000307,
278,,Track,1,Image 1,1000000330,
292,,Track,1,Image 1,1000000371,
254,,Track,1,Image 1,1000000372,
280,,Track,1,Image 1,1000000401,
276,,Track,1,Image 1,1000000456,
252,,Track,1,Image 1,1000000469,
248,,Track,1,Image 1,1000000496,
