
Track Intensity Mean Ch=2 Img=1
 ==================== 
Track Intensity Mean,Unit,Category,Channel,Image,ID,
319.139,,Track,2,Image 1,1000000051,
307.281,,Track,2,Image 1,1000000094,
364.257,,Track,2,Image 1,1000000192,
309.739,,Track,2,Image 1,1000000195,
334.06,,Track,2,Image 1,1000000198,
302.46,,Track,2,Image 1,1000000261,
464.748,,Track,2,Image 1,1000000277,
314.928,,Track,2,Image 1,1000000292,
363.45,,Track,2,Image 1,1000000307,
325.594,,Track,2,Image 1,1000000330,
345.496,,Track,2,Image 1,1000000371,
291.064,,Track,2,Image 1,1000000372,
344.226,,Track,2,Image 1,1000000401,
311.095,,Track,2,Image 1,1000000456,
298.654,,Track,2,Image 1,1000000469,
281.094,,Track,2,Image 1,1000000496,
