
Track Intensity Min Ch=3 Img=1
 ==================== 
Track Intensity Min,Unit,Category,Channel,Image,ID,
162,,Track,3,Image 1,1000000051,
172,,Track,3,Image 1,1000000094,
0,,Track,3,Image 1,1000000192,
148,,Track,3,Image 1,1000000195,
0,,Track,3,Image 1,1000000198,
162,,Track,3,Image 1,1000000261,
168,,Track,3,Image 1,1000000277,
152,,Track,3,Image 1,1000000292,
150,,Track,3,Image 1,1000000307,
156,,Track,3,Image 1,1000000330,
156,,Track,3,Image 1,1000000371,
0,,Track,3,Image 1,1000000372,
164,,Track,3,Image 1,1000000401,
162,,Track,3,Image 1,1000000456,
150,,Track,3,Image 1,1000000469,
122,,Track,3,Image 1,1000000496,
