
Track Intensity StdDev Ch=1 Img=1
 ==================== 
Track Intensity StdDev,Unit,Category,Channel,Image,ID,
9.09624,,Track,1,Image 1,1000000051,
12.9755,,Track,1,Image 1,1000000094,
28.1723,,Track,1,Image 1,1000000192,
9.37353,,Track,1,Image 1,1000000195,
30.1044,,Track,1,Image 1,1000000198,
9.50544,,Track,1,Image 1,1000000261,
11.9949,,Track,1,Image 1,1000000277,
9.784,,Track,1,Image 1,1000000292,
11.6308,,Track,1,Image 1,1000000307,
9.38408,,Track,1,Image 1,1000000330,
9.94021,,Track,1,Image 1,1000000371,
25.9493,,Track,1,Image 1,1000000372,
9.33517,,Track,1,Image 1,1000000401,
8.33687,,Track,1,Image 1,1000000456,
8.21415,,Track,1,Image 1,1000000469,
7.94531,,Track,1,Image 1,1000000496,
