
Track Intensity Sum Ch=3 Img=1
 ==================== 
Track Intensity Sum,Unit,Category,Channel,Image,ID,
7.67997e+07,,Track,3,Image 1,1000000051,
2.38952e+07,,Track,3,Image 1,1000000094,
4.20885e+07,,Track,3,Image 1,1000000192,
5.3416e+07,,Track,3,Image 1,1000000195,
3.93306e+07,,Track,3,Image 1,1000000198,
3.4009e+07,,Track,3,Image 1,1000000261,
3.38298e+07,,Track,3,Image 1,1000000277,
5.56837e+07,,Track,3,Image 1,1000000292,
2.60612e+07,,Track,3,Image 1,1000000307,
2.58817e+07,,Track,3,Image 1,1000000330,
4.8946e+07,,Track,3,Image 1,1000000371,
2.42127e+07,,Track,3,Image 1,1000000372,
4.91479e+07,,Track,3,Image 1,1000000401,
4.22397e+07,,Track,3,Image 1,1000000456,
3.19356e+07,,Track,3,Image 1,1000000469,
2.29345e+07,,Track,3,Image 1,1000000496,
