
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
4.54302,22.0802,22.75,µm,Track,Track Position Start,1000000051,
9.3465,26.5492,11.1185,µm,Track,Track Position Start,1000000094,
10.0905,25.8202,6.55537,µm,Track,Track Position Start,1000000192,
27.3353,34.5286,18.75,µm,Track,Track Position Start,1000000195,
12.6015,21.6634,6.02819,µm,Track,Track Position Start,1000000198,
27.7605,23.3559,27.6478,µm,Track,Track Position Start,1000000261,
40.5015,46.7592,35.4024,µm,Track,Track Position Start,1000000277,
53.0906,29.3943,19.25,µm,Track,Track Position Start,1000000292,
27.7,24,26,µm,Track,Track Position Start,1000000307,
37.4816,19.4835,7.38789,µm,Track,Track Position Start,1000000330,
31.8347,36.6885,33.6284,µm,Track,Track Position Start,1000000371,
35,20.4,18,µm,Track,Track Position Start,1000000372,
36.5064,37.7115,35.7783,µm,Track,Track Position Start,1000000401,
35.2034,18.9255,40.3135,µm,Track,Track Position Start,1000000456,
32.0385,20.2653,44.6686,µm,Track,Track Position Start,1000000469,
23.4345,17.5305,31.9428,µm,Track,Track Position Start,1000000496,
