
Track Shortest Distance to Spots Min Spots=Cell-Soma
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
3.67255,µm,Track,Cell-Soma,1000000051,
4.04054,µm,Track,Cell-Soma,1000000094,
5.04905,µm,Track,Cell-Soma,1000000192,
4.851,µm,Track,Cell-Soma,1000000195,
4.08055,µm,Track,Cell-Soma,1000000198,
1.95382,µm,Track,Cell-Soma,1000000261,
6.07638,µm,Track,Cell-Soma,1000000277,
5.22621,µm,Track,Cell-Soma,1000000292,
1.31576,µm,Track,Cell-Soma,1000000307,
7.33027,µm,Track,Cell-Soma,1000000330,
2.91539,µm,Track,Cell-Soma,1000000371,
3.95128,µm,Track,Cell-Soma,1000000372,
5.54832,µm,Track,Cell-Soma,1000000401,
4.44269,µm,Track,Cell-Soma,1000000456,
2.43683,µm,Track,Cell-Soma,1000000469,
9.31472,µm,Track,Cell-Soma,1000000496,
