
Track Shortest Distance to Spots Min Spots=Phagosomes Selection
 ==================== 
Track Shortest Distance to Spots Min,Unit,Category,Spots,ID,
0,µm,Track,Phagosomes Selection,1000000051,
0,µm,Track,Phagosomes Selection,1000000094,
0,µm,Track,Phagosomes Selection,1000000192,
0,µm,Track,Phagosomes Selection,1000000195,
0,µm,Track,Phagosomes Selection,1000000198,
0,µm,Track,Phagosomes Selection,1000000261,
0,µm,Track,Phagosomes Selection,1000000277,
0,µm,Track,Phagosomes Selection,1000000292,
0,µm,Track,Phagosomes Selection,1000000307,
0,µm,Track,Phagosomes Selection,1000000330,
0,µm,Track,Phagosomes Selection,1000000371,
0,µm,Track,Phagosomes Selection,1000000372,
0,µm,Track,Phagosomes Selection,1000000401,
0,µm,Track,Phagosomes Selection,1000000456,
3.40282e+38,µm,Track,Phagosomes Selection,1000000469,
3.40282e+38,µm,Track,Phagosomes Selection,1000000496,
