
Track Straightness
 ==================== 
Track Straightness,Unit,Category,ID,
0.253993,,Track,1000000051,
0.645259,,Track,1000000094,
0.555417,,Track,1000000192,
0.319956,,Track,1000000195,
0.532683,,Track,1000000198,
0.270118,,Track,1000000261,
0.759289,,Track,1000000277,
0.335488,,Track,1000000292,
0.532766,,Track,1000000307,
0.476422,,Track,1000000330,
0.617693,,Track,1000000371,
0.669268,,Track,1000000372,
0.6377,,Track,1000000401,
0.481938,,Track,1000000456,
0.712306,,Track,1000000469,
0.895144,,Track,1000000496,
