
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
15,15,15,µm,Spot,Diameter,1,1000003912,3912,
15,15,15,µm,Spot,Diameter,2,1000003912,3913,
15,15,15,µm,Spot,Diameter,3,1000003912,3914,
15,15,15,µm,Spot,Diameter,4,1000003912,3915,
15,15,15,µm,Spot,Diameter,5,1000003912,3916,
15,15,15,µm,Spot,Diameter,6,1000003912,3917,
15,15,15,µm,Spot,Diameter,7,1000003912,3918,
15,15,15,µm,Spot,Diameter,8,1000003912,3919,
15,15,15,µm,Spot,Diameter,9,1000003912,3920,
15,15,15,µm,Spot,Diameter,10,1000003912,3921,
15,15,15,µm,Spot,Diameter,11,1000003912,3922,
15,15,15,µm,Spot,Diameter,12,1000003912,3923,
15,15,15,µm,Spot,Diameter,13,1000003912,3924,
15,15,15,µm,Spot,Diameter,14,1000003912,3925,
15,15,15,µm,Spot,Diameter,15,1000003912,3926,
15,15,15,µm,Spot,Diameter,16,1000003912,3927,
15,15,15,µm,Spot,Diameter,17,1000003912,3928,
15,15,15,µm,Spot,Diameter,18,1000003912,3929,
15,15,15,µm,Spot,Diameter,19,1000003912,3930,
15,15,15,µm,Spot,Diameter,20,1000003912,3931,
15,15,15,µm,Spot,Diameter,21,1000003912,3932,
15,15,15,µm,Spot,Diameter,22,1000003912,3933,
15,15,15,µm,Spot,Diameter,23,1000003912,3934,
15,15,15,µm,Spot,Diameter,24,1000003912,3935,
15,15,15,µm,Spot,Diameter,25,1000003912,3936,
15,15,15,µm,Spot,Diameter,26,1000003912,3937,
15,15,15,µm,Spot,Diameter,27,1000003912,3938,
15,15,15,µm,Spot,Diameter,28,1000003912,3939,
15,15,15,µm,Spot,Diameter,29,1000003912,3940,
15,15,15,µm,Spot,Diameter,30,1000003912,3941,
15,15,15,µm,Spot,Diameter,31,1000003912,3942,
15,15,15,µm,Spot,Diameter,32,1000003912,3943,
15,15,15,µm,Spot,Diameter,33,1000003912,3944,
15,15,15,µm,Spot,Diameter,34,1000003912,3945,
15,15,15,µm,Spot,Diameter,35,1000003912,3946,
15,15,15,µm,Spot,Diameter,36,1000003912,3947,
15,15,15,µm,Spot,Diameter,37,1000003912,3948,
15,15,15,µm,Spot,Diameter,38,1000003912,3949,
15,15,15,µm,Spot,Diameter,39,1000003912,3950,
15,15,15,µm,Spot,Diameter,40,1000003912,3951,
15,15,15,µm,Spot,Diameter,41,1000003912,3952,
15,15,15,µm,Spot,Diameter,42,1000003912,3953,
15,15,15,µm,Spot,Diameter,43,1000003912,3954,
15,15,15,µm,Spot,Diameter,44,1000003912,3955,
15,15,15,µm,Spot,Diameter,45,1000003912,3956,
15,15,15,µm,Spot,Diameter,46,1000003912,3957,
15,15,15,µm,Spot,Diameter,47,1000003912,3958,
15,15,15,µm,Spot,Diameter,48,1000003912,3959,
15,15,15,µm,Spot,Diameter,49,1000003912,3960,
15,15,15,µm,Spot,Diameter,50,1000003912,3961,
15,15,15,µm,Spot,Diameter,51,1000003912,3962,
15,15,15,µm,Spot,Diameter,52,1000003912,3963,
15,15,15,µm,Spot,Diameter,53,1000003912,3964,
15,15,15,µm,Spot,Diameter,54,1000003912,3965,
15,15,15,µm,Spot,Diameter,55,1000003912,3966,
15,15,15,µm,Spot,Diameter,56,1000003912,3967,
15,15,15,µm,Spot,Diameter,57,1000003912,3968,
15,15,15,µm,Spot,Diameter,58,1000003912,3969,
15,15,15,µm,Spot,Diameter,59,1000003912,3970,
15,15,15,µm,Spot,Diameter,60,1000003912,3971,
15,15,15,µm,Spot,Diameter,61,1000003912,3972,
15,15,15,µm,Spot,Diameter,62,1000003912,3973,
15,15,15,µm,Spot,Diameter,63,1000003912,3974,
15,15,15,µm,Spot,Diameter,64,1000003912,3975,
15,15,15,µm,Spot,Diameter,65,1000003912,3976,
15,15,15,µm,Spot,Diameter,66,1000003912,3977,
15,15,15,µm,Spot,Diameter,67,1000003912,3978,
15,15,15,µm,Spot,Diameter,68,1000003912,3979,
15,15,15,µm,Spot,Diameter,69,1000003912,3980,
15,15,15,µm,Spot,Diameter,70,1000003912,3981,
15,15,15,µm,Spot,Diameter,71,1000003912,3982,
15,15,15,µm,Spot,Diameter,72,1000003912,3983,
15,15,15,µm,Spot,Diameter,73,1000003912,3984,
15,15,15,µm,Spot,Diameter,74,1000003912,3985,
15,15,15,µm,Spot,Diameter,75,1000003912,3986,
15,15,15,µm,Spot,Diameter,76,1000003912,3987,
15,15,15,µm,Spot,Diameter,77,1000003912,3988,
15,15,15,µm,Spot,Diameter,78,1000003912,3989,
15,15,15,µm,Spot,Diameter,79,1000003912,3990,
15,15,15,µm,Spot,Diameter,80,1000003912,3991,
15,15,15,µm,Spot,Diameter,81,1000003912,3992,
