
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0.596977,0.181166,-3.02824,µm,Spot,Displacement Delta,1,1000003912,3912,
0.473963,-0.205847,-2.1202,µm,Spot,Displacement Delta,2,1000003912,3913,
0.492212,-0.830574,-3.48246,µm,Spot,Displacement Delta,3,1000003912,3914,
-0.117119,-1.34028,-2.84122,µm,Spot,Displacement Delta,4,1000003912,3915,
-0.178497,-0.561356,-3.41036,µm,Spot,Displacement Delta,5,1000003912,3916,
-0.610241,-0.565193,-2.97882,µm,Spot,Displacement Delta,6,1000003912,3917,
-0.0638676,-0.652756,-3.34638,µm,Spot,Displacement Delta,7,1000003912,3918,
-0.432766,0.751156,2.0155,µm,Spot,Displacement Delta,8,1000003912,3919,
-0.462795,-0.166071,-0.169117,µm,Spot,Displacement Delta,9,1000003912,3920,
0.117466,0.561741,3.47882,µm,Spot,Displacement Delta,10,1000003912,3921,
0.481388,0.617023,2.91036,µm,Spot,Displacement Delta,11,1000003912,3922,
0.372837,0.61788,3.84122,µm,Spot,Displacement Delta,12,1000003912,3923,
0.276209,1.13221,2.98246,µm,Spot,Displacement Delta,13,1000003912,3924,
-0.611296,0.762115,3.6202,µm,Spot,Displacement Delta,14,1000003912,3925,
-0.334471,-0.301212,2.52824,µm,Spot,Displacement Delta,15,1000003912,3926,
-0.521557,-0.403418,2.96145,µm,Spot,Displacement Delta,16,1000003912,3927,
0.0504246,0.118771,0.0114193,µm,Spot,Displacement Delta,17,1000003912,3928,
0.0739422,0.159582,0.244841,µm,Spot,Displacement Delta,18,1000003912,3929,
-0.0368748,0.148193,0.055933,µm,Spot,Displacement Delta,19,1000003912,3930,
-0.499228,-1.02298,-2.77364,µm,Spot,Displacement Delta,20,1000003912,3931,
0.283365,0.805723,-0.5,µm,Spot,Displacement Delta,21,1000003912,3932,
-0.178293,0.560955,-0.5,µm,Spot,Displacement Delta,22,1000003912,3933,
0.818516,-0.786633,0,µm,Spot,Displacement Delta,23,1000003912,3934,
-0.884142,-0.31912,0,µm,Spot,Displacement Delta,24,1000003912,3935,
0.0288353,-0.24818,-0.5,µm,Spot,Displacement Delta,25,1000003912,3936,
-0.655432,-0.19631,0,µm,Spot,Displacement Delta,26,1000003912,3937,
-0.198494,-0.457657,0.5,µm,Spot,Displacement Delta,27,1000003912,3938,
-0.389694,0.188124,-1,µm,Spot,Displacement Delta,28,1000003912,3939,
0.0787659,-0.156776,0.5,µm,Spot,Displacement Delta,29,1000003912,3940,
0.0248814,-0.251507,-0.5,µm,Spot,Displacement Delta,30,1000003912,3941,
-0.234163,-0.125223,0,µm,Spot,Displacement Delta,31,1000003912,3942,
-0.154554,-0.281137,0.5,µm,Spot,Displacement Delta,32,1000003912,3943,
0.536013,0.175459,-0.5,µm,Spot,Displacement Delta,33,1000003912,3944,
0.208061,0.377165,0.5,µm,Spot,Displacement Delta,34,1000003912,3945,
0.0679398,1.44627,2.50768,µm,Spot,Displacement Delta,35,1000003912,3946,
-0.264837,0.0449619,-0.00190544,µm,Spot,Displacement Delta,36,1000003912,3947,
-0.100897,0.223505,-0.289351,µm,Spot,Displacement Delta,37,1000003912,3948,
0.00676727,0.232796,-0.258484,µm,Spot,Displacement Delta,38,1000003912,3949,
1.49015,0.154678,-7.77523,µm,Spot,Displacement Delta,39,1000003912,3950,
-0.658295,-0.595448,-1.02424,µm,Spot,Displacement Delta,40,1000003912,3951,
-1.01958,0.120647,0.708961,µm,Spot,Displacement Delta,41,1000003912,3952,
-0.405462,0.218472,0.324301,µm,Spot,Displacement Delta,42,1000003912,3953,
-0.466488,-0.205053,0.689114,µm,Spot,Displacement Delta,43,1000003912,3954,
-0.190699,0.0982456,0.305162,µm,Spot,Displacement Delta,44,1000003912,3955,
-0.0639591,0.214869,0.1357,µm,Spot,Displacement Delta,45,1000003912,3956,
-0.120668,0.148104,0.337614,µm,Spot,Displacement Delta,46,1000003912,3957,
-0.0172405,-0.683018,-0.124472,µm,Spot,Displacement Delta,47,1000003912,3958,
0.669727,0.139767,0.196641,µm,Spot,Displacement Delta,48,1000003912,3959,
0.0240746,0.0291786,-0.147941,µm,Spot,Displacement Delta,49,1000003912,3960,
-0.103455,-0.246929,0.408612,µm,Spot,Displacement Delta,50,1000003912,3961,
-0.0858612,-0.0865536,0.125114,µm,Spot,Displacement Delta,51,1000003912,3962,
0.0799141,0.0703278,-0.0157681,µm,Spot,Displacement Delta,52,1000003912,3963,
-0.12776,0.0251808,-0.0509205,µm,Spot,Displacement Delta,53,1000003912,3964,
0.17433,0.0253181,0.548529,µm,Spot,Displacement Delta,54,1000003912,3965,
0.058157,0.0180283,0.0114803,µm,Spot,Displacement Delta,55,1000003912,3966,
0.114223,-0.0180359,0.0607738,µm,Spot,Displacement Delta,56,1000003912,3967,
0.138893,0.133917,-0.00326729,µm,Spot,Displacement Delta,57,1000003912,3968,
-0.0670071,-0.129059,0.541821,µm,Spot,Displacement Delta,58,1000003912,3969,
0.0720291,0.205135,-0.202261,µm,Spot,Displacement Delta,59,1000003912,3970,
-0.122971,-0.278061,0.0609436,µm,Spot,Displacement Delta,60,1000003912,3971,
0.113705,0.138453,0.000827789,µm,Spot,Displacement Delta,61,1000003912,3972,
-0.036787,0.00285339,0.0786781,µm,Spot,Displacement Delta,62,1000003912,3973,
0.108957,0.277887,0.570904,µm,Spot,Displacement Delta,63,1000003912,3974,
0.0092907,-0.198307,0.00522423,µm,Spot,Displacement Delta,64,1000003912,3975,
-0.107183,-0.337883,-0.456125,µm,Spot,Displacement Delta,65,1000003912,3976,
0.0911083,0.101357,0.60383,µm,Spot,Displacement Delta,66,1000003912,3977,
