
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
3.09183,,Spot,1,1000003912,3912,
2.18226,,Spot,2,1000003912,3913,
3.61381,,Spot,3,1000003912,3914,
3.14366,,Spot,4,1000003912,3915,
3.46086,,Spot,5,1000003912,3916,
3.09276,,Spot,6,1000003912,3917,
3.41005,,Spot,7,1000003912,3918,
2.19403,,Spot,8,1000003912,3919,
0.519961,,Spot,9,1000003912,3920,
3.52583,,Spot,10,1000003912,3921,
3.01375,,Spot,11,1000003912,3922,
3.90843,,Spot,12,1000003912,3923,
3.20207,,Spot,13,1000003912,3924,
3.74971,,Spot,14,1000003912,3925,
2.56799,,Spot,15,1000003912,3926,
3.03397,,Spot,16,1000003912,3927,
0.129536,,Spot,17,1000003912,3928,
0.301464,,Spot,18,1000003912,3929,
0.162633,,Spot,19,1000003912,3930,
2.99813,,Spot,20,1000003912,3931,
0.98969,,Spot,21,1000003912,3932,
0.772308,,Spot,22,1000003912,3933,
1.13524,,Spot,23,1000003912,3934,
0.939971,,Spot,24,1000003912,3935,
0.55895,,Spot,25,1000003912,3936,
0.684199,,Spot,26,1000003912,3937,
0.706293,,Spot,27,1000003912,3938,
1.08961,,Spot,28,1000003912,3939,
0.52989,,Spot,29,1000003912,3940,
0.560245,,Spot,30,1000003912,3941,
0.265543,,Spot,31,1000003912,3942,
0.594075,,Spot,32,1000003912,3943,
0.753721,,Spot,33,1000003912,3944,
0.659957,,Spot,34,1000003912,3945,
2.89565,,Spot,35,1000003912,3946,
0.268634,,Spot,36,1000003912,3947,
0.379287,,Spot,37,1000003912,3948,
0.347928,,Spot,38,1000003912,3949,
7.91825,,Spot,39,1000003912,3950,
1.35535,,Spot,40,1000003912,3951,
1.24769,,Spot,41,1000003912,3952,
0.563294,,Spot,42,1000003912,3953,
0.85705,,Spot,43,1000003912,3954,
0.373018,,Spot,44,1000003912,3955,
0.262057,,Spot,45,1000003912,3956,
0.387916,,Spot,46,1000003912,3957,
0.694481,,Spot,47,1000003912,3958,
0.711855,,Spot,48,1000003912,3959,
0.1527,,Spot,49,1000003912,3960,
0.488509,,Spot,50,1000003912,3961,
0.174692,,Spot,51,1000003912,3962,
0.107615,,Spot,52,1000003912,3963,
0.13982,,Spot,53,1000003912,3964,
0.576121,,Spot,54,1000003912,3965,
0.0619601,,Spot,55,1000003912,3966,
0.130636,,Spot,56,1000003912,3967,
0.192966,,Spot,57,1000003912,3968,
0.560995,,Spot,58,1000003912,3969,
0.296948,,Spot,59,1000003912,3970,
0.310087,,Spot,60,1000003912,3971,
0.179161,,Spot,61,1000003912,3972,
0.0869004,,Spot,62,1000003912,3973,
0.644224,,Spot,63,1000003912,3974,
0.198593,,Spot,64,1000003912,3975,
0.577671,,Spot,65,1000003912,3976,
0.619019,,Spot,66,1000003912,3977,
0.158848,,Spot,67,1000003912,3978,
0.980826,,Spot,68,1000003912,3979,
0.913415,,Spot,69,1000003912,3980,
3.74839,,Spot,70,1000003912,3981,
1.27237,,Spot,71,1000003912,3982,
0.775304,,Spot,72,1000003912,3983,
0.708986,,Spot,73,1000003912,3984,
0.182808,,Spot,74,1000003912,3985,
