
Intensity Min Ch=1 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
148,,Spot,1,Image 1,1,1000003912,3912,
146,,Spot,1,Image 1,2,1000003912,3913,
142,,Spot,1,Image 1,3,1000003912,3914,
140,,Spot,1,Image 1,4,1000003912,3915,
142,,Spot,1,Image 1,5,1000003912,3916,
152,,Spot,1,Image 1,6,1000003912,3917,
150,,Spot,1,Image 1,7,1000003912,3918,
150,,Spot,1,Image 1,8,1000003912,3919,
146,,Spot,1,Image 1,9,1000003912,3920,
136,,Spot,1,Image 1,10,1000003912,3921,
126,,Spot,1,Image 1,11,1000003912,3922,
136,,Spot,1,Image 1,12,1000003912,3923,
146,,Spot,1,Image 1,13,1000003912,3924,
146,,Spot,1,Image 1,14,1000003912,3925,
150,,Spot,1,Image 1,15,1000003912,3926,
138,,Spot,1,Image 1,16,1000003912,3927,
148,,Spot,1,Image 1,17,1000003912,3928,
154,,Spot,1,Image 1,18,1000003912,3929,
134,,Spot,1,Image 1,19,1000003912,3930,
154,,Spot,1,Image 1,20,1000003912,3931,
146,,Spot,1,Image 1,21,1000003912,3932,
150,,Spot,1,Image 1,22,1000003912,3933,
156,,Spot,1,Image 1,23,1000003912,3934,
154,,Spot,1,Image 1,24,1000003912,3935,
154,,Spot,1,Image 1,25,1000003912,3936,
142,,Spot,1,Image 1,26,1000003912,3937,
152,,Spot,1,Image 1,27,1000003912,3938,
154,,Spot,1,Image 1,28,1000003912,3939,
150,,Spot,1,Image 1,29,1000003912,3940,
144,,Spot,1,Image 1,30,1000003912,3941,
130,,Spot,1,Image 1,31,1000003912,3942,
138,,Spot,1,Image 1,32,1000003912,3943,
160,,Spot,1,Image 1,33,1000003912,3944,
152,,Spot,1,Image 1,34,1000003912,3945,
140,,Spot,1,Image 1,35,1000003912,3946,
152,,Spot,1,Image 1,36,1000003912,3947,
154,,Spot,1,Image 1,37,1000003912,3948,
162,,Spot,1,Image 1,38,1000003912,3949,
134,,Spot,1,Image 1,39,1000003912,3950,
158,,Spot,1,Image 1,40,1000003912,3951,
148,,Spot,1,Image 1,41,1000003912,3952,
146,,Spot,1,Image 1,42,1000003912,3953,
152,,Spot,1,Image 1,43,1000003912,3954,
152,,Spot,1,Image 1,44,1000003912,3955,
152,,Spot,1,Image 1,45,1000003912,3956,
156,,Spot,1,Image 1,46,1000003912,3957,
148,,Spot,1,Image 1,47,1000003912,3958,
146,,Spot,1,Image 1,48,1000003912,3959,
158,,Spot,1,Image 1,49,1000003912,3960,
150,,Spot,1,Image 1,50,1000003912,3961,
142,,Spot,1,Image 1,51,1000003912,3962,
146,,Spot,1,Image 1,52,1000003912,3963,
144,,Spot,1,Image 1,53,1000003912,3964,
156,,Spot,1,Image 1,54,1000003912,3965,
154,,Spot,1,Image 1,55,1000003912,3966,
152,,Spot,1,Image 1,56,1000003912,3967,
148,,Spot,1,Image 1,57,1000003912,3968,
156,,Spot,1,Image 1,58,1000003912,3969,
138,,Spot,1,Image 1,59,1000003912,3970,
154,,Spot,1,Image 1,60,1000003912,3971,
146,,Spot,1,Image 1,61,1000003912,3972,
154,,Spot,1,Image 1,62,1000003912,3973,
154,,Spot,1,Image 1,63,1000003912,3974,
146,,Spot,1,Image 1,64,1000003912,3975,
158,,Spot,1,Image 1,65,1000003912,3976,
150,,Spot,1,Image 1,66,1000003912,3977,
150,,Spot,1,Image 1,67,1000003912,3978,
150,,Spot,1,Image 1,68,1000003912,3979,
160,,Spot,1,Image 1,69,1000003912,3980,
158,,Spot,1,Image 1,70,1000003912,3981,
154,,Spot,1,Image 1,71,1000003912,3982,
160,,Spot,1,Image 1,72,1000003912,3983,
