
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
28.3167,27.2024,21.25,µm,Spot,Position,1,1000003912,3912,
28.0542,27.3225,21.75,µm,Spot,Position,2,1000003912,3913,
28.1915,26.7662,20.25,µm,Spot,Position,3,1000003912,3914,
27.4231,26.4646,20.75,µm,Spot,Position,4,1000003912,3915,
27.1674,27.187,19.75,µm,Spot,Position,5,1000003912,3916,
26.8645,27.1313,20.25,µm,Spot,Position,6,1000003912,3917,
27.3573,27.1348,19.75,µm,Spot,Position,7,1000003912,3918,
27.8839,27.9536,23.2655,µm,Spot,Position,8,1000003912,3919,
27.4211,27.7875,23.0964,µm,Spot,Position,9,1000003912,3920,
27.4747,27.6965,23.2288,µm,Spot,Position,10,1000003912,3921,
27.3459,27.7483,23.1604,µm,Spot,Position,11,1000003912,3922,
27.5402,27.8049,23.5912,µm,Spot,Position,12,1000003912,3923,
27.6993,27.5968,23.7325,µm,Spot,Position,13,1000003912,3924,
27.5802,27.5283,23.8702,µm,Spot,Position,14,1000003912,3925,
27.7197,27.0213,24.2782,µm,Spot,Position,15,1000003912,3926,
27.7951,26.799,24.2114,µm,Spot,Position,16,1000003912,3927,
27.8456,26.9178,24.2229,µm,Spot,Position,17,1000003912,3928,
27.9195,27.0774,24.4677,µm,Spot,Position,18,1000003912,3929,
27.8826,27.2256,24.5236,µm,Spot,Position,19,1000003912,3930,
27.3834,26.2026,21.75,µm,Spot,Position,20,1000003912,3931,
27.6668,27.0083,21.25,µm,Spot,Position,21,1000003912,3932,
27.4885,27.5693,20.75,µm,Spot,Position,22,1000003912,3933,
28.307,26.7826,20.75,µm,Spot,Position,23,1000003912,3934,
27.4228,26.4635,20.75,µm,Spot,Position,24,1000003912,3935,
27.4517,26.2153,20.25,µm,Spot,Position,25,1000003912,3936,
26.7962,26.019,20.25,µm,Spot,Position,26,1000003912,3937,
26.5978,25.5614,20.75,µm,Spot,Position,27,1000003912,3938,
26.2081,25.7495,19.75,µm,Spot,Position,28,1000003912,3939,
26.2868,25.5927,20.25,µm,Spot,Position,29,1000003912,3940,
26.3117,25.3412,19.75,µm,Spot,Position,30,1000003912,3941,
26.0775,25.216,19.75,µm,Spot,Position,31,1000003912,3942,
25.923,24.9348,20.25,µm,Spot,Position,32,1000003912,3943,
26.459,25.1103,19.75,µm,Spot,Position,33,1000003912,3944,
26.6671,25.4875,20.25,µm,Spot,Position,34,1000003912,3945,
26.735,26.9337,22.7577,µm,Spot,Position,35,1000003912,3946,
26.4702,26.9787,22.7558,µm,Spot,Position,36,1000003912,3947,
26.3693,27.2022,22.4664,µm,Spot,Position,37,1000003912,3948,
26.376,27.435,22.2079,µm,Spot,Position,38,1000003912,3949,
27.8662,27.5897,14.4327,µm,Spot,Position,39,1000003912,3950,
27.2079,26.9942,13.4085,µm,Spot,Position,40,1000003912,3951,
26.1883,27.1149,14.1174,µm,Spot,Position,41,1000003912,3952,
25.7828,27.3334,14.4417,µm,Spot,Position,42,1000003912,3953,
25.3164,27.1283,15.1308,µm,Spot,Position,43,1000003912,3954,
25.1257,27.2265,15.436,µm,Spot,Position,44,1000003912,3955,
25.0617,27.4414,15.5717,µm,Spot,Position,45,1000003912,3956,
24.941,27.5895,15.9093,µm,Spot,Position,46,1000003912,3957,
24.9238,26.9065,15.7849,µm,Spot,Position,47,1000003912,3958,
25.5935,27.0463,15.9815,µm,Spot,Position,48,1000003912,3959,
25.6176,27.0754,15.8336,µm,Spot,Position,49,1000003912,3960,
25.5141,26.8285,16.2422,µm,Spot,Position,50,1000003912,3961,
25.4283,26.742,16.3673,µm,Spot,Position,51,1000003912,3962,
25.5082,26.8123,16.3515,µm,Spot,Position,52,1000003912,3963,
25.3804,26.8375,16.3006,µm,Spot,Position,53,1000003912,3964,
25.5548,26.8628,16.8491,µm,Spot,Position,54,1000003912,3965,
25.6129,26.8808,16.8606,µm,Spot,Position,55,1000003912,3966,
25.7271,26.8628,16.9214,µm,Spot,Position,56,1000003912,3967,
25.866,26.9967,16.9181,µm,Spot,Position,57,1000003912,3968,
25.799,26.8676,17.4599,µm,Spot,Position,58,1000003912,3969,
25.8711,27.0728,17.2577,µm,Spot,Position,59,1000003912,3970,
25.7481,26.7947,17.3186,µm,Spot,Position,60,1000003912,3971,
25.8618,26.9332,17.3194,µm,Spot,Position,61,1000003912,3972,
25.825,26.936,17.3981,µm,Spot,Position,62,1000003912,3973,
25.934,27.2139,17.969,µm,Spot,Position,63,1000003912,3974,
25.9432,27.0156,17.9742,µm,Spot,Position,64,1000003912,3975,
25.8361,26.6777,17.5181,µm,Spot,Position,65,1000003912,3976,
25.9272,26.7791,18.1219,µm,Spot,Position,66,1000003912,3977,
25.9257,26.6206,18.1117,µm,Spot,Position,67,1000003912,3978,
25.2026,25.9697,17.9875,µm,Spot,Position,68,1000003912,3979,
24.6867,25.2166,17.9558,µm,Spot,Position,69,1000003912,3980,
23.2627,21.7531,17.7917,µm,Spot,Position,70,1000003912,3981,
23,20.5338,17.5402,µm,Spot,Position,71,1000003912,3982,
22.8748,19.7792,17.4138,µm,Spot,Position,72,1000003912,3983,
22.6797,19.1896,17.7557,µm,Spot,Position,73,1000003912,3984,
22.8313,19.2196,17.8535,µm,Spot,Position,74,1000003912,3985,
22.9684,19.5618,17.4625,µm,Spot,Position,75,1000003912,3986,
22.9859,18.9638,17.8618,µm,Spot,Position,76,1000003912,3987,
23.1788,20.1195,17.9684,µm,Spot,Position,77,1000003912,3988,
23.2222,21.1615,17.7505,µm,Spot,Position,78,1000003912,3989,
23.5945,21.8809,17.7365,µm,Spot,Position,79,1000003912,3990,
23.7624,22.5655,17.809,µm,Spot,Position,80,1000003912,3991,
23.697,22.603,17.9617,µm,Spot,Position,81,1000003912,3992,
23.6528,22.8064,17.9492,µm,Spot,Position,82,1000003912,3993,
23.4012,21.9704,17.9852,µm,Spot,Position,83,1000003912,3994,
23.6776,22.4005,18.1665,µm,Spot,Position,84,1000003912,3995,
23.7444,23.1346,18.0213,µm,Spot,Position,85,1000003912,3996,
23.4482,22.3045,17.9001,µm,Spot,Position,86,1000003912,3997,
