
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
117.048,78.0012,29.999,°,Spot,Velocity Angle,1,1000003912,3912,
96.5479,113.408,155.595,°,Spot,Velocity Angle,2,1000003912,3913,
115.597,125.965,133.2,°,Spot,Velocity Angle,3,1000003912,3914,
147.463,69.738,114.307,°,Spot,Velocity Angle,4,1000003912,3915,
123.837,48.3535,119.895,°,Spot,Velocity Angle,5,1000003912,3916,
15.376,105.379,90.0027,°,Spot,Velocity Angle,6,1000003912,3917,
71.938,75.5181,23.4776,°,Spot,Velocity Angle,7,1000003912,3918,
88.9295,78.9666,11.0894,°,Spot,Velocity Angle,8,1000003912,3919,
147.604,122.04,94.3438,°,Spot,Velocity Angle,9,1000003912,3920,
135.091,111.642,52.9822,°,Spot,Velocity Angle,10,1000003912,3921,
80.1803,73.6073,19.2573,°,Spot,Velocity Angle,11,1000003912,3922,
59.1568,102.703,33.9092,°,Spot,Velocity Angle,12,1000003912,3923,
84.1871,134.46,45.046,°,Spot,Velocity Angle,13,1000003912,3924,
88.5287,136.503,46.5385,°,Spot,Velocity Angle,14,1000003912,3925,
75.058,151.063,65.8302,°,Spot,Velocity Angle,15,1000003912,3926,
43.0041,126.971,108.773,°,Spot,Velocity Angle,16,1000003912,3927,
71.806,45.6617,49.9528,°,Spot,Velocity Angle,17,1000003912,3928,
85.0795,44.558,45.8668,°,Spot,Velocity Angle,18,1000003912,3929,
100.638,107.529,159.322,°,Spot,Velocity Angle,19,1000003912,3930,
93.7671,93.7915,174.66,°,Spot,Velocity Angle,20,1000003912,3931,
86.4521,36.3441,126.116,°,Spot,Velocity Angle,21,1000003912,3932,
40.5926,105.529,126.378,°,Spot,Velocity Angle,22,1000003912,3933,
93.3993,176.609,90.0027,°,Spot,Velocity Angle,23,1000003912,3934,
138.524,119.799,115.977,°,Spot,Velocity Angle,24,1000003912,3935,
133.129,119.011,123.061,°,Spot,Velocity Angle,25,1000003912,3936,
136.053,123.464,65.0697,°,Spot,Velocity Angle,26,1000003912,3937,
136.003,109.249,127.7,°,Spot,Velocity Angle,27,1000003912,3938,
121.829,86.955,147.999,°,Spot,Velocity Angle,28,1000003912,3939,
75.758,165.761,90.0027,°,Spot,Velocity Angle,29,1000003912,3940,
108.488,124.804,139.246,°,Spot,Velocity Angle,30,1000003912,3941,
121.107,122.689,48.36,°,Spot,Velocity Angle,31,1000003912,3942,
15.4852,105.488,90.0027,°,Spot,Velocity Angle,32,1000003912,3943,
36.6024,53.4003,90.0027,°,Spot,Velocity Angle,33,1000003912,3944,
85.5157,58.8813,31.5162,°,Spot,Velocity Angle,34,1000003912,3945,
93.8658,59.3215,30.9767,°,Spot,Velocity Angle,35,1000003912,3946,
132.721,60.1367,122.703,°,Spot,Velocity Angle,36,1000003912,3947,
97.5238,50.6193,139.624,°,Spot,Velocity Angle,37,1000003912,3948,
79.4595,87.2879,169.11,°,Spot,Velocity Angle,38,1000003912,3949,
84.6088,92.8576,173.899,°,Spot,Velocity Angle,39,1000003912,3950,
161.243,105.545,100.252,°,Spot,Velocity Angle,40,1000003912,3951,
142.656,79.0975,54.8034,°,Spot,Velocity Angle,41,1000003912,3952,
130.71,89.4276,40.7135,°,Spot,Velocity Angle,42,1000003912,3953,
123.316,95.1237,33.8089,°,Spot,Velocity Angle,43,1000003912,3954,
115.221,58.4101,42.4745,°,Spot,Velocity Angle,44,1000003912,3955,
107.202,54.4579,40.7092,°,Spot,Velocity Angle,45,1000003912,3956,
103.472,154.616,68.9032,°,Spot,Velocity Angle,46,1000003912,3957,
40.0281,129.613,85.144,°,Spot,Velocity Angle,47,1000003912,3958,
14.221,76.349,86.101,°,Spot,Velocity Angle,48,1000003912,3959,
103.157,128.633,41.6421,°,Spot,Velocity Angle,49,1000003912,3960,
106.745,120.496,35.6976,°,Spot,Velocity Angle,50,1000003912,3961,
93.0822,98.4311,8.98114,°,Spot,Velocity Angle,51,1000003912,3962,
112.333,40.6758,121.98,°,Spot,Velocity Angle,52,1000003912,3963,
84.6831,84.2328,7.86016,°,Spot,Velocity Angle,53,1000003912,3964,
67.5168,85.9136,22.8951,°,Spot,Velocity Angle,54,1000003912,3965,
22.7419,90.005,67.2607,°,Spot,Velocity Angle,55,1000003912,3966,
27.0719,65.9441,78.3306,°,Spot,Velocity Angle,56,1000003912,3967,
82.3998,89.4904,7.62027,°,Spot,Velocity Angle,57,1000003912,3968,
89.1758,77.3754,12.6553,°,Spot,Velocity Angle,58,1000003912,3969,
107.765,115.898,147.815,°,Spot,Velocity Angle,59,1000003912,3970,
93.4761,155.9,66.1809,°,Spot,Velocity Angle,60,1000003912,3971,
64.6223,38.0572,63.7042,°,Spot,Velocity Angle,61,1000003912,3972,
84.1793,66.7563,24.049,°,Spot,Velocity Angle,62,1000003912,3973,
78.5098,82.2966,13.8962,°,Spot,Velocity Angle,63,1000003912,3974,
97.9574,139.291,129.603,°,Spot,Velocity Angle,64,1000003912,3975,
93.302,147.869,58.0772,°,Spot,Velocity Angle,65,1000003912,3976,
81.4507,95.4413,10.1568,°,Spot,Velocity Angle,66,1000003912,3977,
131.453,137.686,97.0558,°,Spot,Velocity Angle,67,1000003912,3978,
131.259,138.351,94.763,°,Spot,Velocity Angle,68,1000003912,3979,
114.685,155.189,92.4183,°,Spot,Velocity Angle,69,1000003912,3980,
109.74,159.652,94.7753,°,Spot,Velocity Angle,70,1000003912,3981,
100.926,164.662,100.645,°,Spot,Velocity Angle,71,1000003912,3982,
103.243,163.98,81.1371,°,Spot,Velocity Angle,72,1000003912,3983,
93.5038,141.711,51.9285,°,Spot,Velocity Angle,73,1000003912,3984,
58.6571,47.8655,121.908,°,Spot,Velocity Angle,74,1000003912,3985,
58.8599,148.812,88.3969,°,Spot,Velocity Angle,75,1000003912,3986,
74.3899,44.4961,49.6773,°,Spot,Velocity Angle,76,1000003912,3987,
83.8723,6.77934,92.886,°,Spot,Velocity Angle,77,1000003912,3988,
76.8311,15.1257,97.3072,°,Spot,Velocity Angle,78,1000003912,3989,
68.9774,21.1539,87.7773,°,Spot,Velocity Angle,79,1000003912,3990,
82.2831,18.9163,72.8421,°,Spot,Velocity Angle,80,1000003912,3991,
111.461,36.4536,62.0851,°,Spot,Velocity Angle,81,1000003912,3992,
115.049,154.874,88.07,°,Spot,Velocity Angle,82,1000003912,3993,
86.9257,151.685,61.8803,°,Spot,Velocity Angle,83,1000003912,3994,
73.5847,16.511,88.3003,°,Spot,Velocity Angle,84,1000003912,3995,
129.012,105.263,136.985,°,Spot,Velocity Angle,85,1000003912,3996,
63.9863,26.4034,85.8063,°,Spot,Velocity Angle,86,1000003912,3997,
58.8231,34.5361,76.6455,°,Spot,Velocity Angle,87,1000003912,3998,
88.1896,148.948,59.0098,°,Spot,Velocity Angle,88,1000003912,3999,
58.9322,93.9344,31.3743,°,Spot,Velocity Angle,89,1000003912,4000,
57.6342,33.9154,99.0478,°,Spot,Velocity Angle,90,1000003912,4001,
105.451,160.555,101.529,°,Spot,Velocity Angle,91,1000003912,4002,
101.688,168.305,90.587,°,Spot,Velocity Angle,92,1000003912,4003,
74.6754,34.4467,59.9975,°,Spot,Velocity Angle,93,1000003912,4004,
84.4043,77.2621,13.9544,°,Spot,Velocity Angle,94,1000003912,4005,
42.4699,123.694,112.644,°,Spot,Velocity Angle,95,1000003912,4006,
66.312,23.6907,89.9653,°,Spot,Velocity Angle,96,1000003912,4007,
65.6775,24.552,93.1336,°,Spot,Velocity Angle,97,1000003912,4008,
107.095,162.4,94.099,°,Spot,Velocity Angle,98,1000003912,4009,
107.745,162.208,88.6567,°,Spot,Velocity Angle,99,1000003912,4010,
115.689,153.8,85.1602,°,Spot,Velocity Angle,100,1000003912,4011,
103.954,166.027,90.8541,°,Spot,Velocity Angle,101,1000003912,4012,
72.6433,19.4124,98.4235,°,Spot,Velocity Angle,102,1000003912,4013,
80.2154,10.7604,85.5747,°,Spot,Velocity Angle,103,1000003912,4014,
105.048,160.14,102.671,°,Spot,Velocity Angle,104,1000003912,4015,
109.688,151.079,110.313,°,Spot,Velocity Angle,105,1000003912,4016,
109.864,126.214,42.96,°,Spot,Velocity Angle,106,1000003912,4017,
95.7633,173.071,93.8501,°,Spot,Velocity Angle,107,1000003912,4018,
94.93,74.1404,163.357,°,Spot,Velocity Angle,108,1000003912,4019,
107.346,162.579,91.6493,°,Spot,Velocity Angle,109,1000003912,4020,
98.1813,170.676,85.5443,°,Spot,Velocity Angle,110,1000003912,4021,
92.5712,176.043,86.9881,°,Spot,Velocity Angle,111,1000003912,4022,
87.6647,173.653,95.906,°,Spot,Velocity Angle,112,1000003912,4023,
84.4193,174.361,89.1766,°,Spot,Velocity Angle,113,1000003912,4024,
78.4424,168.337,88.4363,°,Spot,Velocity Angle,114,1000003912,4025,
47.371,89.5818,137.371,°,Spot,Velocity Angle,115,1000003912,4026,
21.0238,76.4221,105.741,°,Spot,Velocity Angle,116,1000003912,4027,
87.222,11.8421,101.504,°,Spot,Velocity Angle,117,1000003912,4028,
78.4409,23.6675,110.356,°,Spot,Velocity Angle,118,1000003912,4029,
62.922,137.323,59.8479,°,Spot,Velocity Angle,119,1000003912,4030,
80.2576,164.286,77.7894,°,Spot,Velocity Angle,120,1000003912,4031,
49.5936,138.492,97.942,°,Spot,Velocity Angle,121,1000003912,4032,
75.3861,15.8307,95.9504,°,Spot,Velocity Angle,122,1000003912,4033,
73.2783,44.8684,130.103,°,Spot,Velocity Angle,123,1000003912,4034,
59.5844,61.6935,136.081,°,Spot,Velocity Angle,124,1000003912,4035,
74.0819,16.0817,92.2134,°,Spot,Velocity Angle,125,1000003912,4036,
79.6171,10.8117,92.9753,°,Spot,Velocity Angle,126,1000003912,4037,
59.0042,120.896,46.6545,°,Spot,Velocity Angle,127,1000003912,4038,
