
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
1,1,1,µm,Spot,Diameter,1,1019132070,19132070,
1,1,1,µm,Spot,Diameter,2,1019132070,19132071,
1,1,1,µm,Spot,Diameter,3,1019132070,19132072,
1,1,1,µm,Spot,Diameter,4,1019132070,19132073,
1,1,1,µm,Spot,Diameter,5,1019132070,19132074,
1,1,1,µm,Spot,Diameter,6,1019132070,19132075,
1,1,1,µm,Spot,Diameter,7,1019132070,19132076,
1,1,1,µm,Spot,Diameter,8,1019132070,19132077,
1,1,1,µm,Spot,Diameter,9,1019132070,19132078,
1,1,1,µm,Spot,Diameter,10,1019132070,19132079,
1,1,1,µm,Spot,Diameter,11,1019132070,19132080,
1,1,1,µm,Spot,Diameter,12,1019132070,19132081,
1,1,1,µm,Spot,Diameter,13,1019132070,19132082,
1,1,1,µm,Spot,Diameter,14,1019132070,19132083,
1,1,1,µm,Spot,Diameter,15,1019132070,19132084,
1,1,1,µm,Spot,Diameter,16,1019132070,19132085,
1,1,1,µm,Spot,Diameter,17,1019132070,19132086,
1,1,1,µm,Spot,Diameter,18,1019132070,19132087,
1,1,1,µm,Spot,Diameter,19,1019132070,19132088,
1,1,1,µm,Spot,Diameter,20,1019132070,19132089,
1,1,1,µm,Spot,Diameter,21,1019132070,19132090,
1,1,1,µm,Spot,Diameter,22,1019132070,19132091,
1,1,1,µm,Spot,Diameter,23,1019132070,19132092,
1,1,1,µm,Spot,Diameter,24,1019132070,19132093,
1,1,1,µm,Spot,Diameter,25,1019132070,19132094,
1,1,1,µm,Spot,Diameter,26,1019132070,19132095,
1,1,1,µm,Spot,Diameter,27,1019132070,19132096,
1,1,1,µm,Spot,Diameter,28,1019132070,19132097,
1,1,1,µm,Spot,Diameter,29,1019132070,19132098,
1,1,1,µm,Spot,Diameter,30,1019132070,19132099,
1,1,1,µm,Spot,Diameter,31,1019132070,19132100,
1,1,1,µm,Spot,Diameter,32,1019132070,19132101,
1,1,1,µm,Spot,Diameter,33,1019132070,19132102,
1,1,1,µm,Spot,Diameter,34,1019132070,19132103,
1,1,1,µm,Spot,Diameter,35,1019132070,19132104,
1,1,1,µm,Spot,Diameter,36,1019132070,19132105,
1,1,1,µm,Spot,Diameter,37,1019132070,19132106,
1,1,1,µm,Spot,Diameter,38,1019132070,19132107,
1,1,1,µm,Spot,Diameter,39,1019132070,19132108,
1,1,1,µm,Spot,Diameter,40,1019132070,19132109,
1,1,1,µm,Spot,Diameter,41,1019132070,19132110,
1,1,1,µm,Spot,Diameter,42,1019132070,19132111,
1,1,1,µm,Spot,Diameter,43,1019132070,19132112,
1,1,1,µm,Spot,Diameter,44,1019132070,19132113,
1,1,1,µm,Spot,Diameter,45,1019132070,19132114,
1,1,1,µm,Spot,Diameter,46,1019132070,19132115,
1,1,1,µm,Spot,Diameter,47,1019132070,19132116,
1,1,1,µm,Spot,Diameter,48,1019132070,19132117,
1,1,1,µm,Spot,Diameter,49,1019132070,19132118,
1,1,1,µm,Spot,Diameter,50,1019132070,19132119,
1,1,1,µm,Spot,Diameter,51,1019132070,19132120,
1,1,1,µm,Spot,Diameter,52,1019132070,19132121,
1,1,1,µm,Spot,Diameter,53,1019132070,19132122,
1,1,1,µm,Spot,Diameter,54,1019132070,19132123,
1,1,1,µm,Spot,Diameter,55,1019132070,19132124,
1,1,1,µm,Spot,Diameter,56,1019132070,19132125,
1,1,1,µm,Spot,Diameter,57,1019132070,19132126,
1,1,1,µm,Spot,Diameter,58,1019132070,19132127,
1,1,1,µm,Spot,Diameter,59,1019132070,19132128,
1,1,1,µm,Spot,Diameter,60,1019132070,19132129,
1,1,1,µm,Spot,Diameter,61,1019132070,19132130,
1,1,1,µm,Spot,Diameter,62,1019132070,19132131,
1,1,1,µm,Spot,Diameter,63,1019132070,19132132,
1,1,1,µm,Spot,Diameter,64,1019132070,19132133,
1,1,1,µm,Spot,Diameter,65,1019132070,19132134,
1,1,1,µm,Spot,Diameter,66,1019132070,19132135,
1,1,1,µm,Spot,Diameter,67,1019132070,19132136,
1,1,1,µm,Spot,Diameter,68,1019132070,19132137,
1,1,1,µm,Spot,Diameter,69,1019132070,19132138,
1,1,1,µm,Spot,Diameter,70,1019132070,19132139,
1,1,1,µm,Spot,Diameter,71,1019132070,19132140,
1,1,1,µm,Spot,Diameter,72,1019132070,19132141,
1,1,1,µm,Spot,Diameter,73,1019132070,19132142,
1,1,1,µm,Spot,Diameter,74,1019132070,19132143,
1,1,1,µm,Spot,Diameter,75,1019132070,19132144,
1,1,1,µm,Spot,Diameter,76,1019132070,19132145,
1,1,1,µm,Spot,Diameter,77,1019132070,19132146,
