
Intensity Center Ch=3 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
326,,Spot,3,Image 1,1,1019132070,19132070,
330,,Spot,3,Image 1,2,1019132070,19132071,
318,,Spot,3,Image 1,3,1019132070,19132072,
324,,Spot,3,Image 1,4,1019132070,19132073,
318,,Spot,3,Image 1,5,1019132070,19132074,
370,,Spot,3,Image 1,6,1019132070,19132075,
326,,Spot,3,Image 1,7,1019132070,19132076,
300,,Spot,3,Image 1,8,1019132070,19132077,
326,,Spot,3,Image 1,9,1019132070,19132078,
318,,Spot,3,Image 1,10,1019132070,19132079,
302,,Spot,3,Image 1,11,1019132070,19132080,
334,,Spot,3,Image 1,12,1019132070,19132081,
318,,Spot,3,Image 1,13,1019132070,19132082,
306,,Spot,3,Image 1,14,1019132070,19132083,
334,,Spot,3,Image 1,15,1019132070,19132084,
312,,Spot,3,Image 1,16,1019132070,19132085,
324,,Spot,3,Image 1,17,1019132070,19132086,
284,,Spot,3,Image 1,18,1019132070,19132087,
292,,Spot,3,Image 1,19,1019132070,19132088,
286,,Spot,3,Image 1,20,1019132070,19132089,
256,,Spot,3,Image 1,21,1019132070,19132090,
322,,Spot,3,Image 1,22,1019132070,19132091,
316,,Spot,3,Image 1,23,1019132070,19132092,
300,,Spot,3,Image 1,24,1019132070,19132093,
300,,Spot,3,Image 1,25,1019132070,19132094,
326,,Spot,3,Image 1,26,1019132070,19132095,
318,,Spot,3,Image 1,27,1019132070,19132096,
332,,Spot,3,Image 1,28,1019132070,19132097,
320,,Spot,3,Image 1,29,1019132070,19132098,
346,,Spot,3,Image 1,30,1019132070,19132099,
286,,Spot,3,Image 1,31,1019132070,19132100,
358,,Spot,3,Image 1,32,1019132070,19132101,
360,,Spot,3,Image 1,33,1019132070,19132102,
334,,Spot,3,Image 1,34,1019132070,19132103,
380,,Spot,3,Image 1,35,1019132070,19132104,
336,,Spot,3,Image 1,36,1019132070,19132105,
304,,Spot,3,Image 1,37,1019132070,19132106,
320,,Spot,3,Image 1,38,1019132070,19132107,
310,,Spot,3,Image 1,39,1019132070,19132108,
302,,Spot,3,Image 1,40,1019132070,19132109,
362,,Spot,3,Image 1,41,1019132070,19132110,
346,,Spot,3,Image 1,42,1019132070,19132111,
290,,Spot,3,Image 1,43,1019132070,19132112,
290,,Spot,3,Image 1,44,1019132070,19132113,
318,,Spot,3,Image 1,45,1019132070,19132114,
324,,Spot,3,Image 1,46,1019132070,19132115,
306,,Spot,3,Image 1,47,1019132070,19132116,
296,,Spot,3,Image 1,48,1019132070,19132117,
330,,Spot,3,Image 1,49,1019132070,19132118,
340,,Spot,3,Image 1,50,1019132070,19132119,
336,,Spot,3,Image 1,51,1019132070,19132120,
366,,Spot,3,Image 1,52,1019132070,19132121,
322,,Spot,3,Image 1,53,1019132070,19132122,
336,,Spot,3,Image 1,54,1019132070,19132123,
274,,Spot,3,Image 1,55,1019132070,19132124,
342,,Spot,3,Image 1,56,1019132070,19132125,
310,,Spot,3,Image 1,57,1019132070,19132126,
296,,Spot,3,Image 1,58,1019132070,19132127,
302,,Spot,3,Image 1,59,1019132070,19132128,
352,,Spot,3,Image 1,60,1019132070,19132129,
302,,Spot,3,Image 1,61,1019132070,19132130,
346,,Spot,3,Image 1,62,1019132070,19132131,
300,,Spot,3,Image 1,63,1019132070,19132132,
346,,Spot,3,Image 1,64,1019132070,19132133,
302,,Spot,3,Image 1,65,1019132070,19132134,
330,,Spot,3,Image 1,66,1019132070,19132135,
334,,Spot,3,Image 1,67,1019132070,19132136,
314,,Spot,3,Image 1,68,1019132070,19132137,
270,,Spot,3,Image 1,69,1019132070,19132138,
372,,Spot,3,Image 1,70,1019132070,19132139,
348,,Spot,3,Image 1,71,1019132070,19132140,
308,,Spot,3,Image 1,72,1019132070,19132141,
360,,Spot,3,Image 1,73,1019132070,19132142,
334,,Spot,3,Image 1,74,1019132070,19132143,
368,,Spot,3,Image 1,75,1019132070,19132144,
258,,Spot,3,Image 1,76,1019132070,19132145,
320,,Spot,3,Image 1,77,1019132070,19132146,
318,,Spot,3,Image 1,78,1019132070,19132147,
324,,Spot,3,Image 1,79,1019132070,19132148,
276,,Spot,3,Image 1,80,1019132070,19132149,
348,,Spot,3,Image 1,81,1019132070,19132150,
322,,Spot,3,Image 1,82,1019132070,19132151,
342,,Spot,3,Image 1,83,1019132070,19132152,
290,,Spot,3,Image 1,84,1019132070,19132153,
360,,Spot,3,Image 1,85,1019132070,19132154,
332,,Spot,3,Image 1,86,1019132070,19132155,
344,,Spot,3,Image 1,87,1019132070,19132156,
370,,Spot,3,Image 1,88,1019132070,19132157,
320,,Spot,3,Image 1,89,1019132070,19132158,
330,,Spot,3,Image 1,90,1019132070,19132159,
346,,Spot,3,Image 1,91,1019132070,19132160,
300,,Spot,3,Image 1,92,1019132070,19132161,
322,,Spot,3,Image 1,93,1019132070,19132162,
332,,Spot,3,Image 1,94,1019132070,19132163,
362,,Spot,3,Image 1,95,1019132070,19132164,
360,,Spot,3,Image 1,96,1019132070,19132165,
354,,Spot,3,Image 1,97,1019132070,19132166,
364,,Spot,3,Image 1,98,1019132070,19132167,
334,,Spot,3,Image 1,99,1019132070,19132168,
308,,Spot,3,Image 1,100,1019132070,19132169,
338,,Spot,3,Image 1,101,1019132070,19132170,
330,,Spot,3,Image 1,102,1019132070,19132171,
316,,Spot,3,Image 1,103,1019132070,19132172,
302,,Spot,3,Image 1,104,1019132070,19132173,
286,,Spot,3,Image 1,105,1019132070,19132174,
352,,Spot,3,Image 1,106,1019132070,19132175,
318,,Spot,3,Image 1,107,1019132070,19132176,
330,,Spot,3,Image 1,108,1019132070,19132177,
276,,Spot,3,Image 1,109,1019132070,19132178,
322,,Spot,3,Image 1,110,1019132070,19132179,
332,,Spot,3,Image 1,111,1019132070,19132180,
362,,Spot,3,Image 1,112,1019132070,19132181,
342,,Spot,3,Image 1,113,1019132070,19132182,
302,,Spot,3,Image 1,114,1019132070,19132183,
340,,Spot,3,Image 1,115,1019132070,19132184,
318,,Spot,3,Image 1,116,1019132070,19132185,
326,,Spot,3,Image 1,117,1019132070,19132186,
290,,Spot,3,Image 1,118,1019132070,19132187,
302,,Spot,3,Image 1,119,1019132070,19132188,
278,,Spot,3,Image 1,120,1019132070,19132189,
284,,Spot,3,Image 1,121,1019132070,19132190,
274,,Spot,3,Image 1,122,1019132070,19132191,
298,,Spot,3,Image 1,123,1019132070,19132192,
364,,Spot,3,Image 1,124,1019132070,19132193,
316,,Spot,3,Image 1,125,1019132070,19132194,
330,,Spot,3,Image 1,126,1019132070,19132195,
286,,Spot,3,Image 1,127,1019132070,19132196,
300,,Spot,3,Image 1,128,1019132070,19132197,
326,,Spot,3,Image 1,129,1019132070,19132198,
324,,Spot,3,Image 1,130,1019132070,19132199,
378,,Spot,3,Image 1,131,1019132070,19132200,
310,,Spot,3,Image 1,132,1019132070,19132201,
344,,Spot,3,Image 1,133,1019132070,19132202,
308,,Spot,3,Image 1,134,1019132070,19132203,
360,,Spot,3,Image 1,135,1019132070,19132204,
320,,Spot,3,Image 1,136,1019132070,19132205,
324,,Spot,3,Image 1,137,1019132070,19132206,
286,,Spot,3,Image 1,138,1019132070,19132207,
254,,Spot,3,Image 1,139,1019132070,19132208,
260,,Spot,3,Image 1,140,1019132070,19132209,
294,,Spot,3,Image 1,141,1019132070,19132210,
288,,Spot,3,Image 1,142,1019132070,19132211,
334,,Spot,3,Image 1,143,1019132070,19132212,
294,,Spot,3,Image 1,144,1019132070,19132213,
290,,Spot,3,Image 1,145,1019132070,19132214,
310,,Spot,3,Image 1,146,1019132070,19132215,
298,,Spot,3,Image 1,147,1019132070,19132216,
300,,Spot,3,Image 1,148,1019132070,19132217,
294,,Spot,3,Image 1,149,1019132070,19132218,
308,,Spot,3,Image 1,150,1019132070,19132219,
278,,Spot,3,Image 1,151,1019132070,19132220,
332,,Spot,3,Image 1,152,1019132070,19132221,
360,,Spot,3,Image 1,153,1019132070,19132222,
278,,Spot,3,Image 1,154,1019132070,19132223,
270,,Spot,3,Image 1,155,1019132070,19132224,
268,,Spot,3,Image 1,156,1019132070,19132225,
276,,Spot,3,Image 1,157,1019132070,19132226,
298,,Spot,3,Image 1,158,1019132070,19132227,
324,,Spot,3,Image 1,159,1019132070,19132228,
238,,Spot,3,Image 1,160,1019132070,19132229,
230,,Spot,3,Image 1,168,1019132070,19132230,
272,,Spot,3,Image 1,169,1019132070,19132231,
324,,Spot,3,Image 1,170,1019132070,19132232,
298,,Spot,3,Image 1,171,1019132070,19132233,
332,,Spot,3,Image 1,172,1019132070,19132234,
300,,Spot,3,Image 1,173,1019132070,19132235,
330,,Spot,3,Image 1,174,1019132070,19132236,
300,,Spot,3,Image 1,175,1019132070,19132237,
348,,Spot,3,Image 1,176,1019132070,19132238,
292,,Spot,3,Image 1,177,1019132070,19132239,
358,,Spot,3,Image 1,178,1019132070,19132240,
274,,Spot,3,Image 1,179,1019132070,19132241,
334,,Spot,3,Image 1,180,1019132070,19132242,
352,,Spot,3,Image 1,181,1019132070,19132243,
362,,Spot,3,Image 1,182,1019132070,19132244,
292,,Spot,3,Image 1,183,1019132070,19132245,
330,,Spot,3,Image 1,184,1019132070,19132246,
334,,Spot,3,Image 1,185,1019132070,19132247,
338,,Spot,3,Image 1,186,1019132070,19132248,
362,,Spot,3,Image 1,187,1019132070,19132249,
380,,Spot,3,Image 1,188,1019132070,19132250,
302,,Spot,3,Image 1,189,1019132070,19132251,
260,,Spot,3,Image 1,190,1019132070,19132252,
320,,Spot,3,Image 1,191,1019132070,19132253,
284,,Spot,3,Image 1,192,1019132070,19132254,
320,,Spot,3,Image 1,193,1019132070,19132255,
302,,Spot,3,Image 1,194,1019132070,19132256,
318,,Spot,3,Image 1,195,1019132070,19132257,
352,,Spot,3,Image 1,196,1019132070,19132258,
362,,Spot,3,Image 1,197,1019132070,19132259,
306,,Spot,3,Image 1,198,1019132070,19132260,
274,,Spot,3,Image 1,199,1019132070,19132261,
278,,Spot,3,Image 1,200,1019132070,19132262,
330,,Spot,3,Image 1,201,1019132070,19132263,
288,,Spot,3,Image 1,202,1019132070,19132264,
318,,Spot,3,Image 1,203,1019132070,19132265,
306,,Spot,3,Image 1,204,1019132070,19132266,
322,,Spot,3,Image 1,205,1019132070,19132267,
264,,Spot,3,Image 1,206,1019132070,19132268,
256,,Spot,3,Image 1,207,1019132070,19132269,
284,,Spot,3,Image 1,208,1019132070,19132270,
252,,Spot,3,Image 1,209,1019132070,19132271,
300,,Spot,3,Image 1,210,1019132070,19132272,
294,,Spot,3,Image 1,211,1019132070,19132273,
302,,Spot,3,Image 1,212,1019132070,19132274,
276,,Spot,3,Image 1,213,1019132070,19132275,
278,,Spot,3,Image 1,214,1019132070,19132276,
258,,Spot,3,Image 1,215,1019132070,19132277,
294,,Spot,3,Image 1,216,1019132070,19132278,
250,,Spot,3,Image 1,217,1019132070,19132279,
270,,Spot,3,Image 1,218,1019132070,19132280,
272,,Spot,3,Image 1,219,1019132070,19132281,
244,,Spot,3,Image 1,220,1019132070,19132282,
274,,Spot,3,Image 1,221,1019132070,19132283,
274,,Spot,3,Image 1,222,1019132070,19132284,
266,,Spot,3,Image 1,223,1019132070,19132285,
222,,Spot,3,Image 1,224,1019132070,19132286,
264,,Spot,3,Image 1,225,1019132070,19132287,
308,,Spot,3,Image 1,226,1019132070,19132288,
358,,Spot,3,Image 1,227,1019132070,19132289,
224,,Spot,3,Image 1,228,1019132070,19132290,
268,,Spot,3,Image 1,229,1019132070,19132291,
306,,Spot,3,Image 1,230,1019132070,19132292,
314,,Spot,3,Image 1,231,1019132070,19132293,
264,,Spot,3,Image 1,232,1019132070,19132294,
304,,Spot,3,Image 1,233,1019132070,19132295,
260,,Spot,3,Image 1,234,1019132070,19132296,
324,,Spot,3,Image 1,235,1019132070,19132297,
292,,Spot,3,Image 1,236,1019132070,19132298,
278,,Spot,3,Image 1,237,1019132070,19132299,
280,,Spot,3,Image 1,238,1019132070,19132300,
242,,Spot,3,Image 1,239,1019132070,19132301,
258,,Spot,3,Image 1,240,1019132070,19132302,
258,,Spot,3,Image 1,241,1019132070,19132303,
264,,Spot,3,Image 1,242,1019132070,19132304,
232,,Spot,3,Image 1,243,1019132070,19132305,
304,,Spot,3,Image 1,244,1019132070,19132306,
268,,Spot,3,Image 1,245,1019132070,19132307,
300,,Spot,3,Image 1,246,1019132070,19132308,
278,,Spot,3,Image 1,247,1019132070,19132309,
314,,Spot,3,Image 1,248,1019132070,19132310,
342,,Spot,3,Image 1,249,1019132070,19132311,
312,,Spot,3,Image 1,250,1019132070,19132312,
278,,Spot,3,Image 1,251,1019132070,19132313,
266,,Spot,3,Image 1,252,1019132070,19132314,
306,,Spot,3,Image 1,253,1019132070,19132315,
274,,Spot,3,Image 1,254,1019132070,19132316,
260,,Spot,3,Image 1,255,1019132070,19132317,
286,,Spot,3,Image 1,256,1019132070,19132318,
292,,Spot,3,Image 1,257,1019132070,19132319,
276,,Spot,3,Image 1,258,1019132070,19132320,
264,,Spot,3,Image 1,259,1019132070,19132321,
280,,Spot,3,Image 1,260,1019132070,19132322,
306,,Spot,3,Image 1,261,1019132070,19132323,
282,,Spot,3,Image 1,262,1019132070,19132324,
252,,Spot,3,Image 1,263,1019132070,19132325,
250,,Spot,3,Image 1,264,1019132070,19132326,
262,,Spot,3,Image 1,265,1019132070,19132327,
264,,Spot,3,Image 1,266,1019132070,19132328,
266,,Spot,3,Image 1,267,1019132070,19132329,
256,,Spot,3,Image 1,268,1019132070,19132330,
256,,Spot,3,Image 1,269,1019132070,19132331,
268,,Spot,3,Image 1,270,1019132070,19132332,
304,,Spot,3,Image 1,271,1019132070,19132333,
256,,Spot,3,Image 1,272,1019132070,19132334,
238,,Spot,3,Image 1,273,1019132070,19132335,
240,,Spot,3,Image 1,274,1019132070,19132336,
290,,Spot,3,Image 1,275,1019132070,19132337,
240,,Spot,3,Image 1,276,1019132070,19132338,
278,,Spot,3,Image 1,277,1019132070,19132339,
272,,Spot,3,Image 1,278,1019132070,19132340,
242,,Spot,3,Image 1,279,1019132070,19132341,
256,,Spot,3,Image 1,280,1019132070,19132342,
244,,Spot,3,Image 1,281,1019132070,19132343,
292,,Spot,3,Image 1,282,1019132070,19132344,
282,,Spot,3,Image 1,283,1019132070,19132345,
262,,Spot,3,Image 1,284,1019132070,19132346,
230,,Spot,3,Image 1,285,1019132070,19132347,
258,,Spot,3,Image 1,286,1019132070,19132348,
244,,Spot,3,Image 1,287,1019132070,19132349,
250,,Spot,3,Image 1,288,1019132070,19132350,
248,,Spot,3,Image 1,289,1019132070,19132351,
248,,Spot,3,Image 1,290,1019132070,19132352,
258,,Spot,3,Image 1,291,1019132070,19132353,
276,,Spot,3,Image 1,292,1019132070,19132354,
242,,Spot,3,Image 1,293,1019132070,19132355,
258,,Spot,3,Image 1,294,1019132070,19132356,
248,,Spot,3,Image 1,295,1019132070,19132357,
304,,Spot,3,Image 1,296,1019132070,19132358,
264,,Spot,3,Image 1,297,1019132070,19132359,
260,,Spot,3,Image 1,298,1019132070,19132360,
250,,Spot,3,Image 1,299,1019132070,19132361,
268,,Spot,3,Image 1,300,1019132070,19132362,
280,,Spot,3,Image 1,301,1019132070,19132363,
282,,Spot,3,Image 1,302,1019132070,19132364,
248,,Spot,3,Image 1,303,1019132070,19132365,
242,,Spot,3,Image 1,304,1019132070,19132366,
260,,Spot,3,Image 1,305,1019132070,19132367,
258,,Spot,3,Image 1,306,1019132070,19132368,
326,,Spot,3,Image 1,307,1019132070,19132369,
280,,Spot,3,Image 1,308,1019132070,19132370,
268,,Spot,3,Image 1,309,1019132070,19132371,
304,,Spot,3,Image 1,310,1019132070,19132372,
270,,Spot,3,Image 1,311,1019132070,19132373,
288,,Spot,3,Image 1,312,1019132070,19132374,
316,,Spot,3,Image 1,313,1019132070,19132375,
258,,Spot,3,Image 1,314,1019132070,19132376,
276,,Spot,3,Image 1,315,1019132070,19132377,
278,,Spot,3,Image 1,316,1019132070,19132378,
294,,Spot,3,Image 1,317,1019132070,19132379,
254,,Spot,3,Image 1,318,1019132070,19132380,
264,,Spot,3,Image 1,319,1019132070,19132381,
310,,Spot,3,Image 1,320,1019132070,19132382,
312,,Spot,3,Image 1,321,1019132070,19132383,
270,,Spot,3,Image 1,322,1019132070,19132384,
272,,Spot,3,Image 1,323,1019132070,19132385,
236,,Spot,3,Image 1,324,1019132070,19132386,
304,,Spot,3,Image 1,325,1019132070,19132387,
292,,Spot,3,Image 1,326,1019132070,19132388,
232,,Spot,3,Image 1,327,1019132070,19132389,
286,,Spot,3,Image 1,328,1019132070,19132390,
266,,Spot,3,Image 1,329,1019132070,19132391,
256,,Spot,3,Image 1,330,1019132070,19132392,
272,,Spot,3,Image 1,331,1019132070,19132393,
268,,Spot,3,Image 1,332,1019132070,19132394,
268,,Spot,3,Image 1,333,1019132070,19132395,
266,,Spot,3,Image 1,334,1019132070,19132396,
318,,Spot,3,Image 1,335,1019132070,19132397,
280,,Spot,3,Image 1,336,1019132070,19132398,
316,,Spot,3,Image 1,337,1019132070,19132399,
322,,Spot,3,Image 1,338,1019132070,19132400,
330,,Spot,3,Image 1,339,1019132070,19132401,
300,,Spot,3,Image 1,340,1019132070,19132402,
356,,Spot,3,Image 1,341,1019132070,19132403,
326,,Spot,3,Image 1,342,1019132070,19132404,
308,,Spot,3,Image 1,343,1019132070,19132405,
278,,Spot,3,Image 1,344,1019132070,19132406,
310,,Spot,3,Image 1,345,1019132070,19132407,
334,,Spot,3,Image 1,346,1019132070,19132408,
338,,Spot,3,Image 1,347,1019132070,19132409,
312,,Spot,3,Image 1,348,1019132070,19132410,
372,,Spot,3,Image 1,349,1019132070,19132411,
314,,Spot,3,Image 1,350,1019132070,19132412,
272,,Spot,3,Image 1,351,1019132070,19132413,
262,,Spot,3,Image 1,352,1019132070,19132414,
306,,Spot,3,Image 1,353,1019132070,19132415,
290,,Spot,3,Image 1,354,1019132070,19132416,
294,,Spot,3,Image 1,355,1019132070,19132417,
332,,Spot,3,Image 1,356,1019132070,19132418,
304,,Spot,3,Image 1,357,1019132070,19132419,
318,,Spot,3,Image 1,358,1019132070,19132420,
364,,Spot,3,Image 1,359,1019132070,19132421,
300,,Spot,3,Image 1,360,1019132070,19132422,
294,,Spot,3,Image 1,361,1019132070,19132423,
278,,Spot,3,Image 1,362,1019132070,19132424,
324,,Spot,3,Image 1,363,1019132070,19132425,
272,,Spot,3,Image 1,364,1019132070,19132426,
312,,Spot,3,Image 1,365,1019132070,19132427,
316,,Spot,3,Image 1,366,1019132070,19132428,
296,,Spot,3,Image 1,367,1019132070,19132429,
340,,Spot,3,Image 1,368,1019132070,19132430,
364,,Spot,3,Image 1,369,1019132070,19132431,
302,,Spot,3,Image 1,370,1019132070,19132432,
