
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
290.075,,Spot,3,Image 1,1,1019132070,19132070,
306.236,,Spot,3,Image 1,2,1019132070,19132071,
294.455,,Spot,3,Image 1,3,1019132070,19132072,
296.71,,Spot,3,Image 1,4,1019132070,19132073,
301.287,,Spot,3,Image 1,5,1019132070,19132074,
309.138,,Spot,3,Image 1,6,1019132070,19132075,
298.172,,Spot,3,Image 1,7,1019132070,19132076,
309.365,,Spot,3,Image 1,8,1019132070,19132077,
311.746,,Spot,3,Image 1,9,1019132070,19132078,
301.642,,Spot,3,Image 1,10,1019132070,19132079,
306.944,,Spot,3,Image 1,11,1019132070,19132080,
302.061,,Spot,3,Image 1,12,1019132070,19132081,
299.908,,Spot,3,Image 1,13,1019132070,19132082,
303.873,,Spot,3,Image 1,14,1019132070,19132083,
283.456,,Spot,3,Image 1,15,1019132070,19132084,
294.596,,Spot,3,Image 1,16,1019132070,19132085,
295.385,,Spot,3,Image 1,17,1019132070,19132086,
279.803,,Spot,3,Image 1,18,1019132070,19132087,
278.733,,Spot,3,Image 1,19,1019132070,19132088,
270.219,,Spot,3,Image 1,20,1019132070,19132089,
278.311,,Spot,3,Image 1,21,1019132070,19132090,
284.942,,Spot,3,Image 1,22,1019132070,19132091,
294.412,,Spot,3,Image 1,23,1019132070,19132092,
295.226,,Spot,3,Image 1,24,1019132070,19132093,
302.326,,Spot,3,Image 1,25,1019132070,19132094,
304.806,,Spot,3,Image 1,26,1019132070,19132095,
318.053,,Spot,3,Image 1,27,1019132070,19132096,
316.02,,Spot,3,Image 1,28,1019132070,19132097,
312.477,,Spot,3,Image 1,29,1019132070,19132098,
300.763,,Spot,3,Image 1,30,1019132070,19132099,
306.629,,Spot,3,Image 1,31,1019132070,19132100,
314.016,,Spot,3,Image 1,32,1019132070,19132101,
305.981,,Spot,3,Image 1,33,1019132070,19132102,
317.919,,Spot,3,Image 1,34,1019132070,19132103,
313.322,,Spot,3,Image 1,35,1019132070,19132104,
313.191,,Spot,3,Image 1,36,1019132070,19132105,
309.597,,Spot,3,Image 1,37,1019132070,19132106,
314.745,,Spot,3,Image 1,38,1019132070,19132107,
310.648,,Spot,3,Image 1,39,1019132070,19132108,
293.288,,Spot,3,Image 1,40,1019132070,19132109,
298.817,,Spot,3,Image 1,41,1019132070,19132110,
303.452,,Spot,3,Image 1,42,1019132070,19132111,
290.172,,Spot,3,Image 1,43,1019132070,19132112,
