
Intensity Min Ch=3 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
184,,Spot,3,Image 1,95,1000125942,125942,
180,,Spot,3,Image 1,96,1000125942,125943,
178,,Spot,3,Image 1,93,1000125942,125944,
180,,Spot,3,Image 1,94,1000125942,125945,
168,,Spot,3,Image 1,117,1000125946,125946,
178,,Spot,3,Image 1,118,1000125946,125947,
182,,Spot,3,Image 1,119,1000125946,125948,
168,,Spot,3,Image 1,134,1000125949,125949,
162,,Spot,3,Image 1,135,1000125949,125950,
182,,Spot,3,Image 1,136,1000125949,125951,
178,,Spot,3,Image 1,137,1000125949,125952,
174,,Spot,3,Image 1,177,1000125953,125953,
178,,Spot,3,Image 1,178,1000125953,125954,
180,,Spot,3,Image 1,179,1000125953,125955,
180,,Spot,3,Image 1,180,1000125953,125956,
180,,Spot,3,Image 1,106,1000125957,125957,
178,,Spot,3,Image 1,107,1000125957,125958,
168,,Spot,3,Image 1,108,1000125957,125959,
178,,Spot,3,Image 1,109,1000125957,125960,
