
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
24.1335,41.2897,15.4637,µm,Spot,Position,93,1000125942,125944,
24.2265,41.4628,15.9855,µm,Spot,Position,94,1000125942,125945,
24.1335,42.2622,15.9641,µm,Spot,Position,95,1000125942,125942,
24.0405,42.0141,15.6263,µm,Spot,Position,96,1000125942,125943,
36.5955,24.8339,30.0924,µm,Spot,Position,106,1000125957,125957,
37.1535,24.9578,30.0491,µm,Spot,Position,107,1000125957,125958,
36.6885,24.7281,29.7537,µm,Spot,Position,108,1000125957,125959,
36.9675,25.2366,29.4382,µm,Spot,Position,109,1000125957,125960,
20.6925,24.2319,17.9853,µm,Spot,Position,117,1000125946,125946,
21.0645,24.2343,16.2969,µm,Spot,Position,118,1000125946,125947,
20.9715,23.6358,16.2053,µm,Spot,Position,119,1000125946,125948,
33.8055,38.7068,22.8112,µm,Spot,Position,134,1000125949,125949,
33.8055,38.9004,22.8827,µm,Spot,Position,135,1000125949,125950,
34.2705,39.986,22.1941,µm,Spot,Position,136,1000125949,125951,
33.8055,39.2203,22.8129,µm,Spot,Position,137,1000125949,125952,
44.4075,20.5967,40.412,µm,Spot,Position,177,1000125953,125953,
45.0585,20.8107,40.6197,µm,Spot,Position,178,1000125953,125954,
44.4075,20.8494,41.5392,µm,Spot,Position,179,1000125953,125955,
45.1515,21.7625,39.5897,µm,Spot,Position,180,1000125953,125956,
