
Velocity Angle Z
 ==================== 
Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
121.696,°,Spot,Velocity Angle,95,1000125942,125942,
141.893,°,Spot,Velocity Angle,96,1000125942,125943,
20.6297,°,Spot,Velocity Angle,93,1000125942,125944,
62.7704,°,Spot,Velocity Angle,94,1000125942,125945,
167.579,°,Spot,Velocity Angle,117,1000125946,125946,
159.712,°,Spot,Velocity Angle,118,1000125946,125947,
98.6025,°,Spot,Velocity Angle,119,1000125946,125948,
69.731,°,Spot,Velocity Angle,134,1000125949,125949,
114.391,°,Spot,Velocity Angle,135,1000125949,125950,
102.317,°,Spot,Velocity Angle,136,1000125949,125951,
55.3663,°,Spot,Velocity Angle,137,1000125949,125952,
73.1406,°,Spot,Velocity Angle,177,1000125953,125953,
12.6357,°,Spot,Velocity Angle,178,1000125953,125954,
137.13,°,Spot,Velocity Angle,179,1000125953,125955,
148.866,°,Spot,Velocity Angle,180,1000125953,125956,
94.3353,°,Spot,Velocity Angle,106,1000125957,125957,
157.419,°,Spot,Velocity Angle,107,1000125957,125958,
151.254,°,Spot,Velocity Angle,108,1000125957,125959,
118.552,°,Spot,Velocity Angle,109,1000125957,125960,
