
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,µm,Spot,Displacement Delta,98,1000031584,31584,
-0.155006,0.651,0.253823,µm,Spot,Displacement Delta,99,1000031584,31585,
-0.397476,0.0929995,-0.00890827,µm,Spot,Displacement Delta,100,1000031584,31586,
0.0443192,0.0930004,0.0895414,µm,Spot,Displacement Delta,101,1000031584,31587,
-0.0711632,-0.372,-0.313934,µm,Spot,Displacement Delta,102,1000031584,31588,
0.156864,0.651,0.545232,µm,Spot,Displacement Delta,103,1000031584,31589,
-0.0444336,-0.558001,-0.124568,µm,Spot,Displacement Delta,104,1000031584,31590,
0.0145187,0.279,-0.739353,µm,Spot,Displacement Delta,105,1000031584,31591,
-0.195099,0.744,0.502082,µm,Spot,Displacement Delta,106,1000031584,31592,
0.404915,-0.0930004,0.793855,µm,Spot,Displacement Delta,107,1000031584,31593,
0.228424,0.0930004,-0.258525,µm,Spot,Displacement Delta,108,1000031584,31594,
-0.210552,0.0929995,0.385755,µm,Spot,Displacement Delta,109,1000031584,31595,
-0.0826759,0.0930004,0.255904,µm,Spot,Displacement Delta,110,1000031584,31596,
0.255722,-0.372001,0.169958,µm,Spot,Displacement Delta,111,1000031584,31597,
0.147415,0,0.244525,µm,Spot,Displacement Delta,112,1000031584,31598,
-0.253792,0.186001,0.0771685,µm,Spot,Displacement Delta,113,1000031584,31599,
0.0342064,-0.0930004,0.121267,µm,Spot,Displacement Delta,114,1000031584,31600,
0.116714,0.0930004,0.186844,µm,Spot,Displacement Delta,115,1000031584,31601,
0.0910378,0.372,0.00938416,µm,Spot,Displacement Delta,116,1000031584,31602,
0.120678,0.0929995,0.252099,µm,Spot,Displacement Delta,117,1000031584,31603,
0.546967,-0.278999,-0.854424,µm,Spot,Displacement Delta,118,1000031584,31604,
-0.224163,0.186,0.415853,µm,Spot,Displacement Delta,119,1000031584,31605,
0.184921,0.372,0.509815,µm,Spot,Displacement Delta,120,1000031584,31606,
-0.311584,0.279,0.121844,µm,Spot,Displacement Delta,121,1000031584,31607,
0.271683,0.372,0.105382,µm,Spot,Displacement Delta,122,1000031584,31608,
0.497696,0.186,0.315156,µm,Spot,Displacement Delta,123,1000031584,31609,
0.336868,0.651,-0.125862,µm,Spot,Displacement Delta,124,1000031584,31610,
0.115299,0,-0.0100021,µm,Spot,Displacement Delta,125,1000031584,31611,
0.166153,0.186,-0.532367,µm,Spot,Displacement Delta,126,1000031584,31612,
0.451,1.116,0.912267,µm,Spot,Displacement Delta,127,1000031584,31613,
0.446518,-0.186001,-0.461523,µm,Spot,Displacement Delta,128,1000031584,31614,
-0.0438232,1.116,1.46247,µm,Spot,Displacement Delta,129,1000031584,31615,
0.156773,0.0930004,0.6278,µm,Spot,Displacement Delta,130,1000031584,31616,
-0.0151596,1.302,-0.267685,µm,Spot,Displacement Delta,131,1000031584,31617,
0,0,0,µm,Spot,Displacement Delta,145,1000031618,31618,
-0.185999,0.800813,-0.339539,µm,Spot,Displacement Delta,146,1000031618,31619,
0.278999,-0.154865,-0.220657,µm,Spot,Displacement Delta,147,1000031618,31620,
0.0930004,0.482346,-0.162003,µm,Spot,Displacement Delta,148,1000031618,31621,
0.278999,-0.299046,0.766464,µm,Spot,Displacement Delta,149,1000031618,31622,
-0.372,0.776501,-1.04189,µm,Spot,Displacement Delta,150,1000031618,31623,
0,0.104191,0.78511,µm,Spot,Displacement Delta,151,1000031618,31624,
-0.0930004,0.571987,-0.872101,µm,Spot,Displacement Delta,152,1000031618,31625,
0.186001,0.79171,-1.94641,µm,Spot,Displacement Delta,153,1000031618,31626,
0.0930004,0.454107,-0.581894,µm,Spot,Displacement Delta,154,1000031618,31627,
-0.185999,-0.131626,0.792091,µm,Spot,Displacement Delta,166,1000031631,31631,
-0.186001,-0.378578,0.0943375,µm,Spot,Displacement Delta,167,1000031631,31632,
0.837,-0.588724,0.180283,µm,Spot,Displacement Delta,168,1000031631,31633,
-1.06798,0.0679588,1.07611,µm,Spot,Displacement Delta,169,1000031631,31634,
-0.197769,-0.480953,1,µm,Spot,Displacement Delta,170,1000031631,31635,
0.312939,-0.467922,0,µm,Spot,Displacement Delta,171,1000031631,31636,
0.394808,-0.197248,-1.11032,µm,Spot,Displacement Delta,172,1000031631,31637,
-0.465,-0.0864067,0.417389,µm,Spot,Displacement Delta,173,1000031631,31638,
-0.372,0.0336742,0.00747681,µm,Spot,Displacement Delta,174,1000031631,31639,
0,0.724133,-1.29861,µm,Spot,Displacement Delta,175,1000031631,31640,
0.558001,0.0572224,0.121666,µm,Spot,Displacement Delta,176,1000031631,31641,
-0.0930004,-0.34096,0.352081,µm,Spot,Displacement Delta,177,1000031631,31642,
0.279001,-0.151972,0.392014,µm,Spot,Displacement Delta,178,1000031631,31643,
0.0929985,0.199217,0.603409,µm,Spot,Displacement Delta,179,1000031631,31644,
-0.650999,0.193748,-0.633499,µm,Spot,Displacement Delta,180,1000031631,31645,
0.650999,-0.5161,0.0632782,µm,Spot,Displacement Delta,181,1000031631,31646,
-0.465,-0.463694,1.3327,µm,Spot,Displacement Delta,182,1000031631,31647,
0.384518,0.798222,-1.92552,µm,Spot,Displacement Delta,182,1000031678,31678,
-0.384518,-0.798222,1.92552,µm,Spot,Displacement Delta,183,1000031678,31679,
0,-1.2766,0.218399,µm,Spot,Displacement Delta,183,1000031631,31680,
0.186001,-0.978935,0.678818,µm,Spot,Displacement Delta,184,1000031631,31681,
-0.826313,-2.5,4.5,µm,Spot,Displacement Delta,184,1000031678,31682,
0.278999,0.454605,-1.57378,µm,Spot,Displacement Delta,185,1000031631,31683,
-0.341711,0.200001,0,µm,Spot,Displacement Delta,185,1000031678,31684,
0,-0.149261,-0.191238,µm,Spot,Displacement Delta,186,1000031631,31685,
0.241711,-0.298752,0,µm,Spot,Displacement Delta,186,1000031678,31686,
0.279001,-0.880932,-0.335007,µm,Spot,Displacement Delta,187,1000031631,31687,
-0.44978,0.726692,0,µm,Spot,Displacement Delta,187,1000031678,31688,
-0.0930004,-0.97345,-0.671402,µm,Spot,Displacement Delta,188,1000031631,31689,
-0.199205,-0.240093,0,µm,Spot,Displacement Delta,188,1000031678,31690,
0,0.458618,2.17731,µm,Spot,Displacement Delta,189,1000031631,31691,
0.19253,0.334232,0.5,µm,Spot,Displacement Delta,189,1000031678,31692,
