
Intensity Mean Ch=3 Img=1
 ==================== 
Intensity Mean,Unit,Category,Channel,Image,Time,TrackID,ID,
163.67,,Spot,3,Image 1,98,1000031584,31584,
177.067,,Spot,3,Image 1,99,1000031584,31585,
178.279,,Spot,3,Image 1,100,1000031584,31586,
182.876,,Spot,3,Image 1,101,1000031584,31587,
168.752,,Spot,3,Image 1,102,1000031584,31588,
193.194,,Spot,3,Image 1,103,1000031584,31589,
187.897,,Spot,3,Image 1,104,1000031584,31590,
174.805,,Spot,3,Image 1,105,1000031584,31591,
199.391,,Spot,3,Image 1,106,1000031584,31592,
210.022,,Spot,3,Image 1,107,1000031584,31593,
213.982,,Spot,3,Image 1,108,1000031584,31594,
218.362,,Spot,3,Image 1,109,1000031584,31595,
227.122,,Spot,3,Image 1,110,1000031584,31596,
223.66,,Spot,3,Image 1,111,1000031584,31597,
223.369,,Spot,3,Image 1,112,1000031584,31598,
222.804,,Spot,3,Image 1,113,1000031584,31599,
226.41,,Spot,3,Image 1,114,1000031584,31600,
226.377,,Spot,3,Image 1,115,1000031584,31601,
226.654,,Spot,3,Image 1,116,1000031584,31602,
228.131,,Spot,3,Image 1,117,1000031584,31603,
223.797,,Spot,3,Image 1,118,1000031584,31604,
224.965,,Spot,3,Image 1,119,1000031584,31605,
224.898,,Spot,3,Image 1,120,1000031584,31606,
224.668,,Spot,3,Image 1,121,1000031584,31607,
229.73,,Spot,3,Image 1,122,1000031584,31608,
227.012,,Spot,3,Image 1,123,1000031584,31609,
234.985,,Spot,3,Image 1,124,1000031584,31610,
232.538,,Spot,3,Image 1,125,1000031584,31611,
228.262,,Spot,3,Image 1,126,1000031584,31612,
235.105,,Spot,3,Image 1,127,1000031584,31613,
233.83,,Spot,3,Image 1,128,1000031584,31614,
246.322,,Spot,3,Image 1,129,1000031584,31615,
253.272,,Spot,3,Image 1,130,1000031584,31616,
264.718,,Spot,3,Image 1,131,1000031584,31617,
219.339,,Spot,3,Image 1,145,1000031618,31618,
219.884,,Spot,3,Image 1,146,1000031618,31619,
220.056,,Spot,3,Image 1,147,1000031618,31620,
220.541,,Spot,3,Image 1,148,1000031618,31621,
222.974,,Spot,3,Image 1,149,1000031618,31622,
224.527,,Spot,3,Image 1,150,1000031618,31623,
219.979,,Spot,3,Image 1,151,1000031618,31624,
225.64,,Spot,3,Image 1,152,1000031618,31625,
229.326,,Spot,3,Image 1,153,1000031618,31626,
229.64,,Spot,3,Image 1,154,1000031618,31627,
222.305,,Spot,3,Image 1,166,1000031631,31631,
223.339,,Spot,3,Image 1,167,1000031631,31632,
