
Intensity Min Ch=2 Img=1
 ==================== 
Intensity Min,Unit,Category,Channel,Image,Time,TrackID,ID,
0,,Spot,2,Image 1,98,1000031584,31584,
0,,Spot,2,Image 1,99,1000031584,31585,
0,,Spot,2,Image 1,100,1000031584,31586,
0,,Spot,2,Image 1,101,1000031584,31587,
0,,Spot,2,Image 1,102,1000031584,31588,
0,,Spot,2,Image 1,103,1000031584,31589,
0,,Spot,2,Image 1,104,1000031584,31590,
0,,Spot,2,Image 1,105,1000031584,31591,
0,,Spot,2,Image 1,106,1000031584,31592,
0,,Spot,2,Image 1,107,1000031584,31593,
0,,Spot,2,Image 1,108,1000031584,31594,
0,,Spot,2,Image 1,109,1000031584,31595,
184,,Spot,2,Image 1,110,1000031584,31596,
190,,Spot,2,Image 1,111,1000031584,31597,
206,,Spot,2,Image 1,112,1000031584,31598,
188,,Spot,2,Image 1,113,1000031584,31599,
196,,Spot,2,Image 1,114,1000031584,31600,
196,,Spot,2,Image 1,115,1000031584,31601,
178,,Spot,2,Image 1,116,1000031584,31602,
200,,Spot,2,Image 1,117,1000031584,31603,
204,,Spot,2,Image 1,118,1000031584,31604,
210,,Spot,2,Image 1,119,1000031584,31605,
186,,Spot,2,Image 1,120,1000031584,31606,
178,,Spot,2,Image 1,121,1000031584,31607,
192,,Spot,2,Image 1,122,1000031584,31608,
194,,Spot,2,Image 1,123,1000031584,31609,
184,,Spot,2,Image 1,124,1000031584,31610,
194,,Spot,2,Image 1,125,1000031584,31611,
182,,Spot,2,Image 1,126,1000031584,31612,
192,,Spot,2,Image 1,127,1000031584,31613,
184,,Spot,2,Image 1,128,1000031584,31614,
202,,Spot,2,Image 1,129,1000031584,31615,
180,,Spot,2,Image 1,130,1000031584,31616,
170,,Spot,2,Image 1,131,1000031584,31617,
178,,Spot,2,Image 1,145,1000031618,31618,
186,,Spot,2,Image 1,146,1000031618,31619,
192,,Spot,2,Image 1,147,1000031618,31620,
178,,Spot,2,Image 1,148,1000031618,31621,
168,,Spot,2,Image 1,149,1000031618,31622,
182,,Spot,2,Image 1,150,1000031618,31623,
190,,Spot,2,Image 1,151,1000031618,31624,
186,,Spot,2,Image 1,152,1000031618,31625,
196,,Spot,2,Image 1,153,1000031618,31626,
186,,Spot,2,Image 1,154,1000031618,31627,
186,,Spot,2,Image 1,166,1000031631,31631,
188,,Spot,2,Image 1,167,1000031631,31632,
220,,Spot,2,Image 1,168,1000031631,31633,
178,,Spot,2,Image 1,169,1000031631,31634,
214,,Spot,2,Image 1,170,1000031631,31635,
234,,Spot,2,Image 1,171,1000031631,31636,
216,,Spot,2,Image 1,172,1000031631,31637,
210,,Spot,2,Image 1,173,1000031631,31638,
212,,Spot,2,Image 1,174,1000031631,31639,
218,,Spot,2,Image 1,175,1000031631,31640,
214,,Spot,2,Image 1,176,1000031631,31641,
224,,Spot,2,Image 1,177,1000031631,31642,
218,,Spot,2,Image 1,178,1000031631,31643,
208,,Spot,2,Image 1,179,1000031631,31644,
226,,Spot,2,Image 1,180,1000031631,31645,
250,,Spot,2,Image 1,181,1000031631,31646,
224,,Spot,2,Image 1,182,1000031631,31647,
0,,Spot,2,Image 1,182,1000031678,31678,
246,,Spot,2,Image 1,183,1000031678,31679,
224,,Spot,2,Image 1,183,1000031631,31680,
248,,Spot,2,Image 1,184,1000031631,31681,
256,,Spot,2,Image 1,184,1000031678,31682,
224,,Spot,2,Image 1,185,1000031631,31683,
244,,Spot,2,Image 1,185,1000031678,31684,
222,,Spot,2,Image 1,186,1000031631,31685,
254,,Spot,2,Image 1,186,1000031678,31686,
248,,Spot,2,Image 1,187,1000031631,31687,
240,,Spot,2,Image 1,187,1000031678,31688,
186,,Spot,2,Image 1,188,1000031631,31689,
248,,Spot,2,Image 1,188,1000031678,31690,
188,,Spot,2,Image 1,189,1000031631,31691,
242,,Spot,2,Image 1,189,1000031678,31692,
248,,Spot,2,Image 1,190,1000031631,31693,
224,,Spot,2,Image 1,190,1000031678,31694,
254,,Spot,2,Image 1,191,1000031631,31695,
228,,Spot,2,Image 1,191,1000031678,31696,
