
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
55.1428,µm,Spot,Distance from Origin,1,1000000003,3,
55.9193,µm,Spot,Distance from Origin,2,1000000003,12,
55.617,µm,Spot,Distance from Origin,3,1000000003,21,
55.6969,µm,Spot,Distance from Origin,4,1000000003,30,
55.5703,µm,Spot,Distance from Origin,5,1000000003,40,
55.9241,µm,Spot,Distance from Origin,6,1000000003,49,
55.7965,µm,Spot,Distance from Origin,7,1000000003,58,
55.7965,µm,Spot,Distance from Origin,8,1000000003,68,
55.7726,µm,Spot,Distance from Origin,9,1000000003,77,
55.8737,µm,Spot,Distance from Origin,10,1000000003,86,
55.827,µm,Spot,Distance from Origin,11,1000000003,95,
55.5978,µm,Spot,Distance from Origin,12,1000000003,105,
55.3924,µm,Spot,Distance from Origin,13,1000000003,114,
55.3413,µm,Spot,Distance from Origin,14,1000000003,124,
55.392,µm,Spot,Distance from Origin,15,1000000003,134,
55.3832,µm,Spot,Distance from Origin,16,1000000003,144,
55.3936,µm,Spot,Distance from Origin,17,1000000003,156,
55.3885,µm,Spot,Distance from Origin,18,1000000003,164,
55.5599,µm,Spot,Distance from Origin,19,1000000003,174,
55.5155,µm,Spot,Distance from Origin,20,1000000003,183,
55.4146,µm,Spot,Distance from Origin,21,1000000003,194,
55.3451,µm,Spot,Distance from Origin,22,1000000003,205,
54.9434,µm,Spot,Distance from Origin,23,1000000003,217,
54.8582,µm,Spot,Distance from Origin,24,1000000003,229,
55.0959,µm,Spot,Distance from Origin,25,1000000003,240,
55.1898,µm,Spot,Distance from Origin,26,1000000003,253,
55.1049,µm,Spot,Distance from Origin,27,1000000003,266,
54.8999,µm,Spot,Distance from Origin,28,1000000003,277,
55.0679,µm,Spot,Distance from Origin,29,1000000003,288,
54.9953,µm,Spot,Distance from Origin,30,1000000003,299,
55.0309,µm,Spot,Distance from Origin,31,1000000003,310,
55.1927,µm,Spot,Distance from Origin,32,1000000003,321,
55.2313,µm,Spot,Distance from Origin,33,1000000003,332,
55.0483,µm,Spot,Distance from Origin,34,1000000003,342,
54.968,µm,Spot,Distance from Origin,35,1000000003,352,
54.9651,µm,Spot,Distance from Origin,36,1000000003,361,
54.8431,µm,Spot,Distance from Origin,37,1000000003,370,
54.5287,µm,Spot,Distance from Origin,38,1000000003,379,
54.3968,µm,Spot,Distance from Origin,39,1000000003,388,
54.3069,µm,Spot,Distance from Origin,40,1000000003,398,
54.1974,µm,Spot,Distance from Origin,41,1000000003,408,
54.1877,µm,Spot,Distance from Origin,42,1000000003,418,
54.016,µm,Spot,Distance from Origin,43,1000000003,427,
54.2652,µm,Spot,Distance from Origin,44,1000000003,437,
54.2866,µm,Spot,Distance from Origin,45,1000000003,447,
54.1634,µm,Spot,Distance from Origin,46,1000000003,456,
54.2095,µm,Spot,Distance from Origin,47,1000000003,465,
54.2336,µm,Spot,Distance from Origin,48,1000000003,476,
54.2622,µm,Spot,Distance from Origin,49,1000000003,487,
53.9764,µm,Spot,Distance from Origin,50,1000000003,498,
53.9049,µm,Spot,Distance from Origin,51,1000000003,508,
53.9045,µm,Spot,Distance from Origin,52,1000000003,517,
53.9209,µm,Spot,Distance from Origin,53,1000000003,525,
53.9803,µm,Spot,Distance from Origin,54,1000000003,534,
53.9965,µm,Spot,Distance from Origin,55,1000000003,545,
54.2045,µm,Spot,Distance from Origin,56,1000000003,554,
53.944,µm,Spot,Distance from Origin,57,1000000003,3764,
54.266,µm,Spot,Distance from Origin,58,1000000003,3765,
54.5508,µm,Spot,Distance from Origin,59,1000000003,3766,
54.5549,µm,Spot,Distance from Origin,60,1000000003,3767,
54.7528,µm,Spot,Distance from Origin,61,1000000003,3768,
54.77,µm,Spot,Distance from Origin,62,1000000003,3769,
54.8037,µm,Spot,Distance from Origin,63,1000000003,3770,
54.542,µm,Spot,Distance from Origin,64,1000000003,3771,
54.6315,µm,Spot,Distance from Origin,65,1000000003,3772,
54.3865,µm,Spot,Distance from Origin,66,1000000003,3773,
54.2821,µm,Spot,Distance from Origin,67,1000000003,3774,
54.2641,µm,Spot,Distance from Origin,68,1000000003,3775,
54.3279,µm,Spot,Distance from Origin,69,1000000003,3776,
54.2949,µm,Spot,Distance from Origin,70,1000000003,3777,
54.3082,µm,Spot,Distance from Origin,71,1000000003,3778,
54.2755,µm,Spot,Distance from Origin,72,1000000003,3779,
54.4125,µm,Spot,Distance from Origin,73,1000000003,3780,
54.4066,µm,Spot,Distance from Origin,74,1000000003,3781,
54.4613,µm,Spot,Distance from Origin,75,1000000003,3782,
54.5595,µm,Spot,Distance from Origin,76,1000000003,3783,
54.5334,µm,Spot,Distance from Origin,77,1000000003,3784,
54.3828,µm,Spot,Distance from Origin,78,1000000003,3785,
54.2766,µm,Spot,Distance from Origin,79,1000000003,3786,
54.1228,µm,Spot,Distance from Origin,80,1000000003,3787,
54.5578,µm,Spot,Distance from Origin,81,1000000003,3788,
54.4831,µm,Spot,Distance from Origin,82,1000000003,3789,
54.3677,µm,Spot,Distance from Origin,83,1000000003,3790,
54.563,µm,Spot,Distance from Origin,84,1000000003,3791,
54.4026,µm,Spot,Distance from Origin,85,1000000003,3792,
54.4112,µm,Spot,Distance from Origin,86,1000000003,3793,
54.595,µm,Spot,Distance from Origin,87,1000000003,3794,
54.4014,µm,Spot,Distance from Origin,88,1000000003,3795,
54.4269,µm,Spot,Distance from Origin,89,1000000003,3796,
54.3326,µm,Spot,Distance from Origin,90,1000000003,3797,
54.0066,µm,Spot,Distance from Origin,91,1000000003,3798,
53.8229,µm,Spot,Distance from Origin,92,1000000003,3799,
53.9168,µm,Spot,Distance from Origin,93,1000000003,3800,
53.9166,µm,Spot,Distance from Origin,94,1000000003,3801,
53.8486,µm,Spot,Distance from Origin,95,1000000003,3802,
53.7729,µm,Spot,Distance from Origin,96,1000000003,3803,
53.0671,µm,Spot,Distance from Origin,97,1000000003,3804,
52.7444,µm,Spot,Distance from Origin,98,1000000003,3805,
53.1177,µm,Spot,Distance from Origin,99,1000000003,3806,
53.6144,µm,Spot,Distance from Origin,100,1000000003,3807,
53.8478,µm,Spot,Distance from Origin,101,1000000003,3808,
54.0335,µm,Spot,Distance from Origin,102,1000000003,3809,
54.419,µm,Spot,Distance from Origin,103,1000000003,3810,
54.5143,µm,Spot,Distance from Origin,104,1000000003,3811,
54.4262,µm,Spot,Distance from Origin,105,1000000003,3812,
54.3099,µm,Spot,Distance from Origin,106,1000000003,3813,
54.3515,µm,Spot,Distance from Origin,107,1000000003,3814,
54.3677,µm,Spot,Distance from Origin,108,1000000003,3815,
54.403,µm,Spot,Distance from Origin,109,1000000003,3816,
54.7385,µm,Spot,Distance from Origin,110,1000000003,3817,
54.9241,µm,Spot,Distance from Origin,111,1000000003,3818,
54.773,µm,Spot,Distance from Origin,112,1000000003,3819,
54.6655,µm,Spot,Distance from Origin,113,1000000003,3820,
54.5054,µm,Spot,Distance from Origin,114,1000000003,3821,
54.395,µm,Spot,Distance from Origin,115,1000000003,3822,
54.3071,µm,Spot,Distance from Origin,116,1000000003,3823,
54.2265,µm,Spot,Distance from Origin,117,1000000003,3824,
54.4898,µm,Spot,Distance from Origin,118,1000000003,3825,
54.6256,µm,Spot,Distance from Origin,119,1000000003,3826,
54.6998,µm,Spot,Distance from Origin,120,1000000003,3827,
54.6084,µm,Spot,Distance from Origin,121,1000000003,3828,
54.5821,µm,Spot,Distance from Origin,122,1000000003,3829,
55.1397,µm,Spot,Distance from Origin,123,1000000003,3830,
55.0448,µm,Spot,Distance from Origin,124,1000000003,3831,
55.4275,µm,Spot,Distance from Origin,125,1000000003,3832,
55.6193,µm,Spot,Distance from Origin,126,1000000003,3833,
55.4084,µm,Spot,Distance from Origin,127,1000000003,3834,
55.8614,µm,Spot,Distance from Origin,128,1000000003,3835,
56.0353,µm,Spot,Distance from Origin,129,1000000003,3836,
55.9192,µm,Spot,Distance from Origin,130,1000000003,3837,
56.1796,µm,Spot,Distance from Origin,131,1000000003,3838,
55.904,µm,Spot,Distance from Origin,132,1000000003,3839,
56.083,µm,Spot,Distance from Origin,133,1000000003,3840,
56.1536,µm,Spot,Distance from Origin,134,1000000003,3841,
56.0897,µm,Spot,Distance from Origin,135,1000000003,3842,
55.9076,µm,Spot,Distance from Origin,136,1000000003,3843,
55.8889,µm,Spot,Distance from Origin,137,1000000003,3844,
55.7133,µm,Spot,Distance from Origin,138,1000000003,3845,
56.2876,µm,Spot,Distance from Origin,139,1000000003,3846,
56.3191,µm,Spot,Distance from Origin,140,1000000003,3847,
56.0628,µm,Spot,Distance from Origin,141,1000000003,3848,
56.4695,µm,Spot,Distance from Origin,142,1000000003,3849,
56.4494,µm,Spot,Distance from Origin,143,1000000003,3850,
56.4179,µm,Spot,Distance from Origin,144,1000000003,3851,
56.5006,µm,Spot,Distance from Origin,145,1000000003,3852,
56.6814,µm,Spot,Distance from Origin,146,1000000003,3853,
56.6997,µm,Spot,Distance from Origin,147,1000000003,3854,
56.789,µm,Spot,Distance from Origin,148,1000000003,3855,
56.707,µm,Spot,Distance from Origin,149,1000000003,3856,
56.4181,µm,Spot,Distance from Origin,150,1000000003,3857,
56.6535,µm,Spot,Distance from Origin,151,1000000003,3858,
56.4901,µm,Spot,Distance from Origin,152,1000000003,3859,
56.3815,µm,Spot,Distance from Origin,153,1000000003,3860,
55.9769,µm,Spot,Distance from Origin,154,1000000003,3861,
56.0451,µm,Spot,Distance from Origin,155,1000000003,3862,
56.0799,µm,Spot,Distance from Origin,156,1000000003,3863,
56.5595,µm,Spot,Distance from Origin,157,1000000003,3864,
56.4035,µm,Spot,Distance from Origin,158,1000000003,3865,
57.9624,µm,Spot,Distance from Origin,159,1000000003,3866,
57.7516,µm,Spot,Distance from Origin,160,1000000003,3867,
58.5351,µm,Spot,Distance from Origin,161,1000000003,3868,
58.0113,µm,Spot,Distance from Origin,162,1000000003,3869,
57.789,µm,Spot,Distance from Origin,163,1000000003,3870,
57.9734,µm,Spot,Distance from Origin,164,1000000003,3871,
58.1344,µm,Spot,Distance from Origin,165,1000000003,3872,
57.9734,µm,Spot,Distance from Origin,166,1000000003,3873,
58.1978,µm,Spot,Distance from Origin,167,1000000003,3874,
58.2759,µm,Spot,Distance from Origin,168,1000000003,3875,
58.2167,µm,Spot,Distance from Origin,169,1000000003,3876,
58.2584,µm,Spot,Distance from Origin,170,1000000003,3877,
58.4876,µm,Spot,Distance from Origin,171,1000000003,3878,
58.0223,µm,Spot,Distance from Origin,172,1000000003,3879,
58.4902,µm,Spot,Distance from Origin,173,1000000003,3880,
58.0032,µm,Spot,Distance from Origin,174,1000000003,3881,
58.2367,µm,Spot,Distance from Origin,175,1000000003,3882,
58.0623,µm,Spot,Distance from Origin,176,1000000003,3883,
58.4641,µm,Spot,Distance from Origin,177,1000000003,3884,
58.2891,µm,Spot,Distance from Origin,178,1000000003,3885,
58.2012,µm,Spot,Distance from Origin,179,1000000003,3886,
58.6188,µm,Spot,Distance from Origin,180,1000000003,3887,
58.3084,µm,Spot,Distance from Origin,181,1000000003,3888,
58.8947,µm,Spot,Distance from Origin,182,1000000003,3889,
58.1963,µm,Spot,Distance from Origin,183,1000000003,3890,
58.5652,µm,Spot,Distance from Origin,184,1000000003,3891,
58.8207,µm,Spot,Distance from Origin,185,1000000003,3892,
58.9794,µm,Spot,Distance from Origin,186,1000000003,3893,
59.3781,µm,Spot,Distance from Origin,187,1000000003,3894,
59.4647,µm,Spot,Distance from Origin,188,1000000003,3895,
59.4536,µm,Spot,Distance from Origin,189,1000000003,3896,
59.8915,µm,Spot,Distance from Origin,190,1000000003,3897,
60.412,µm,Spot,Distance from Origin,191,1000000003,3898,
60.7366,µm,Spot,Distance from Origin,192,1000000003,3899,
61.1721,µm,Spot,Distance from Origin,193,1000000003,3900,
61.7119,µm,Spot,Distance from Origin,194,1000000003,3901,
61.4914,µm,Spot,Distance from Origin,195,1000000003,3902,
61.2335,µm,Spot,Distance from Origin,196,1000000003,3903,
61.6111,µm,Spot,Distance from Origin,197,1000000003,3904,
61.9933,µm,Spot,Distance from Origin,198,1000000003,3905,
61.7836,µm,Spot,Distance from Origin,199,1000000003,3906,
61.7453,µm,Spot,Distance from Origin,200,1000000003,3907,
62.057,µm,Spot,Distance from Origin,201,1000000003,3908,
61.9952,µm,Spot,Distance from Origin,202,1000000003,3909,
62.026,µm,Spot,Distance from Origin,203,1000000003,3910,
61.8336,µm,Spot,Distance from Origin,204,1000000003,3911,
60.38,µm,Spot,Distance from Origin,205,1000000003,3912,
60.6568,µm,Spot,Distance from Origin,206,1000000003,3913,
60.2262,µm,Spot,Distance from Origin,207,1000000003,3914,
60.0921,µm,Spot,Distance from Origin,208,1000000003,3915,
60.045,µm,Spot,Distance from Origin,209,1000000003,3916,
60.165,µm,Spot,Distance from Origin,210,1000000003,3917,
60.0798,µm,Spot,Distance from Origin,211,1000000003,3918,
59.9686,µm,Spot,Distance from Origin,212,1000000003,3919,
59.9972,µm,Spot,Distance from Origin,213,1000000003,3920,
60.3685,µm,Spot,Distance from Origin,214,1000000003,3921,
60.2166,µm,Spot,Distance from Origin,215,1000000003,3922,
59.9689,µm,Spot,Distance from Origin,216,1000000003,3923,
60.1465,µm,Spot,Distance from Origin,217,1000000003,3924,
59.9854,µm,Spot,Distance from Origin,218,1000000003,3925,
60.0014,µm,Spot,Distance from Origin,219,1000000003,3926,
60.0456,µm,Spot,Distance from Origin,220,1000000003,3927,
59.8144,µm,Spot,Distance from Origin,221,1000000003,3928,
59.7917,µm,Spot,Distance from Origin,222,1000000003,3929,
59.6396,µm,Spot,Distance from Origin,223,1000000003,3930,
59.5536,µm,Spot,Distance from Origin,224,1000000003,3931,
59.9199,µm,Spot,Distance from Origin,225,1000000003,3932,
60.0263,µm,Spot,Distance from Origin,226,1000000003,3933,
59.801,µm,Spot,Distance from Origin,227,1000000003,3934,
59.7198,µm,Spot,Distance from Origin,228,1000000003,3935,
59.7021,µm,Spot,Distance from Origin,229,1000000003,3936,
59.7613,µm,Spot,Distance from Origin,230,1000000003,3937,
59.8932,µm,Spot,Distance from Origin,231,1000000003,3938,
59.8749,µm,Spot,Distance from Origin,232,1000000003,3939,
59.9435,µm,Spot,Distance from Origin,233,1000000003,3940,
60.0716,µm,Spot,Distance from Origin,234,1000000003,3941,
60.0414,µm,Spot,Distance from Origin,235,1000000003,3942,
60.0122,µm,Spot,Distance from Origin,236,1000000003,3943,
60.0508,µm,Spot,Distance from Origin,237,1000000003,3944,
59.7829,µm,Spot,Distance from Origin,238,1000000003,3945,
59.8465,µm,Spot,Distance from Origin,239,1000000003,3946,
59.5659,µm,Spot,Distance from Origin,240,1000000003,3947,
