
Position
 ==================== 
Position X,Position Y,Position Z,Unit,Category,Collection,Time,TrackID,ID,
36,36,21.1833,µm,Spot,Position,1,1000000003,3,
37.3124,36.7541,19.5932,µm,Spot,Position,2,1000000003,12,
36.7448,36.4668,20.3281,µm,Spot,Position,3,1000000003,21,
36.6895,36.2863,20.9602,µm,Spot,Position,4,1000000003,30,
36.5221,36.2011,21.0636,µm,Spot,Position,5,1000000003,40,
36.7216,36.273,21.5244,µm,Spot,Position,6,1000000003,49,
36.4513,36.1372,21.8783,µm,Spot,Position,7,1000000003,58,
36.2127,36.2653,22.0617,µm,Spot,Position,8,1000000003,68,
36,36.4578,22.0319,µm,Spot,Position,9,1000000003,77,
36,36.509,22.2029,µm,Spot,Position,10,1000000003,86,
36,36.5202,22.0665,µm,Spot,Position,11,1000000003,95,
35.8,36.3937,22.0221,µm,Spot,Position,12,1000000003,105,
35.8,36.2753,21.6976,µm,Spot,Position,13,1000000003,114,
35.8,36.3325,21.4701,µm,Spot,Position,14,1000000003,124,
35.8,36.2707,21.7042,µm,Spot,Position,15,1000000003,134,
35.8,36.3125,21.6117,µm,Spot,Position,16,1000000003,144,
35.8,36.3471,21.5801,µm,Spot,Position,17,1000000003,156,
35.8,36.2562,21.7194,µm,Spot,Position,18,1000000003,164,
35.8,36.3911,21.9305,µm,Spot,Position,19,1000000003,174,
35.8,36.3239,21.9295,µm,Spot,Position,20,1000000003,183,
35.8,36.1653,21.9364,µm,Spot,Position,21,1000000003,194,
35.8,36.044,21.9606,µm,Spot,Position,22,1000000003,205,
35.8,35.5578,21.7436,µm,Spot,Position,23,1000000003,217,
35.8,35.4507,21.7031,µm,Spot,Position,24,1000000003,229,
35.8,35.6817,21.9257,µm,Spot,Position,25,1000000003,240,
36,36,21.3052,µm,Spot,Position,26,1000000003,253,
35.8,36,21.4223,µm,Spot,Position,27,1000000003,266,
35.5,36,21.395,µm,Spot,Position,28,1000000003,277,
35.4,36.2,21.6534,µm,Spot,Position,29,1000000003,288,
35.3,36.0071,21.9517,µm,Spot,Position,30,1000000003,299,
35.3,36.0013,22.0503,µm,Spot,Position,31,1000000003,310,
35.3,36.0442,22.3823,µm,Spot,Position,32,1000000003,321,
35.3,36.0075,22.5358,µm,Spot,Position,33,1000000003,332,
35.3,36.0581,22.001,µm,Spot,Position,34,1000000003,342,
35.3,35.9953,21.9028,µm,Spot,Position,35,1000000003,352,
35.2,36.0605,21.9491,µm,Spot,Position,36,1000000003,361,
35,36.1155,21.8732,µm,Spot,Position,37,1000000003,370,
35,35.7572,21.6749,µm,Spot,Position,38,1000000003,379,
35,35.7139,21.4131,µm,Spot,Position,39,1000000003,388,
35,35.7606,21.1049,µm,Spot,Position,40,1000000003,398,
35,35.5,21.2628,µm,Spot,Position,41,1000000003,408,
34.8,35.5,21.5644,µm,Spot,Position,42,1000000003,418,
34.5,35.7,21.2834,µm,Spot,Position,43,1000000003,427,
34.5,35.9269,21.5341,µm,Spot,Position,44,1000000003,437,
34.5,36,21.4659,µm,Spot,Position,45,1000000003,447,
34.6,35.9,21.1589,µm,Spot,Position,46,1000000003,456,
34.5,36,21.2703,µm,Spot,Position,47,1000000003,465,
34.5,36.1,21.1618,µm,Spot,Position,48,1000000003,476,
34.5,36.2,21.064,µm,Spot,Position,49,1000000003,487,
34.4,36,20.8349,µm,Spot,Position,50,1000000003,498,
34.3,36,20.8145,µm,Spot,Position,51,1000000003,508,
34.3,36,20.8136,µm,Spot,Position,52,1000000003,517,
34.2,36,21.0196,µm,Spot,Position,53,1000000003,525,
34.5,35.7475,21.1126,µm,Spot,Position,54,1000000003,534,
34.5,35.7115,21.2145,µm,Spot,Position,55,1000000003,545,
