
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0,s,Spot,1,1000000003,3,
1,s,Spot,2,1000000003,12,
2,s,Spot,3,1000000003,21,
3,s,Spot,4,1000000003,30,
4,s,Spot,5,1000000003,40,
5,s,Spot,6,1000000003,49,
6,s,Spot,7,1000000003,58,
7,s,Spot,8,1000000003,68,
8,s,Spot,9,1000000003,77,
9,s,Spot,10,1000000003,86,
10,s,Spot,11,1000000003,95,
11,s,Spot,12,1000000003,105,
12,s,Spot,13,1000000003,114,
13,s,Spot,14,1000000003,124,
14,s,Spot,15,1000000003,134,
15,s,Spot,16,1000000003,144,
16,s,Spot,17,1000000003,156,
17,s,Spot,18,1000000003,164,
18,s,Spot,19,1000000003,174,
19,s,Spot,20,1000000003,183,
20,s,Spot,21,1000000003,194,
21,s,Spot,22,1000000003,205,
22,s,Spot,23,1000000003,217,
23,s,Spot,24,1000000003,229,
24,s,Spot,25,1000000003,240,
25,s,Spot,26,1000000003,253,
26,s,Spot,27,1000000003,266,
27,s,Spot,28,1000000003,277,
28,s,Spot,29,1000000003,288,
29,s,Spot,30,1000000003,299,
30,s,Spot,31,1000000003,310,
31,s,Spot,32,1000000003,321,
32,s,Spot,33,1000000003,332,
33,s,Spot,34,1000000003,342,
34,s,Spot,35,1000000003,352,
35,s,Spot,36,1000000003,361,
36,s,Spot,37,1000000003,370,
37,s,Spot,38,1000000003,379,
38,s,Spot,39,1000000003,388,
39,s,Spot,40,1000000003,398,
40,s,Spot,41,1000000003,408,
41,s,Spot,42,1000000003,418,
42,s,Spot,43,1000000003,427,
43,s,Spot,44,1000000003,437,
44,s,Spot,45,1000000003,447,
45,s,Spot,46,1000000003,456,
46,s,Spot,47,1000000003,465,
47,s,Spot,48,1000000003,476,
48,s,Spot,49,1000000003,487,
49,s,Spot,50,1000000003,498,
50,s,Spot,51,1000000003,508,
51,s,Spot,52,1000000003,517,
52,s,Spot,53,1000000003,525,
53,s,Spot,54,1000000003,534,
54,s,Spot,55,1000000003,545,
55,s,Spot,56,1000000003,554,
56,s,Spot,57,1000000003,3764,
57,s,Spot,58,1000000003,3765,
58,s,Spot,59,1000000003,3766,
59,s,Spot,60,1000000003,3767,
60,s,Spot,61,1000000003,3768,
61,s,Spot,62,1000000003,3769,
62,s,Spot,63,1000000003,3770,
63,s,Spot,64,1000000003,3771,
64,s,Spot,65,1000000003,3772,
65,s,Spot,66,1000000003,3773,
66,s,Spot,67,1000000003,3774,
67,s,Spot,68,1000000003,3775,
68,s,Spot,69,1000000003,3776,
69,s,Spot,70,1000000003,3777,
70,s,Spot,71,1000000003,3778,
71,s,Spot,72,1000000003,3779,
