
Distance from Origin
 ==================== 
Distance from Origin,Unit,Category,Collection,Time,TrackID,ID,
61.8493,µm,Spot,Distance from Origin,1,1000718119,718119,
60.8923,µm,Spot,Distance from Origin,2,1000718119,730774,
60.498,µm,Spot,Distance from Origin,3,1000718119,743791,
60.0335,µm,Spot,Distance from Origin,4,1000718119,756711,
58.5732,µm,Spot,Distance from Origin,5,1000718119,768779,
59.2774,µm,Spot,Distance from Origin,6,1000718119,782493,
59.2659,µm,Spot,Distance from Origin,7,1000718119,795537,
60.0854,µm,Spot,Distance from Origin,8,1000718119,808499,
60.384,µm,Spot,Distance from Origin,9,1000718119,821759,
61.2923,µm,Spot,Distance from Origin,10,1000718119,834667,
61.9079,µm,Spot,Distance from Origin,11,1000718119,847617,
62.4918,µm,Spot,Distance from Origin,12,1000718119,860523,
61.5879,µm,Spot,Distance from Origin,13,1000718119,873474,
62.1519,µm,Spot,Distance from Origin,14,1000718119,886281,
61.8905,µm,Spot,Distance from Origin,15,1000718119,899325,
62.661,µm,Spot,Distance from Origin,16,1000718119,912407,
62.7754,µm,Spot,Distance from Origin,17,1000718119,924871,
62.7435,µm,Spot,Distance from Origin,18,1000718119,935891,
62.6438,µm,Spot,Distance from Origin,19,1000718119,946886,
61.6296,µm,Spot,Distance from Origin,20,1000718119,957866,
61.9283,µm,Spot,Distance from Origin,21,1000718119,968955,
62.0139,µm,Spot,Distance from Origin,22,1000718119,979962,
60.9608,µm,Spot,Distance from Origin,23,1000718119,990262,
60.4588,µm,Spot,Distance from Origin,24,1000718119,1001227,
59.6827,µm,Spot,Distance from Origin,25,1000718119,1012129,
58.8691,µm,Spot,Distance from Origin,26,1000718119,1021431,
58.7076,µm,Spot,Distance from Origin,27,1000718119,1033878,
58.7822,µm,Spot,Distance from Origin,28,1000718119,1046880,
59.3872,µm,Spot,Distance from Origin,29,1000718119,1062673,
60.5277,µm,Spot,Distance from Origin,30,1000718119,1075614,
60.2607,µm,Spot,Distance from Origin,31,1000718119,1088631,
60.3311,µm,Spot,Distance from Origin,32,1000718119,1101555,
61.2604,µm,Spot,Distance from Origin,33,1000718119,1115305,
60.8569,µm,Spot,Distance from Origin,34,1000718119,1128005,
60.5717,µm,Spot,Distance from Origin,35,1000718119,1139796,
60.6535,µm,Spot,Distance from Origin,36,1000718119,1152693,
60.7692,µm,Spot,Distance from Origin,37,1000718119,1165353,
60.5426,µm,Spot,Distance from Origin,38,1000718119,1177450,
60.1084,µm,Spot,Distance from Origin,39,1000718119,1190519,
59.4878,µm,Spot,Distance from Origin,40,1000718119,1203410,
59.4369,µm,Spot,Distance from Origin,41,1000718119,1216401,
58.5033,µm,Spot,Distance from Origin,42,1000718119,1228874,
58.413,µm,Spot,Distance from Origin,43,1000718119,1241031,
58.5703,µm,Spot,Distance from Origin,44,1000718119,1253678,
58.6997,µm,Spot,Distance from Origin,45,1000718119,1266099,
58.5871,µm,Spot,Distance from Origin,46,1000718119,1278170,
58.4279,µm,Spot,Distance from Origin,47,1000718119,1290744,
58.5522,µm,Spot,Distance from Origin,48,1000718119,1303639,
58.5851,µm,Spot,Distance from Origin,49,1000718119,1316611,
58.7362,µm,Spot,Distance from Origin,50,1000718119,1329455,
58.8906,µm,Spot,Distance from Origin,51,1000718119,1342246,
58.6684,µm,Spot,Distance from Origin,52,1000718119,1355104,
59.1468,µm,Spot,Distance from Origin,53,1000718119,1367932,
58.5172,µm,Spot,Distance from Origin,54,1000718119,1380743,
58.7219,µm,Spot,Distance from Origin,55,1000718119,1393671,
58.9987,µm,Spot,Distance from Origin,56,1000718119,1406769,
58.706,µm,Spot,Distance from Origin,57,1000718119,1419492,
58.6393,µm,Spot,Distance from Origin,58,1000718119,1431776,
58.3952,µm,Spot,Distance from Origin,59,1000718119,1444112,
58.7281,µm,Spot,Distance from Origin,60,1000718119,1456749,
58.3252,µm,Spot,Distance from Origin,61,1000718119,1469274,
58.6232,µm,Spot,Distance from Origin,62,1000718119,1481768,
58.3193,µm,Spot,Distance from Origin,63,1000718119,1491861,
58.1999,µm,Spot,Distance from Origin,64,1000718119,1505042,
57.8932,µm,Spot,Distance from Origin,65,1000718119,1518069,
57.348,µm,Spot,Distance from Origin,66,1000718119,1531105,
57.4077,µm,Spot,Distance from Origin,67,1000718119,1544077,
57.5082,µm,Spot,Distance from Origin,68,1000718119,1557208,
58.4317,µm,Spot,Distance from Origin,69,1000718119,1570043,
58.9243,µm,Spot,Distance from Origin,70,1000718119,1582450,
59.0963,µm,Spot,Distance from Origin,71,1000718119,1598493,
59.0251,µm,Spot,Distance from Origin,72,1000718119,1611088,
59.1888,µm,Spot,Distance from Origin,73,1000718119,1623806,
58.3862,µm,Spot,Distance from Origin,74,1000718119,1636871,
58.3619,µm,Spot,Distance from Origin,75,1000718119,1649895,
58.3714,µm,Spot,Distance from Origin,76,1000718119,1662910,
58.1412,µm,Spot,Distance from Origin,77,1000718119,1676023,
58.4597,µm,Spot,Distance from Origin,78,1000718119,1688969,
58.2155,µm,Spot,Distance from Origin,79,1000718119,1702092,
58.8786,µm,Spot,Distance from Origin,80,1000718119,1715032,
58.9747,µm,Spot,Distance from Origin,81,1000718119,1728106,
59.2424,µm,Spot,Distance from Origin,82,1000718119,1741181,
59.0395,µm,Spot,Distance from Origin,83,1000718119,1754233,
59.0779,µm,Spot,Distance from Origin,84,1000718119,1767326,
59.3517,µm,Spot,Distance from Origin,85,1000718119,1780455,
59.7591,µm,Spot,Distance from Origin,86,1000718119,1793620,
60.817,µm,Spot,Distance from Origin,87,1000718119,1806582,
59.9351,µm,Spot,Distance from Origin,88,1000718119,1819673,
58.8523,µm,Spot,Distance from Origin,89,1000718119,1832868,
58.4001,µm,Spot,Distance from Origin,90,1000718119,1845959,
58.2485,µm,Spot,Distance from Origin,91,1000718119,1859146,
58.0451,µm,Spot,Distance from Origin,92,1000718119,1872251,
58.0173,µm,Spot,Distance from Origin,93,1000718119,1885347,
58.2662,µm,Spot,Distance from Origin,94,1000718119,1898517,
57.7654,µm,Spot,Distance from Origin,95,1000718119,1911601,
58.1122,µm,Spot,Distance from Origin,96,1000718119,1924625,
56.4291,µm,Spot,Distance from Origin,97,1000718119,1933216,
56.3479,µm,Spot,Distance from Origin,98,1000718119,1944182,
56.5508,µm,Spot,Distance from Origin,99,1000718119,1957678,
56.9389,µm,Spot,Distance from Origin,100,1000718119,1968463,
57.2652,µm,Spot,Distance from Origin,101,1000718119,1978988,
57.4266,µm,Spot,Distance from Origin,102,1000718119,1989646,
57.5357,µm,Spot,Distance from Origin,103,1000718119,2000056,
57.684,µm,Spot,Distance from Origin,104,1000718119,2010304,
57.4226,µm,Spot,Distance from Origin,105,1000718119,2020638,
57.1425,µm,Spot,Distance from Origin,106,1000718119,2030971,
56.8632,µm,Spot,Distance from Origin,107,1000718119,2041218,
56.9264,µm,Spot,Distance from Origin,108,1000718119,2051513,
56.7513,µm,Spot,Distance from Origin,109,1000718119,2061765,
56.7867,µm,Spot,Distance from Origin,110,1000718119,2072137,
57.0388,µm,Spot,Distance from Origin,111,1000718119,2082289,
56.7414,µm,Spot,Distance from Origin,112,1000718119,2092285,
56.8519,µm,Spot,Distance from Origin,113,1000718119,2102070,
56.8792,µm,Spot,Distance from Origin,114,1000718119,2112646,
56.6136,µm,Spot,Distance from Origin,115,1000718119,2123164,
56.7757,µm,Spot,Distance from Origin,116,1000718119,2133588,
56.8378,µm,Spot,Distance from Origin,117,1000718119,2144099,
57.1581,µm,Spot,Distance from Origin,118,1000718119,2153973,
57.0669,µm,Spot,Distance from Origin,119,1000718119,2163855,
56.6772,µm,Spot,Distance from Origin,120,1000718119,2174392,
56.7194,µm,Spot,Distance from Origin,121,1000718119,2184982,
57.315,µm,Spot,Distance from Origin,122,1000718119,2195387,
57.698,µm,Spot,Distance from Origin,123,1000718119,2205623,
57.6583,µm,Spot,Distance from Origin,124,1000718119,2216065,
57.6236,µm,Spot,Distance from Origin,125,1000718119,2226456,
57.672,µm,Spot,Distance from Origin,126,1000718119,2236773,
