
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
2.2527e+07,,Spot,2,Image 1,1,1000718119,718119,
1.97524e+07,,Spot,2,Image 1,2,1000718119,730774,
2.12121e+07,,Spot,2,Image 1,3,1000718119,743791,
1.79887e+07,,Spot,2,Image 1,4,1000718119,756711,
1.63581e+07,,Spot,2,Image 1,5,1000718119,768779,
1.76192e+07,,Spot,2,Image 1,6,1000718119,782493,
1.95483e+07,,Spot,2,Image 1,7,1000718119,795537,
1.82131e+07,,Spot,2,Image 1,8,1000718119,808499,
2.01677e+07,,Spot,2,Image 1,9,1000718119,821759,
1.81501e+07,,Spot,2,Image 1,10,1000718119,834667,
1.676e+07,,Spot,2,Image 1,11,1000718119,847617,
1.84051e+07,,Spot,2,Image 1,12,1000718119,860523,
1.63327e+07,,Spot,2,Image 1,13,1000718119,873474,
1.8017e+07,,Spot,2,Image 1,14,1000718119,886281,
1.72814e+07,,Spot,2,Image 1,15,1000718119,899325,
1.76856e+07,,Spot,2,Image 1,16,1000718119,912407,
1.70456e+07,,Spot,2,Image 1,17,1000718119,924871,
1.60644e+07,,Spot,2,Image 1,18,1000718119,935891,
1.52661e+07,,Spot,2,Image 1,19,1000718119,946886,
1.77439e+07,,Spot,2,Image 1,20,1000718119,957866,
1.50436e+07,,Spot,2,Image 1,21,1000718119,968955,
1.64748e+07,,Spot,2,Image 1,22,1000718119,979962,
1.44219e+07,,Spot,2,Image 1,23,1000718119,990262,
1.64707e+07,,Spot,2,Image 1,24,1000718119,1001227,
1.63331e+07,,Spot,2,Image 1,25,1000718119,1012129,
1.68071e+07,,Spot,2,Image 1,26,1000718119,1021431,
1.55798e+07,,Spot,2,Image 1,27,1000718119,1033878,
1.63581e+07,,Spot,2,Image 1,28,1000718119,1046880,
1.61575e+07,,Spot,2,Image 1,29,1000718119,1062673,
1.58189e+07,,Spot,2,Image 1,30,1000718119,1075614,
