
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
220,,Spot,2,Image 1,22,1000000397,397,
216,,Spot,2,Image 1,23,1000000397,399,
220.08,,Spot,2,Image 1,24,1000000397,401,
216,,Spot,2,Image 1,25,1000000397,403,
216.016,,Spot,2,Image 1,26,1000000397,405,
220.032,,Spot,2,Image 1,27,1000000397,407,
216.016,,Spot,2,Image 1,28,1000000397,409,
216.032,,Spot,2,Image 1,29,1000000397,411,
220.016,,Spot,2,Image 1,30,1000000397,413,
219.96,,Spot,2,Image 1,31,1000000397,415,
220.064,,Spot,2,Image 1,32,1000000397,417,
217.984,,Spot,2,Image 1,33,1000000397,419,
218.016,,Spot,2,Image 1,34,1000000397,421,
217.98,,Spot,2,Image 1,35,1000000397,423,
216,,Spot,2,Image 1,36,1000000397,425,
217.936,,Spot,2,Image 1,37,1000000397,427,
218.056,,Spot,2,Image 1,38,1000000397,429,
217.984,,Spot,2,Image 1,39,1000000397,431,
218,,Spot,2,Image 1,40,1000000397,433,
218.016,,Spot,2,Image 1,41,1000000397,435,
215.968,,Spot,2,Image 1,42,1000000397,437,
217.968,,Spot,2,Image 1,43,1000000397,439,
215.968,,Spot,2,Image 1,44,1000000397,441,
218.032,,Spot,2,Image 1,45,1000000397,443,
214.016,,Spot,2,Image 1,46,1000000397,445,
216.016,,Spot,2,Image 1,47,1000000397,447,
218.048,,Spot,2,Image 1,48,1000000397,449,
218.004,,Spot,2,Image 1,49,1000000397,451,
218,,Spot,2,Image 1,50,1000000397,453,
215.968,,Spot,2,Image 1,51,1000000397,455,
215.936,,Spot,2,Image 1,52,1000000397,457,
216.016,,Spot,2,Image 1,53,1000000397,459,
216.048,,Spot,2,Image 1,54,1000000397,461,
217.992,,Spot,2,Image 1,55,1000000397,463,
218.04,,Spot,2,Image 1,56,1000000397,465,
214.024,,Spot,2,Image 1,57,1000000397,467,
213.968,,Spot,2,Image 1,58,1000000397,469,
214.032,,Spot,2,Image 1,59,1000000397,471,
214,,Spot,2,Image 1,60,1000000397,473,
0.114,,Spot,2,Image 1,60,1000000474,474,
213.968,,Spot,2,Image 1,61,1000000397,475,
208.032,,Spot,2,Image 1,61,1000000474,476,
214.016,,Spot,2,Image 1,62,1000000397,477,
205.901,,Spot,2,Image 1,62,1000000474,478,
218.04,,Spot,2,Image 1,63,1000000397,479,
211.995,,Spot,2,Image 1,63,1000000474,480,
214,,Spot,2,Image 1,64,1000000397,481,
208.033,,Spot,2,Image 1,64,1000000474,482,
215.984,,Spot,2,Image 1,65,1000000397,483,
209.99,,Spot,2,Image 1,65,1000000474,484,
217.968,,Spot,2,Image 1,66,1000000397,485,
216.048,,Spot,2,Image 1,66,1000000474,486,
216.032,,Spot,2,Image 1,67,1000000397,487,
213.897,,Spot,2,Image 1,67,1000000474,488,
218.032,,Spot,2,Image 1,68,1000000397,489,
216.048,,Spot,2,Image 1,68,1000000474,490,
216.032,,Spot,2,Image 1,69,1000000397,491,
212.004,,Spot,2,Image 1,69,1000000474,492,
218.016,,Spot,2,Image 1,70,1000000397,493,
213.897,,Spot,2,Image 1,70,1000000474,494,
216.04,,Spot,2,Image 1,71,1000000397,495,
211.899,,Spot,2,Image 1,71,1000000474,496,
214.032,,Spot,2,Image 1,72,1000000397,497,
211.939,,Spot,2,Image 1,72,1000000474,498,
214.008,,Spot,2,Image 1,73,1000000397,499,
212.004,,Spot,2,Image 1,73,1000000474,500,
213.984,,Spot,2,Image 1,74,1000000397,501,
212.004,,Spot,2,Image 1,74,1000000474,502,
215.992,,Spot,2,Image 1,75,1000000397,503,
211.995,,Spot,2,Image 1,75,1000000474,504,
214.024,,Spot,2,Image 1,76,1000000397,505,
210.041,,Spot,2,Image 1,76,1000000474,506,
214,,Spot,2,Image 1,77,1000000397,507,
211.899,,Spot,2,Image 1,77,1000000474,508,
218,,Spot,2,Image 1,78,1000000397,509,
215.895,,Spot,2,Image 1,78,1000000474,510,
214,,Spot,2,Image 1,79,1000000397,511,
213.928,,Spot,2,Image 1,79,1000000474,512,
218.08,,Spot,2,Image 1,80,1000000397,513,
217.977,,Spot,2,Image 1,80,1000000474,514,
214.032,,Spot,2,Image 1,81,1000000397,515,
214.02,,Spot,2,Image 1,81,1000000474,516,
215.984,,Spot,2,Image 1,82,1000000397,517,
213.948,,Spot,2,Image 1,82,1000000474,518,
214.016,,Spot,2,Image 1,83,1000000397,519,
214.107,,Spot,2,Image 1,83,1000000474,520,
216.04,,Spot,2,Image 1,84,1000000397,521,
214.032,,Spot,2,Image 1,84,1000000474,522,
216.048,,Spot,2,Image 1,85,1000000397,523,
