
Intensity Sum Ch=1 Img=1
 ==================== 
Intensity Sum,Unit,Category,Channel,Image,Time,TrackID,ID,
7.53308e+06,,Spot,1,Image 1,22,1000000397,397,
7.48649e+06,,Spot,1,Image 1,23,1000000397,399,
8.00896e+06,,Spot,1,Image 1,24,1000000397,401,
8.32922e+06,,Spot,1,Image 1,25,1000000397,403,
8.3471e+06,,Spot,1,Image 1,26,1000000397,405,
8.0265e+06,,Spot,1,Image 1,27,1000000397,407,
8.41311e+06,,Spot,1,Image 1,28,1000000397,409,
7.96279e+06,,Spot,1,Image 1,29,1000000397,411,
7.87832e+06,,Spot,1,Image 1,30,1000000397,413,
8.03119e+06,,Spot,1,Image 1,31,1000000397,415,
8.0007e+06,,Spot,1,Image 1,32,1000000397,417,
8.08657e+06,,Spot,1,Image 1,33,1000000397,419,
7.95099e+06,,Spot,1,Image 1,34,1000000397,421,
7.8822e+06,,Spot,1,Image 1,35,1000000397,423,
8.01383e+06,,Spot,1,Image 1,36,1000000397,425,
7.78356e+06,,Spot,1,Image 1,37,1000000397,427,
7.9387e+06,,Spot,1,Image 1,38,1000000397,429,
7.89458e+06,,Spot,1,Image 1,39,1000000397,431,
7.77842e+06,,Spot,1,Image 1,40,1000000397,433,
7.91395e+06,,Spot,1,Image 1,41,1000000397,435,
7.71618e+06,,Spot,1,Image 1,42,1000000397,437,
7.39547e+06,,Spot,1,Image 1,43,1000000397,439,
7.36156e+06,,Spot,1,Image 1,44,1000000397,441,
7.51425e+06,,Spot,1,Image 1,45,1000000397,443,
7.44705e+06,,Spot,1,Image 1,46,1000000397,445,
7.50311e+06,,Spot,1,Image 1,47,1000000397,447,
7.63791e+06,,Spot,1,Image 1,48,1000000397,449,
7.55526e+06,,Spot,1,Image 1,49,1000000397,451,
7.43326e+06,,Spot,1,Image 1,50,1000000397,453,
7.35778e+06,,Spot,1,Image 1,51,1000000397,455,
7.44628e+06,,Spot,1,Image 1,52,1000000397,457,
7.36119e+06,,Spot,1,Image 1,53,1000000397,459,
7.34955e+06,,Spot,1,Image 1,54,1000000397,461,
7.60024e+06,,Spot,1,Image 1,55,1000000397,463,
7.28517e+06,,Spot,1,Image 1,56,1000000397,465,
7.33805e+06,,Spot,1,Image 1,57,1000000397,467,
6.51076e+06,,Spot,1,Image 1,58,1000000397,469,
6.48923e+06,,Spot,1,Image 1,59,1000000397,471,
6.345e+06,,Spot,1,Image 1,60,1000000397,473,
1.91265e+06,,Spot,1,Image 1,60,1000000474,474,
6.24707e+06,,Spot,1,Image 1,61,1000000397,475,
3.39162e+06,,Spot,1,Image 1,61,1000000474,476,
6.39609e+06,,Spot,1,Image 1,62,1000000397,477,
3.55245e+06,,Spot,1,Image 1,62,1000000474,478,
6.34198e+06,,Spot,1,Image 1,63,1000000397,479,
3.89833e+06,,Spot,1,Image 1,63,1000000474,480,
6.56552e+06,,Spot,1,Image 1,64,1000000397,481,
3.9171e+06,,Spot,1,Image 1,64,1000000474,482,
6.53372e+06,,Spot,1,Image 1,65,1000000397,483,
4.64196e+06,,Spot,1,Image 1,65,1000000474,484,
6.89375e+06,,Spot,1,Image 1,66,1000000397,485,
5.41839e+06,,Spot,1,Image 1,66,1000000474,486,
7.03382e+06,,Spot,1,Image 1,67,1000000397,487,
5.38337e+06,,Spot,1,Image 1,67,1000000474,488,
7.06612e+06,,Spot,1,Image 1,68,1000000397,489,
5.52236e+06,,Spot,1,Image 1,68,1000000474,490,
6.79621e+06,,Spot,1,Image 1,69,1000000397,491,
4.98012e+06,,Spot,1,Image 1,69,1000000474,492,
6.88393e+06,,Spot,1,Image 1,70,1000000397,493,
4.39921e+06,,Spot,1,Image 1,70,1000000474,494,
6.6458e+06,,Spot,1,Image 1,71,1000000397,495,
4.3117e+06,,Spot,1,Image 1,71,1000000474,496,
6.63375e+06,,Spot,1,Image 1,72,1000000397,497,
4.13331e+06,,Spot,1,Image 1,72,1000000474,498,
6.34307e+06,,Spot,1,Image 1,73,1000000397,499,
4.33118e+06,,Spot,1,Image 1,73,1000000474,500,
6.25074e+06,,Spot,1,Image 1,74,1000000397,501,
4.44166e+06,,Spot,1,Image 1,74,1000000474,502,
6.15153e+06,,Spot,1,Image 1,75,1000000397,503,
3.95355e+06,,Spot,1,Image 1,75,1000000474,504,
6.26752e+06,,Spot,1,Image 1,76,1000000397,505,
3.97848e+06,,Spot,1,Image 1,76,1000000474,506,
6.23263e+06,,Spot,1,Image 1,77,1000000397,507,
4.60531e+06,,Spot,1,Image 1,77,1000000474,508,
6.34532e+06,,Spot,1,Image 1,78,1000000397,509,
4.9947e+06,,Spot,1,Image 1,78,1000000474,510,
6.59082e+06,,Spot,1,Image 1,79,1000000397,511,
5.4974e+06,,Spot,1,Image 1,79,1000000474,512,
6.53347e+06,,Spot,1,Image 1,80,1000000397,513,
5.17783e+06,,Spot,1,Image 1,80,1000000474,514,
6.38859e+06,,Spot,1,Image 1,81,1000000397,515,
5.43947e+06,,Spot,1,Image 1,81,1000000474,516,
6.28979e+06,,Spot,1,Image 1,82,1000000397,517,
5.17055e+06,,Spot,1,Image 1,82,1000000474,518,
6.13743e+06,,Spot,1,Image 1,83,1000000397,519,
5.92661e+06,,Spot,1,Image 1,83,1000000474,520,
6.34793e+06,,Spot,1,Image 1,84,1000000397,521,
5.57673e+06,,Spot,1,Image 1,84,1000000474,522,
6.63617e+06,,Spot,1,Image 1,85,1000000397,523,
5.92829e+06,,Spot,1,Image 1,85,1000000474,524,
6.60055e+06,,Spot,1,Image 1,86,1000000397,525,
6.15305e+06,,Spot,1,Image 1,86,1000000474,526,
6.9772e+06,,Spot,1,Image 1,87,1000000397,527,
