
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
6.04626e+08,,Spot,2,Image 1,22,1000000397,397,
5.88136e+08,,Spot,2,Image 1,23,1000000397,399,
6.10043e+08,,Spot,2,Image 1,24,1000000397,401,
5.88482e+08,,Spot,2,Image 1,25,1000000397,403,
5.86271e+08,,Spot,2,Image 1,26,1000000397,405,
6.05177e+08,,Spot,2,Image 1,27,1000000397,407,
5.87406e+08,,Spot,2,Image 1,28,1000000397,409,
5.86189e+08,,Spot,2,Image 1,29,1000000397,411,
6.05268e+08,,Spot,2,Image 1,30,1000000397,413,
6.04807e+08,,Spot,2,Image 1,31,1000000397,415,
6.0591e+08,,Spot,2,Image 1,32,1000000397,417,
6.04741e+08,,Spot,2,Image 1,33,1000000397,419,
6.0371e+08,,Spot,2,Image 1,34,1000000397,421,
6.037e+08,,Spot,2,Image 1,35,1000000397,423,
5.84421e+08,,Spot,2,Image 1,36,1000000397,425,
6.02289e+08,,Spot,2,Image 1,37,1000000397,427,
6.03123e+08,,Spot,2,Image 1,38,1000000397,429,
6.03e+08,,Spot,2,Image 1,39,1000000397,431,
6.03006e+08,,Spot,2,Image 1,40,1000000397,433,
6.02107e+08,,Spot,2,Image 1,41,1000000397,435,
5.82985e+08,,Spot,2,Image 1,42,1000000397,437,
6.03187e+08,,Spot,2,Image 1,43,1000000397,439,
5.82692e+08,,Spot,2,Image 1,44,1000000397,441,
6.02205e+08,,Spot,2,Image 1,45,1000000397,443,
5.81757e+08,,Spot,2,Image 1,46,1000000397,445,
5.8248e+08,,Spot,2,Image 1,47,1000000397,447,
6.03588e+08,,Spot,2,Image 1,48,1000000397,449,
6.03157e+08,,Spot,2,Image 1,49,1000000397,451,
6.02234e+08,,Spot,2,Image 1,50,1000000397,453,
5.83654e+08,,Spot,2,Image 1,51,1000000397,455,
5.82749e+08,,Spot,2,Image 1,52,1000000397,457,
5.85188e+08,,Spot,2,Image 1,53,1000000397,459,
5.85241e+08,,Spot,2,Image 1,54,1000000397,461,
6.03714e+08,,Spot,2,Image 1,55,1000000397,463,
6.02042e+08,,Spot,2,Image 1,56,1000000397,465,
5.819e+08,,Spot,2,Image 1,57,1000000397,467,
5.81002e+08,,Spot,2,Image 1,58,1000000397,469,
5.82528e+08,,Spot,2,Image 1,59,1000000397,471,
