
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,µm,Spot,Displacement Delta,1,1000000003,3,
0,-0.650322,-1.31159,µm,Spot,Displacement Delta,2,1000000003,13,
0.5,-0.495937,0.690075,µm,Spot,Displacement Delta,3,1000000003,20,
0,-0.317287,-0.151169,µm,Spot,Displacement Delta,4,1000000003,28,
0.5,0.363548,-0.112873,µm,Spot,Displacement Delta,5,1000000003,40,
0.5,-0.5,0.00636673,µm,Spot,Displacement Delta,6,1000000003,53,
1,0,-0.161217,µm,Spot,Displacement Delta,7,1000000003,65,
0.5,-0.5,0.447454,µm,Spot,Displacement Delta,8,1000000003,75,
1.2,-0.5,-0.0861473,µm,Spot,Displacement Delta,9,1000000003,86,
0,0.25024,0.02145,µm,Spot,Displacement Delta,10,1000000003,96,
0.399998,-0.20718,0.233778,µm,Spot,Displacement Delta,11,1000000003,106,
0.200001,0.0255394,0.0447655,µm,Spot,Displacement Delta,12,1000000003,116,
0.299999,-0.0737381,0.394154,µm,Spot,Displacement Delta,13,1000000003,126,
0.200001,0.0736923,0.0759087,µm,Spot,Displacement Delta,14,1000000003,136,
-0.0999985,-0.0135727,-0.169226,µm,Spot,Displacement Delta,15,1000000003,146,
0,0.136806,0.157038,µm,Spot,Displacement Delta,16,1000000003,156,
0.0999985,-0.291786,-0.28071,µm,Spot,Displacement Delta,17,1000000003,166,
0,-0.400002,0.323597,µm,Spot,Displacement Delta,18,1000000003,176,
0.100002,0.400002,0.191484,µm,Spot,Displacement Delta,19,1000000003,187,
-0.200001,0.230289,0.0454845,µm,Spot,Displacement Delta,20,1000000003,198,
0.200001,-0.265366,0.486202,µm,Spot,Displacement Delta,21,1000000003,209,
-0.100002,0.223682,-0.182892,µm,Spot,Displacement Delta,22,1000000003,219,
-0.0999985,0.224812,-0.320005,µm,Spot,Displacement Delta,23,1000000003,229,
0.200001,-0.0631104,-0.619673,µm,Spot,Displacement Delta,24,1000000003,239,
-0.300003,-0.250309,0.333612,µm,Spot,Displacement Delta,25,1000000003,249,
0,0.0999985,-0.199926,µm,Spot,Displacement Delta,26,1000000003,259,
0.200001,0.100002,0.343969,µm,Spot,Displacement Delta,27,1000000003,269,
-0.299999,0.224686,-0.0940285,µm,Spot,Displacement Delta,28,1000000003,278,
