
Displacement Delta Length
 ==================== 
Displacement Delta Length,Unit,Category,Time,TrackID,ID,
0,,Spot,1,1000000003,3,
1.46396,,Spot,2,1000000003,13,
0.98598,,Spot,3,1000000003,20,
0.351459,,Spot,4,1000000003,28,
0.628417,,Spot,5,1000000003,40,
0.707135,,Spot,6,1000000003,53,
1.01291,,Spot,7,1000000003,65,
0.836789,,Spot,8,1000000003,75,
1.30285,,Spot,9,1000000003,86,
0.251158,,Spot,10,1000000003,96,
0.507517,,Spot,11,1000000003,106,
0.206535,,Spot,12,1000000003,116,
0.500793,,Spot,13,1000000003,126,
0.226259,,Spot,14,1000000003,136,
0.197031,,Spot,15,1000000003,146,
0.208271,,Spot,16,1000000003,156,
0.417058,,Spot,17,1000000003,166,
0.514506,,Spot,18,1000000003,176,
0.454607,,Spot,19,1000000003,187,
0.308387,,Spot,20,1000000003,198,
0.588907,,Spot,21,1000000003,209,
0.305751,,Spot,22,1000000003,219,
0.403662,,Spot,23,1000000003,229,
0.6542,,Spot,24,1000000003,239,
0.513764,,Spot,25,1000000003,249,
0.22354,,Spot,26,1000000003,259,
0.410263,,Spot,27,1000000003,269,
0.386425,,Spot,28,1000000003,278,
0.489172,,Spot,29,1000000003,287,
0.381553,,Spot,30,1000000003,296,
0.58314,,Spot,31,1000000003,305,
0.215782,,Spot,32,1000000003,315,
0.191557,,Spot,33,1000000003,324,
0.353011,,Spot,34,1000000003,333,
0.715068,,Spot,35,1000000003,342,
0.182437,,Spot,36,1000000003,351,
0.272308,,Spot,37,1000000003,360,
0.677227,,Spot,38,1000000003,370,
0.232283,,Spot,39,1000000003,379,
0.471592,,Spot,40,1000000003,388,
0.331037,,Spot,41,1000000003,397,
0.136672,,Spot,42,1000000003,406,
0.43422,,Spot,43,1000000003,415,
0.232311,,Spot,44,1000000003,423,
0.134552,,Spot,45,1000000003,431,
0.162062,,Spot,46,1000000003,439,
0.306701,,Spot,47,1000000003,447,
1.68232,,Spot,48,1000000003,455,
0.272051,,Spot,49,1000000003,463,
0.530471,,Spot,50,1000000003,471,
0.333313,,Spot,51,1000000003,479,
0.353072,,Spot,52,1000000003,488,
0.181069,,Spot,53,1000000003,496,
0.459927,,Spot,54,1000000003,504,
0.59798,,Spot,55,1000000003,512,
0.372846,,Spot,56,1000000003,519,
0.592679,,Spot,57,1000000003,526,
0.124749,,Spot,58,1000000003,534,
0.240454,,Spot,59,1000000003,542,
0.382596,,Spot,60,1000000003,549,
0.405318,,Spot,61,1000000003,556,
0.715418,,Spot,62,1000000003,563,
0.892038,,Spot,63,1000000003,570,
0.322485,,Spot,64,1000000003,577,
0.571994,,Spot,65,1000000003,584,
0.399396,,Spot,66,1000000003,592,
0.408609,,Spot,67,1000000003,599,
0.236483,,Spot,68,1000000003,607,
0.328696,,Spot,69,1000000003,616,
0.255967,,Spot,70,1000000003,626,
1.15287,,Spot,71,1000000003,635,
0.304214,,Spot,72,1000000003,643,
0.279587,,Spot,73,1000000003,651,
0.480845,,Spot,74,1000000003,658,
0.502456,,Spot,75,1000000003,666,
0.585755,,Spot,76,1000000003,676,
0.554299,,Spot,77,1000000003,685,
0.324914,,Spot,78,1000000003,694,
0.554369,,Spot,79,1000000003,703,
0.209297,,Spot,80,1000000003,713,
0.196994,,Spot,81,1000000003,723,
0.398216,,Spot,82,1000000003,734,
0.495369,,Spot,83,1000000003,745,
0.341489,,Spot,84,1000000003,753,
0.589038,,Spot,85,1000000003,767,
0.700335,,Spot,86,1000000003,780,
0.334608,,Spot,87,1000000003,789,
0.855242,,Spot,88,1000000003,800,
0.963591,,Spot,89,1000000003,808,
0.393227,,Spot,90,1000000003,817,
0.340533,,Spot,91,1000000003,830,
0.220243,,Spot,92,1000000003,839,
0.155225,,Spot,93,1000000003,848,
0.204731,,Spot,94,1000000003,857,
0.569501,,Spot,95,1000000003,866,
0.387337,,Spot,96,1000000003,875,
2.29235,,Spot,97,1000000003,884,
0.764904,,Spot,98,1000000003,892,
0.382957,,Spot,99,1000000003,900,
0.300338,,Spot,100,1000000003,909,
0.577124,,Spot,101,1000000003,916,
0.646309,,Spot,102,1000000003,923,
0.311919,,Spot,103,1000000003,930,
0.40552,,Spot,104,1000000003,938,
0.514634,,Spot,105,1000000003,947,
0.394604,,Spot,106,1000000003,955,
0.245535,,Spot,107,1000000003,962,
0.33467,,Spot,108,1000000003,968,
0.317938,,Spot,109,1000000003,976,
0.440172,,Spot,110,1000000003,984,
0.23046,,Spot,111,1000000003,990,
0.523031,,Spot,112,1000000003,998,
0.686111,,Spot,113,1000000003,1005,
0.989949,,Spot,114,1000000003,1013,
0.282844,,Spot,115,1000000003,1020,
0.223607,,Spot,116,1000000003,1028,
0.583095,,Spot,117,1000000003,1036,
1.22474,,Spot,118,1000000003,1043,
0.168751,,Spot,119,1000000003,3302,
0.27974,,Spot,120,1000000003,3303,
0.99719,,Spot,121,1000000003,3304,
0.23217,,Spot,122,1000000003,3305,
0.682639,,Spot,123,1000000003,3306,
0.740885,,Spot,124,1000000003,3308,
0.456513,,Spot,125,1000000003,3309,
0.866909,,Spot,126,1000000003,3310,
0.592944,,Spot,127,1000000003,3311,
0.408141,,Spot,128,1000000003,3312,
0.234229,,Spot,129,1000000003,3313,
0.232016,,Spot,130,1000000003,3314,
0.668564,,Spot,131,1000000003,3315,
0.546033,,Spot,132,1000000003,3316,
0.594912,,Spot,133,1000000003,3317,
0.505053,,Spot,134,1000000003,3318,
0.871789,,Spot,135,1000000003,3319,
0.563422,,Spot,136,1000000003,3320,
0.616342,,Spot,137,1000000003,3321,
1.12745,,Spot,138,1000000003,3322,
0.280241,,Spot,139,1000000003,3323,
0.141515,,Spot,140,1000000003,3324,
0.139269,,Spot,141,1000000003,3325,
0.281983,,Spot,142,1000000003,3326,
0.302273,,Spot,143,1000000003,3327,
0.608983,,Spot,144,1000000003,3328,
0.714923,,Spot,145,1000000003,3329,
0.607918,,Spot,146,1000000003,3330,
0.427449,,Spot,147,1000000003,3331,
0.626131,,Spot,148,1000000003,3332,
0.139286,,Spot,149,1000000003,3333,
0.675606,,Spot,150,1000000003,3334,
0.298583,,Spot,151,1000000003,3335,
0.510418,,Spot,152,1000000003,3336,
0.503886,,Spot,153,1000000003,3337,
