
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
20.5,µm,Spot,Image 1,1,1000000003,3,
20.5,µm,Spot,Image 1,2,1000000003,13,
21,µm,Spot,Image 1,3,1000000003,20,
21,µm,Spot,Image 1,4,1000000003,28,
21.5,µm,Spot,Image 1,5,1000000003,40,
22,µm,Spot,Image 1,6,1000000003,53,
23,µm,Spot,Image 1,7,1000000003,65,
23.5,µm,Spot,Image 1,8,1000000003,75,
24.7,µm,Spot,Image 1,9,1000000003,86,
24.7,µm,Spot,Image 1,10,1000000003,96,
25.1,µm,Spot,Image 1,11,1000000003,106,
25.3,µm,Spot,Image 1,12,1000000003,116,
25.6,µm,Spot,Image 1,13,1000000003,126,
25.8,µm,Spot,Image 1,14,1000000003,136,
25.7,µm,Spot,Image 1,15,1000000003,146,
25.7,µm,Spot,Image 1,16,1000000003,156,
25.8,µm,Spot,Image 1,17,1000000003,166,
25.8,µm,Spot,Image 1,18,1000000003,176,
25.9,µm,Spot,Image 1,19,1000000003,187,
25.7,µm,Spot,Image 1,20,1000000003,198,
25.9,µm,Spot,Image 1,21,1000000003,209,
25.8,µm,Spot,Image 1,22,1000000003,219,
25.7,µm,Spot,Image 1,23,1000000003,229,
25.9,µm,Spot,Image 1,24,1000000003,239,
25.6,µm,Spot,Image 1,25,1000000003,249,
25.6,µm,Spot,Image 1,26,1000000003,259,
25.8,µm,Spot,Image 1,27,1000000003,269,
25.5,µm,Spot,Image 1,28,1000000003,278,
25.8,µm,Spot,Image 1,29,1000000003,287,
26,µm,Spot,Image 1,30,1000000003,296,
26.5,µm,Spot,Image 1,31,1000000003,305,
26.7,µm,Spot,Image 1,32,1000000003,315,
26.7,µm,Spot,Image 1,33,1000000003,324,
26.8,µm,Spot,Image 1,34,1000000003,333,
26.9,µm,Spot,Image 1,35,1000000003,342,
27,µm,Spot,Image 1,36,1000000003,351,
26.8,µm,Spot,Image 1,37,1000000003,360,
26.8,µm,Spot,Image 1,38,1000000003,370,
26.8,µm,Spot,Image 1,39,1000000003,379,
26.6,µm,Spot,Image 1,40,1000000003,388,
26.8,µm,Spot,Image 1,41,1000000003,397,
26.8,µm,Spot,Image 1,42,1000000003,406,
27,µm,Spot,Image 1,43,1000000003,415,
27,µm,Spot,Image 1,44,1000000003,423,
27,µm,Spot,Image 1,45,1000000003,431,
27,µm,Spot,Image 1,46,1000000003,439,
26.7,µm,Spot,Image 1,47,1000000003,447,
26.9113,µm,Spot,Image 1,48,1000000003,455,
27.168,µm,Spot,Image 1,49,1000000003,463,
27.1672,µm,Spot,Image 1,50,1000000003,471,
27.1497,µm,Spot,Image 1,51,1000000003,479,
27.12,µm,Spot,Image 1,52,1000000003,488,
27.2556,µm,Spot,Image 1,53,1000000003,496,
27.2107,µm,Spot,Image 1,54,1000000003,504,
27.3766,µm,Spot,Image 1,55,1000000003,512,
27.2476,µm,Spot,Image 1,56,1000000003,519,
26.833,µm,Spot,Image 1,57,1000000003,526,
26.7204,µm,Spot,Image 1,58,1000000003,534,
26.649,µm,Spot,Image 1,59,1000000003,542,
26.8981,µm,Spot,Image 1,60,1000000003,549,
27.0496,µm,Spot,Image 1,61,1000000003,556,
27.1829,µm,Spot,Image 1,62,1000000003,563,
26.7114,µm,Spot,Image 1,63,1000000003,570,
26.6086,µm,Spot,Image 1,64,1000000003,577,
26.8973,µm,Spot,Image 1,65,1000000003,584,
26.8639,µm,Spot,Image 1,66,1000000003,592,
27.1502,µm,Spot,Image 1,67,1000000003,599,
27.1285,µm,Spot,Image 1,68,1000000003,607,
27.0056,µm,Spot,Image 1,69,1000000003,616,
27.0643,µm,Spot,Image 1,70,1000000003,626,
26.9,µm,Spot,Image 1,71,1000000003,635,
26.6,µm,Spot,Image 1,72,1000000003,643,
26.4,µm,Spot,Image 1,73,1000000003,651,
26.5,µm,Spot,Image 1,74,1000000003,658,
26.5,µm,Spot,Image 1,75,1000000003,666,
26.3,µm,Spot,Image 1,76,1000000003,676,
26,µm,Spot,Image 1,77,1000000003,685,
26,µm,Spot,Image 1,78,1000000003,694,
26.1,µm,Spot,Image 1,79,1000000003,703,
26.2,µm,Spot,Image 1,80,1000000003,713,
26.2,µm,Spot,Image 1,81,1000000003,723,
25.9,µm,Spot,Image 1,82,1000000003,734,
