
Intensity Median Ch=1 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
286.176,,Spot,1,Image 1,1,1000000003,3,
276.016,,Spot,1,Image 1,2,1000000003,13,
271.968,,Spot,1,Image 1,3,1000000003,20,
265.792,,Spot,1,Image 1,4,1000000003,28,
266.064,,Spot,1,Image 1,5,1000000003,40,
267.936,,Spot,1,Image 1,6,1000000003,53,
271.888,,Spot,1,Image 1,7,1000000003,65,
270.432,,Spot,1,Image 1,8,1000000003,75,
271.856,,Spot,1,Image 1,9,1000000003,86,
265.872,,Spot,1,Image 1,10,1000000003,96,
267.872,,Spot,1,Image 1,11,1000000003,106,
270.032,,Spot,1,Image 1,12,1000000003,116,
273.984,,Spot,1,Image 1,13,1000000003,126,
277.84,,Spot,1,Image 1,14,1000000003,136,
278.224,,Spot,1,Image 1,15,1000000003,146,
279.888,,Spot,1,Image 1,16,1000000003,156,
289.776,,Spot,1,Image 1,17,1000000003,166,
290.08,,Spot,1,Image 1,18,1000000003,176,
289.936,,Spot,1,Image 1,19,1000000003,187,
298.368,,Spot,1,Image 1,20,1000000003,198,
297.904,,Spot,1,Image 1,21,1000000003,209,
293.76,,Spot,1,Image 1,22,1000000003,219,
296.176,,Spot,1,Image 1,23,1000000003,229,
300.352,,Spot,1,Image 1,24,1000000003,239,
293.76,,Spot,1,Image 1,25,1000000003,249,
298.4,,Spot,1,Image 1,26,1000000003,259,
293.632,,Spot,1,Image 1,27,1000000003,269,
302.128,,Spot,1,Image 1,28,1000000003,278,
303.712,,Spot,1,Image 1,29,1000000003,287,
301.76,,Spot,1,Image 1,30,1000000003,296,
296.384,,Spot,1,Image 1,31,1000000003,305,
298.128,,Spot,1,Image 1,32,1000000003,315,
295.92,,Spot,1,Image 1,33,1000000003,324,
296.128,,Spot,1,Image 1,34,1000000003,333,
294.096,,Spot,1,Image 1,35,1000000003,342,
302.112,,Spot,1,Image 1,36,1000000003,351,
301.952,,Spot,1,Image 1,37,1000000003,360,
312.24,,Spot,1,Image 1,38,1000000003,370,
305.76,,Spot,1,Image 1,39,1000000003,379,
313.76,,Spot,1,Image 1,40,1000000003,388,
