
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
90.0027,116.377,153.631,°,Spot,Velocity Angle,1,1000000003,3,
69.0222,145.171,116.43,°,Spot,Velocity Angle,2,1000000003,13,
62.866,137.891,60.5565,°,Spot,Velocity Angle,3,1000000003,20,
28.1978,85.3253,117.741,°,Spot,Velocity Angle,4,1000000003,28,
9.82072,97.7298,96.0269,°,Spot,Velocity Angle,5,1000000003,40,
19.2372,108.347,95.5963,°,Spot,Velocity Angle,6,1000000003,53,
21.0119,108.133,79.7411,°,Spot,Velocity Angle,7,1000000003,65,
32.025,119.919,79.6214,°,Spot,Velocity Angle,8,1000000003,75,
12.1344,101.744,93.0242,°,Spot,Velocity Angle,9,1000000003,86,
32.9075,84.8171,57.6103,°,Spot,Velocity Angle,10,1000000003,96,
28.9973,105.357,66.0451,°,Spot,Velocity Angle,11,1000000003,106,
41.4494,94.1463,48.8549,°,Spot,Velocity Angle,12,1000000003,116,
43.2336,90.0065,46.7691,°,Spot,Velocity Angle,13,1000000003,126,
47.9867,66.2746,128.655,°,Spot,Velocity Angle,14,1000000003,136,
128.925,39.2657,94.3944,°,Spot,Velocity Angle,15,1000000003,146,
63.2383,134.263,123.847,°,Spot,Velocity Angle,16,1000000003,156,
81.7928,171.067,86.4915,°,Spot,Velocity Angle,17,1000000003,166,
79.0151,90.0027,10.9875,°,Spot,Velocity Angle,18,1000000003,176,
98.4499,22.1997,69.6309,°,Spot,Velocity Angle,19,1000000003,187,
90.0027,93.7772,3.77451,°,Spot,Velocity Angle,20,1000000003,198,
71.914,97.4389,19.6566,°,Spot,Velocity Angle,21,1000000003,209,
106.535,50.3533,135.686,°,Spot,Velocity Angle,22,1000000003,219,
84.0152,80.2922,168.567,°,Spot,Velocity Angle,23,1000000003,229,
103.264,135.969,131.011,°,Spot,Velocity Angle,24,1000000003,239,
146.161,114.594,68.2794,°,Spot,Velocity Angle,25,1000000003,249,
50.9438,50.9438,63.0136,°,Spot,Velocity Angle,26,1000000003,259,
103.718,39.6637,53.6602,°,Spot,Velocity Angle,27,1000000003,269,
90.0027,70.4308,19.5718,°,Spot,Velocity Angle,28,1000000003,278,
52.6287,121.039,52.7896,°,Spot,Velocity Angle,29,1000000003,287,
41.1906,129.859,81.2785,°,Spot,Velocity Angle,30,1000000003,296,
23.8135,113.088,95.5317,°,Spot,Velocity Angle,31,1000000003,305,
52.8604,107.575,137.546,°,Spot,Velocity Angle,32,1000000003,315,
77.4154,77.4154,162.055,°,Spot,Velocity Angle,33,1000000003,324,
77.7369,96.1002,166.265,°,Spot,Velocity Angle,34,1000000003,333,
76.7425,110.127,155.58,°,Spot,Velocity Angle,35,1000000003,342,
63.7296,152.292,81.8052,°,Spot,Velocity Angle,36,1000000003,351,
90.0027,103.065,13.0626,°,Spot,Velocity Angle,37,1000000003,360,
90.0027,90.0027,0,°,Spot,Velocity Angle,38,1000000003,370,
51.0125,128.993,62.8479,°,Spot,Velocity Angle,39,1000000003,379,
29.5903,90.0027,60.4124,°,Spot,Velocity Angle,40,1000000003,388,
69.1765,44.6799,127.35,°,Spot,Velocity Angle,41,1000000003,397,
102.076,65.2752,27.8837,°,Spot,Velocity Angle,42,1000000003,406,
131.975,48.0303,71.0452,°,Spot,Velocity Angle,43,1000000003,415,
107.239,90.0027,162.769,°,Spot,Velocity Angle,44,1000000003,423,
111.641,90.0027,158.367,°,Spot,Velocity Angle,45,1000000003,431,
161.863,90.0027,108.145,°,Spot,Velocity Angle,46,1000000003,439,
36.6721,53.4169,92.1805,°,Spot,Velocity Angle,47,1000000003,447,
37.311,53.0512,94.46,°,Spot,Velocity Angle,48,1000000003,455,
131.624,86.6983,138.192,°,Spot,Velocity Angle,49,1000000003,463,
147.96,87.4823,121.925,°,Spot,Velocity Angle,50,1000000003,471,
