
Diameter
 ==================== 
Diameter X,Diameter Y,Diameter Z,Unit,Category,Collection,Time,TrackID,ID,
1.5,1.5,1.5,µm,Spot,Diameter,1,1008097535,8097535,
1.5,1.5,1.5,µm,Spot,Diameter,2,1008097535,8097536,
1.5,1.5,1.5,µm,Spot,Diameter,3,1008097535,8097537,
1.5,1.5,1.5,µm,Spot,Diameter,4,1008097535,8097538,
1.5,1.5,1.5,µm,Spot,Diameter,5,1008097535,8097539,
1.5,1.5,1.5,µm,Spot,Diameter,6,1008097535,8097540,
1.5,1.5,1.5,µm,Spot,Diameter,7,1008097535,8097541,
1.5,1.5,1.5,µm,Spot,Diameter,8,1008097535,8097542,
1.5,1.5,1.5,µm,Spot,Diameter,9,1008097535,8097543,
1.5,1.5,1.5,µm,Spot,Diameter,10,1008097535,8097544,
1.5,1.5,1.5,µm,Spot,Diameter,11,1008097535,8097545,
1.5,1.5,1.5,µm,Spot,Diameter,12,1008097535,8097546,
1.5,1.5,1.5,µm,Spot,Diameter,13,1008097535,8097547,
1.5,1.5,1.5,µm,Spot,Diameter,14,1008097535,8097548,
1.5,1.5,1.5,µm,Spot,Diameter,15,1008097535,8097549,
1.5,1.5,1.5,µm,Spot,Diameter,16,1008097535,8097550,
1.5,1.5,1.5,µm,Spot,Diameter,17,1008097535,8097551,
1.5,1.5,1.5,µm,Spot,Diameter,18,1008097535,8097552,
1.5,1.5,1.5,µm,Spot,Diameter,19,1008097535,8097553,
1.5,1.5,1.5,µm,Spot,Diameter,20,1008097535,8097554,
1.5,1.5,1.5,µm,Spot,Diameter,21,1008097535,8097555,
1.5,1.5,1.5,µm,Spot,Diameter,22,1008097535,8097556,
1.5,1.5,1.5,µm,Spot,Diameter,23,1008097535,8097557,
1.5,1.5,1.5,µm,Spot,Diameter,24,1008097535,8097558,
1.5,1.5,1.5,µm,Spot,Diameter,25,1008097535,8097559,
1.5,1.5,1.5,µm,Spot,Diameter,26,1008097535,8097560,
1.5,1.5,1.5,µm,Spot,Diameter,27,1008097535,8097561,
1.5,1.5,1.5,µm,Spot,Diameter,28,1008097535,8097562,
1.5,1.5,1.5,µm,Spot,Diameter,29,1008097535,8097563,
1.5,1.5,1.5,µm,Spot,Diameter,30,1008097535,8097564,
1.5,1.5,1.5,µm,Spot,Diameter,31,1008097535,8097565,
1.5,1.5,1.5,µm,Spot,Diameter,32,1008097535,8097566,
1.5,1.5,1.5,µm,Spot,Diameter,33,1008097535,8097567,
1.5,1.5,1.5,µm,Spot,Diameter,34,1008097535,8097568,
1.5,1.5,1.5,µm,Spot,Diameter,35,1008097535,8097569,
1.5,1.5,1.5,µm,Spot,Diameter,36,1008097535,8097570,
1.5,1.5,1.5,µm,Spot,Diameter,37,1008097535,8097571,
1.5,1.5,1.5,µm,Spot,Diameter,38,1008097535,8097572,
1.5,1.5,1.5,µm,Spot,Diameter,39,1008097535,8097573,
1.5,1.5,1.5,µm,Spot,Diameter,40,1008097535,8097574,
1.5,1.5,1.5,µm,Spot,Diameter,41,1008097535,8097575,
1.5,1.5,1.5,µm,Spot,Diameter,42,1008097535,8097576,
1.5,1.5,1.5,µm,Spot,Diameter,43,1008097535,8097577,
1.5,1.5,1.5,µm,Spot,Diameter,44,1008097535,8097578,
1.5,1.5,1.5,µm,Spot,Diameter,45,1008097535,8097579,
1.5,1.5,1.5,µm,Spot,Diameter,46,1008097535,8097580,
1.5,1.5,1.5,µm,Spot,Diameter,47,1008097535,8097581,
1.5,1.5,1.5,µm,Spot,Diameter,48,1008097535,8097582,
1.5,1.5,1.5,µm,Spot,Diameter,49,1008097535,8097583,
1.5,1.5,1.5,µm,Spot,Diameter,50,1008097535,8097584,
1.5,1.5,1.5,µm,Spot,Diameter,51,1008097535,8097585,
1.5,1.5,1.5,µm,Spot,Diameter,52,1008097535,8097586,
1.5,1.5,1.5,µm,Spot,Diameter,53,1008097535,8097587,
1.5,1.5,1.5,µm,Spot,Diameter,54,1008097535,8097588,
1.5,1.5,1.5,µm,Spot,Diameter,55,1008097535,8097589,
1.5,1.5,1.5,µm,Spot,Diameter,56,1008097535,8097590,
1.5,1.5,1.5,µm,Spot,Diameter,57,1008097535,8097591,
1.5,1.5,1.5,µm,Spot,Diameter,58,1008097535,8097592,
1.5,1.5,1.5,µm,Spot,Diameter,59,1008097535,8097593,
1.5,1.5,1.5,µm,Spot,Diameter,60,1008097535,8097594,
1.5,1.5,1.5,µm,Spot,Diameter,61,1008097535,8097595,
1.5,1.5,1.5,µm,Spot,Diameter,62,1008097535,8097596,
1.5,1.5,1.5,µm,Spot,Diameter,63,1008097535,8097597,
1.5,1.5,1.5,µm,Spot,Diameter,64,1008097535,8097598,
1.5,1.5,1.5,µm,Spot,Diameter,65,1008097535,8097599,
1.5,1.5,1.5,µm,Spot,Diameter,66,1008097535,8097600,
1.5,1.5,1.5,µm,Spot,Diameter,67,1008097535,8097601,
1.5,1.5,1.5,µm,Spot,Diameter,68,1008097535,8097602,
1.5,1.5,1.5,µm,Spot,Diameter,69,1008097535,8097603,
1.5,1.5,1.5,µm,Spot,Diameter,70,1008097535,8097604,
1.5,1.5,1.5,µm,Spot,Diameter,71,1008097535,8097605,
1.5,1.5,1.5,µm,Spot,Diameter,72,1008097535,8097606,
1.5,1.5,1.5,µm,Spot,Diameter,73,1008097535,8097607,
1.5,1.5,1.5,µm,Spot,Diameter,74,1008097535,8097608,
1.5,1.5,1.5,µm,Spot,Diameter,75,1008097535,8097609,
1.5,1.5,1.5,µm,Spot,Diameter,76,1008097535,8097610,
1.5,1.5,1.5,µm,Spot,Diameter,77,1008097535,8097611,
1.5,1.5,1.5,µm,Spot,Diameter,78,1008097535,8097612,
1.5,1.5,1.5,µm,Spot,Diameter,79,1008097535,8097613,
1.5,1.5,1.5,µm,Spot,Diameter,80,1008097535,8097614,
1.5,1.5,1.5,µm,Spot,Diameter,81,1008097535,8097615,
1.5,1.5,1.5,µm,Spot,Diameter,82,1008097535,8097616,
1.5,1.5,1.5,µm,Spot,Diameter,83,1008097535,8097617,
1.5,1.5,1.5,µm,Spot,Diameter,84,1008097535,8097618,
1.5,1.5,1.5,µm,Spot,Diameter,85,1008097535,8097619,
1.5,1.5,1.5,µm,Spot,Diameter,86,1008097535,8097620,
1.5,1.5,1.5,µm,Spot,Diameter,87,1008097535,8097621,
1.5,1.5,1.5,µm,Spot,Diameter,88,1008097535,8097622,
1.5,1.5,1.5,µm,Spot,Diameter,89,1008097535,8097623,
1.5,1.5,1.5,µm,Spot,Diameter,90,1008097535,8097624,
1.5,1.5,1.5,µm,Spot,Diameter,91,1008097535,8097625,
1.5,1.5,1.5,µm,Spot,Diameter,92,1008097535,8097626,
1.5,1.5,1.5,µm,Spot,Diameter,93,1008097535,8097627,
1.5,1.5,1.5,µm,Spot,Diameter,94,1008097535,8097628,
1.5,1.5,1.5,µm,Spot,Diameter,95,1008097535,8097629,
1.5,1.5,1.5,µm,Spot,Diameter,96,1008097535,8097630,
1.5,1.5,1.5,µm,Spot,Diameter,97,1008097535,8097631,
1.5,1.5,1.5,µm,Spot,Diameter,98,1008097535,8097632,
1.5,1.5,1.5,µm,Spot,Diameter,99,1008097535,8097633,
1.5,1.5,1.5,µm,Spot,Diameter,100,1008097535,8097634,
1.5,1.5,1.5,µm,Spot,Diameter,101,1008097535,8097635,
1.5,1.5,1.5,µm,Spot,Diameter,102,1008097535,8097636,
1.5,1.5,1.5,µm,Spot,Diameter,103,1008097535,8097637,
1.5,1.5,1.5,µm,Spot,Diameter,104,1008097535,8097638,
1.5,1.5,1.5,µm,Spot,Diameter,105,1008097535,8097639,
1.5,1.5,1.5,µm,Spot,Diameter,106,1008097535,8097640,
1.5,1.5,1.5,µm,Spot,Diameter,107,1008097535,8097641,
1.5,1.5,1.5,µm,Spot,Diameter,108,1008097535,8097642,
1.5,1.5,1.5,µm,Spot,Diameter,109,1008097535,8097643,
1.5,1.5,1.5,µm,Spot,Diameter,110,1008097535,8097644,
1.5,1.5,1.5,µm,Spot,Diameter,111,1008097535,8097645,
1.5,1.5,1.5,µm,Spot,Diameter,112,1008097535,8097646,
1.5,1.5,1.5,µm,Spot,Diameter,113,1008097535,8097647,
1.5,1.5,1.5,µm,Spot,Diameter,114,1008097535,8097648,
1.5,1.5,1.5,µm,Spot,Diameter,115,1008097535,8097649,
1.5,1.5,1.5,µm,Spot,Diameter,116,1008097535,8097650,
1.5,1.5,1.5,µm,Spot,Diameter,117,1008097535,8097651,
1.5,1.5,1.5,µm,Spot,Diameter,118,1008097535,8097652,
1.5,1.5,1.5,µm,Spot,Diameter,119,1008097535,8097653,
1.5,1.5,1.5,µm,Spot,Diameter,120,1008097535,8097654,
1.5,1.5,1.5,µm,Spot,Diameter,121,1008097535,8097655,
1.5,1.5,1.5,µm,Spot,Diameter,122,1008097535,8097656,
1.5,1.5,1.5,µm,Spot,Diameter,123,1008097535,8097657,
1.5,1.5,1.5,µm,Spot,Diameter,124,1008097535,8097658,
1.5,1.5,1.5,µm,Spot,Diameter,125,1008097535,8097659,
1.5,1.5,1.5,µm,Spot,Diameter,126,1008097535,8097660,
