
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,µm,Spot,Displacement Delta,1,1008097535,8097535,
0,-0.376041,1.50102,µm,Spot,Displacement Delta,2,1008097535,8097536,
2.80053,0.187153,1.14528,µm,Spot,Displacement Delta,3,1008097535,8097537,
0.365288,-0.281677,-0.260635,µm,Spot,Displacement Delta,4,1008097535,8097538,
-0.60881,-0.139381,0.206268,µm,Spot,Displacement Delta,5,1008097535,8097539,
-0.365288,-0.632908,-0.0839386,µm,Spot,Displacement Delta,6,1008097535,8097540,
0.121761,-0.0595188,-0.656876,µm,Spot,Displacement Delta,7,1008097535,8097541,
0.243526,0.337835,-0.16217,µm,Spot,Displacement Delta,8,1008097535,8097542,
0.487045,-0.30209,0.279327,µm,Spot,Displacement Delta,9,1008097535,8097543,
0.852337,0.0400429,0.820969,µm,Spot,Displacement Delta,10,1008097535,8097544,
-0.730572,-0.144287,0.157928,µm,Spot,Displacement Delta,11,1008097535,8097545,
-2.06996,0.239731,-1.78282,µm,Spot,Displacement Delta,12,1008097535,8097546,
-2.51303,0.754129,-0.832098,µm,Spot,Displacement Delta,13,1008097535,8097547,
-1.33754,0.622355,-0.532501,µm,Spot,Displacement Delta,14,1008097535,8097548,
0.466469,-0.0191765,-0.532499,µm,Spot,Displacement Delta,15,1008097535,8097549,
0.0519066,-0.0844021,0.964909,µm,Spot,Displacement Delta,16,1008097535,8097550,
-0.727131,0.121763,-1.48895,µm,Spot,Displacement Delta,17,1008097535,8097551,
-0.630665,0.365288,0.0422516,µm,Spot,Displacement Delta,18,1008097535,8097552,
1.00966,-0.243526,0.737488,µm,Spot,Displacement Delta,19,1008097535,8097553,
-0.822872,0.243526,-0.0448608,µm,Spot,Displacement Delta,20,1008097535,8097554,
-1.97639,1.09586,-0.713577,µm,Spot,Displacement Delta,21,1008097535,8097555,
-2.28066,1.21762,-0.950241,µm,Spot,Displacement Delta,22,1008097535,8097556,
-0.0741425,-0.243523,0.341782,µm,Spot,Displacement Delta,23,1008097535,8097557,
-0.250996,0.121761,-0.266998,µm,Spot,Displacement Delta,24,1008097535,8097558,
