
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
261.04,,Spot,2,Image 1,1,1008097535,8097535,
257.976,,Spot,2,Image 1,2,1008097535,8097536,
266.056,,Spot,2,Image 1,3,1008097535,8097537,
274.048,,Spot,2,Image 1,4,1008097535,8097538,
259.948,,Spot,2,Image 1,5,1008097535,8097539,
250.08,,Spot,2,Image 1,6,1008097535,8097540,
255.956,,Spot,2,Image 1,7,1008097535,8097541,
243.912,,Spot,2,Image 1,8,1008097535,8097542,
260.16,,Spot,2,Image 1,9,1008097535,8097543,
240.08,,Spot,2,Image 1,10,1008097535,8097544,
251.92,,Spot,2,Image 1,11,1008097535,8097545,
242.008,,Spot,2,Image 1,12,1008097535,8097546,
251.992,,Spot,2,Image 1,13,1008097535,8097547,
244.088,,Spot,2,Image 1,14,1008097535,8097548,
249.088,,Spot,2,Image 1,15,1008097535,8097549,
250.992,,Spot,2,Image 1,16,1008097535,8097550,
250.08,,Spot,2,Image 1,17,1008097535,8097551,
249.04,,Spot,2,Image 1,18,1008097535,8097552,
246.06,,Spot,2,Image 1,19,1008097535,8097553,
247.97,,Spot,2,Image 1,20,1008097535,8097554,
243.92,,Spot,2,Image 1,21,1008097535,8097555,
251.968,,Spot,2,Image 1,22,1008097535,8097556,
246.02,,Spot,2,Image 1,23,1008097535,8097557,
245.936,,Spot,2,Image 1,24,1008097535,8097558,
252.048,,Spot,2,Image 1,25,1008097535,8097559,
250.056,,Spot,2,Image 1,26,1008097535,8097560,
241.968,,Spot,2,Image 1,27,1008097535,8097561,
254.028,,Spot,2,Image 1,28,1008097535,8097562,
262.016,,Spot,2,Image 1,29,1008097535,8097563,
272.064,,Spot,2,Image 1,30,1008097535,8097564,
259.956,,Spot,2,Image 1,31,1008097535,8097565,
258.112,,Spot,2,Image 1,32,1008097535,8097566,
260,,Spot,2,Image 1,33,1008097535,8097567,
272.064,,Spot,2,Image 1,34,1008097535,8097568,
270.08,,Spot,2,Image 1,35,1008097535,8097569,
263.968,,Spot,2,Image 1,36,1008097535,8097570,
258,,Spot,2,Image 1,37,1008097535,8097571,
264.96,,Spot,2,Image 1,38,1008097535,8097572,
267.904,,Spot,2,Image 1,39,1008097535,8097573,
261.952,,Spot,2,Image 1,40,1008097535,8097574,
261.984,,Spot,2,Image 1,41,1008097535,8097575,
261.952,,Spot,2,Image 1,42,1008097535,8097576,
257.968,,Spot,2,Image 1,43,1008097535,8097577,
260,,Spot,2,Image 1,44,1008097535,8097578,
261.04,,Spot,2,Image 1,45,1008097535,8097579,
260.128,,Spot,2,Image 1,46,1008097535,8097580,
261.008,,Spot,2,Image 1,47,1008097535,8097581,
258.048,,Spot,2,Image 1,48,1008097535,8097582,
257.976,,Spot,2,Image 1,49,1008097535,8097583,
250.072,,Spot,2,Image 1,50,1008097535,8097584,
264,,Spot,2,Image 1,51,1008097535,8097585,
254.056,,Spot,2,Image 1,52,1008097535,8097586,
262.016,,Spot,2,Image 1,53,1008097535,8097587,
265.96,,Spot,2,Image 1,54,1008097535,8097588,
254.976,,Spot,2,Image 1,55,1008097535,8097589,
259.008,,Spot,2,Image 1,56,1008097535,8097590,
246.08,,Spot,2,Image 1,57,1008097535,8097591,
252.082,,Spot,2,Image 1,58,1008097535,8097592,
242.056,,Spot,2,Image 1,59,1008097535,8097593,
252.004,,Spot,2,Image 1,60,1008097535,8097594,
259.984,,Spot,2,Image 1,61,1008097535,8097595,
256,,Spot,2,Image 1,62,1008097535,8097596,
269.972,,Spot,2,Image 1,63,1008097535,8097597,
256.032,,Spot,2,Image 1,64,1008097535,8097598,
262.04,,Spot,2,Image 1,65,1008097535,8097599,
256.032,,Spot,2,Image 1,66,1008097535,8097600,
262.08,,Spot,2,Image 1,67,1008097535,8097601,
266.048,,Spot,2,Image 1,68,1008097535,8097602,
276.08,,Spot,2,Image 1,69,1008097535,8097603,
266.016,,Spot,2,Image 1,70,1008097535,8097604,
263.92,,Spot,2,Image 1,71,1008097535,8097605,
259.98,,Spot,2,Image 1,72,1008097535,8097606,
308.02,,Spot,2,Image 1,73,1008097535,8097607,
256,,Spot,2,Image 1,74,1008097535,8097608,
254.072,,Spot,2,Image 1,75,1008097535,8097609,
257.92,,Spot,2,Image 1,76,1008097535,8097610,
261.008,,Spot,2,Image 1,77,1008097535,8097611,
258.032,,Spot,2,Image 1,78,1008097535,8097612,
254.08,,Spot,2,Image 1,79,1008097535,8097613,
251.96,,Spot,2,Image 1,80,1008097535,8097614,
256.08,,Spot,2,Image 1,81,1008097535,8097615,
254.064,,Spot,2,Image 1,82,1008097535,8097616,
243.952,,Spot,2,Image 1,83,1008097535,8097617,
252.996,,Spot,2,Image 1,84,1008097535,8097618,
253.968,,Spot,2,Image 1,85,1008097535,8097619,
250.08,,Spot,2,Image 1,86,1008097535,8097620,
262.064,,Spot,2,Image 1,87,1008097535,8097621,
251.98,,Spot,2,Image 1,88,1008097535,8097622,
253.984,,Spot,2,Image 1,89,1008097535,8097623,
257.912,,Spot,2,Image 1,90,1008097535,8097624,
265.976,,Spot,2,Image 1,91,1008097535,8097625,
272.008,,Spot,2,Image 1,92,1008097535,8097626,
260.08,,Spot,2,Image 1,93,1008097535,8097627,
258.04,,Spot,2,Image 1,94,1008097535,8097628,
251.984,,Spot,2,Image 1,95,1008097535,8097629,
253.984,,Spot,2,Image 1,96,1008097535,8097630,
258.016,,Spot,2,Image 1,97,1008097535,8097631,
258.064,,Spot,2,Image 1,98,1008097535,8097632,
249.938,,Spot,2,Image 1,99,1008097535,8097633,
247.936,,Spot,2,Image 1,100,1008097535,8097634,
258.08,,Spot,2,Image 1,101,1008097535,8097635,
253.968,,Spot,2,Image 1,102,1008097535,8097636,
250.048,,Spot,2,Image 1,103,1008097535,8097637,
256,,Spot,2,Image 1,104,1008097535,8097638,
257.04,,Spot,2,Image 1,105,1008097535,8097639,
260.044,,Spot,2,Image 1,106,1008097535,8097640,
242.016,,Spot,2,Image 1,107,1008097535,8097641,
