
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
33.9786,,Spot,2,Image 1,1,1008097535,8097535,
31.1872,,Spot,2,Image 1,2,1008097535,8097536,
46.8011,,Spot,2,Image 1,3,1008097535,8097537,
48.817,,Spot,2,Image 1,4,1008097535,8097538,
42.2099,,Spot,2,Image 1,5,1008097535,8097539,
34.1717,,Spot,2,Image 1,6,1008097535,8097540,
46.1225,,Spot,2,Image 1,7,1008097535,8097541,
45.2498,,Spot,2,Image 1,8,1008097535,8097542,
44.4318,,Spot,2,Image 1,9,1008097535,8097543,
40.7306,,Spot,2,Image 1,10,1008097535,8097544,
33.9635,,Spot,2,Image 1,11,1008097535,8097545,
35.6984,,Spot,2,Image 1,12,1008097535,8097546,
34.8403,,Spot,2,Image 1,13,1008097535,8097547,
40.1941,,Spot,2,Image 1,14,1008097535,8097548,
35.497,,Spot,2,Image 1,15,1008097535,8097549,
34.8348,,Spot,2,Image 1,16,1008097535,8097550,
36.6859,,Spot,2,Image 1,17,1008097535,8097551,
34.1926,,Spot,2,Image 1,18,1008097535,8097552,
31.117,,Spot,2,Image 1,19,1008097535,8097553,
33.3937,,Spot,2,Image 1,20,1008097535,8097554,
32.1756,,Spot,2,Image 1,21,1008097535,8097555,
29.5585,,Spot,2,Image 1,22,1008097535,8097556,
35.1928,,Spot,2,Image 1,23,1008097535,8097557,
36.0355,,Spot,2,Image 1,24,1008097535,8097558,
40.7524,,Spot,2,Image 1,25,1008097535,8097559,
38.9338,,Spot,2,Image 1,26,1008097535,8097560,
33.5787,,Spot,2,Image 1,27,1008097535,8097561,
33.2374,,Spot,2,Image 1,28,1008097535,8097562,
33.7626,,Spot,2,Image 1,29,1008097535,8097563,
36.4635,,Spot,2,Image 1,30,1008097535,8097564,
32.312,,Spot,2,Image 1,31,1008097535,8097565,
31.8953,,Spot,2,Image 1,32,1008097535,8097566,
39.5848,,Spot,2,Image 1,33,1008097535,8097567,
26.5559,,Spot,2,Image 1,34,1008097535,8097568,
28.3993,,Spot,2,Image 1,35,1008097535,8097569,
28.6063,,Spot,2,Image 1,36,1008097535,8097570,
33.6967,,Spot,2,Image 1,37,1008097535,8097571,
38.9767,,Spot,2,Image 1,38,1008097535,8097572,
34.9001,,Spot,2,Image 1,39,1008097535,8097573,
35.4654,,Spot,2,Image 1,40,1008097535,8097574,
37.353,,Spot,2,Image 1,41,1008097535,8097575,
38.4665,,Spot,2,Image 1,42,1008097535,8097576,
32.619,,Spot,2,Image 1,43,1008097535,8097577,
31.3776,,Spot,2,Image 1,44,1008097535,8097578,
37.0007,,Spot,2,Image 1,45,1008097535,8097579,
36.205,,Spot,2,Image 1,46,1008097535,8097580,
32.7126,,Spot,2,Image 1,47,1008097535,8097581,
37.6828,,Spot,2,Image 1,48,1008097535,8097582,
36.3921,,Spot,2,Image 1,49,1008097535,8097583,
33.7998,,Spot,2,Image 1,50,1008097535,8097584,
29.3887,,Spot,2,Image 1,51,1008097535,8097585,
29.9331,,Spot,2,Image 1,52,1008097535,8097586,
31.4984,,Spot,2,Image 1,53,1008097535,8097587,
32.5018,,Spot,2,Image 1,54,1008097535,8097588,
29.9938,,Spot,2,Image 1,55,1008097535,8097589,
28.1115,,Spot,2,Image 1,56,1008097535,8097590,
26.18,,Spot,2,Image 1,57,1008097535,8097591,
27.7471,,Spot,2,Image 1,58,1008097535,8097592,
28.0396,,Spot,2,Image 1,59,1008097535,8097593,
28.2052,,Spot,2,Image 1,60,1008097535,8097594,
29.9573,,Spot,2,Image 1,61,1008097535,8097595,
28.1861,,Spot,2,Image 1,62,1008097535,8097596,
30.8991,,Spot,2,Image 1,63,1008097535,8097597,
29.6997,,Spot,2,Image 1,64,1008097535,8097598,
32.7193,,Spot,2,Image 1,65,1008097535,8097599,
27.1814,,Spot,2,Image 1,66,1008097535,8097600,
31.1265,,Spot,2,Image 1,67,1008097535,8097601,
35.4212,,Spot,2,Image 1,68,1008097535,8097602,
35.054,,Spot,2,Image 1,69,1008097535,8097603,
29.877,,Spot,2,Image 1,70,1008097535,8097604,
26.3649,,Spot,2,Image 1,71,1008097535,8097605,
22.7082,,Spot,2,Image 1,72,1008097535,8097606,
41.3452,,Spot,2,Image 1,73,1008097535,8097607,
38.9559,,Spot,2,Image 1,74,1008097535,8097608,
28.1022,,Spot,2,Image 1,75,1008097535,8097609,
27.3337,,Spot,2,Image 1,76,1008097535,8097610,
29.1724,,Spot,2,Image 1,77,1008097535,8097611,
25.864,,Spot,2,Image 1,78,1008097535,8097612,
29.7212,,Spot,2,Image 1,79,1008097535,8097613,
28.6662,,Spot,2,Image 1,80,1008097535,8097614,
30.5694,,Spot,2,Image 1,81,1008097535,8097615,
30.0068,,Spot,2,Image 1,82,1008097535,8097616,
21.9834,,Spot,2,Image 1,83,1008097535,8097617,
29.4961,,Spot,2,Image 1,84,1008097535,8097618,
28.3229,,Spot,2,Image 1,85,1008097535,8097619,
27.4722,,Spot,2,Image 1,86,1008097535,8097620,
29.3052,,Spot,2,Image 1,87,1008097535,8097621,
25.5707,,Spot,2,Image 1,88,1008097535,8097622,
27.6202,,Spot,2,Image 1,89,1008097535,8097623,
30.4869,,Spot,2,Image 1,90,1008097535,8097624,
33.807,,Spot,2,Image 1,91,1008097535,8097625,
35.2958,,Spot,2,Image 1,92,1008097535,8097626,
37.8561,,Spot,2,Image 1,93,1008097535,8097627,
34.2536,,Spot,2,Image 1,94,1008097535,8097628,
25.2331,,Spot,2,Image 1,95,1008097535,8097629,
29.2101,,Spot,2,Image 1,96,1008097535,8097630,
26.6864,,Spot,2,Image 1,97,1008097535,8097631,
30.6881,,Spot,2,Image 1,98,1008097535,8097632,
31.8718,,Spot,2,Image 1,99,1008097535,8097633,
28.0759,,Spot,2,Image 1,100,1008097535,8097634,
31.5705,,Spot,2,Image 1,101,1008097535,8097635,
32.1923,,Spot,2,Image 1,102,1008097535,8097636,
25.0399,,Spot,2,Image 1,103,1008097535,8097637,
27.1828,,Spot,2,Image 1,104,1008097535,8097638,
32.755,,Spot,2,Image 1,105,1008097535,8097639,
28.1514,,Spot,2,Image 1,106,1008097535,8097640,
29.4033,,Spot,2,Image 1,107,1008097535,8097641,
25.2469,,Spot,2,Image 1,108,1008097535,8097642,
25.4018,,Spot,2,Image 1,109,1008097535,8097643,
31.2695,,Spot,2,Image 1,110,1008097535,8097644,
33.5679,,Spot,2,Image 1,111,1008097535,8097645,
35.5038,,Spot,2,Image 1,112,1008097535,8097646,
33.0759,,Spot,2,Image 1,113,1008097535,8097647,
25.0587,,Spot,2,Image 1,114,1008097535,8097648,
28.0653,,Spot,2,Image 1,115,1008097535,8097649,
31.1967,,Spot,2,Image 1,116,1008097535,8097650,
27.8379,,Spot,2,Image 1,117,1008097535,8097651,
28.7102,,Spot,2,Image 1,118,1008097535,8097652,
31.2907,,Spot,2,Image 1,119,1008097535,8097653,
22.6325,,Spot,2,Image 1,120,1008097535,8097654,
27.6685,,Spot,2,Image 1,121,1008097535,8097655,
26.3466,,Spot,2,Image 1,122,1008097535,8097656,
21.3917,,Spot,2,Image 1,123,1008097535,8097657,
28.3923,,Spot,2,Image 1,124,1008097535,8097658,
28.359,,Spot,2,Image 1,125,1008097535,8097659,
29.7625,,Spot,2,Image 1,126,1008097535,8097660,
