
Shortest Distance to Spots Spots=Microglia
 ==================== 
Shortest Distance to Spots,Unit,Category,Spots,Time,TrackID,ID,
21.7078,µm,Spot,Microglia,1,1008097535,8097535,
21.8993,µm,Spot,Microglia,2,1008097535,8097536,
23.3616,µm,Spot,Microglia,3,1008097535,8097537,
23.3745,µm,Spot,Microglia,4,1008097535,8097538,
22.4071,µm,Spot,Microglia,5,1008097535,8097539,
21.9256,µm,Spot,Microglia,6,1008097535,8097540,
21.2341,µm,Spot,Microglia,7,1008097535,8097541,
20.331,µm,Spot,Microglia,8,1008097535,8097542,
20.5454,µm,Spot,Microglia,9,1008097535,8097543,
21.6386,µm,Spot,Microglia,10,1008097535,8097544,
20.6459,µm,Spot,Microglia,11,1008097535,8097545,
17.836,µm,Spot,Microglia,12,1008097535,8097546,
14.696,µm,Spot,Microglia,13,1008097535,8097547,
13.0228,µm,Spot,Microglia,14,1008097535,8097548,
13.3248,µm,Spot,Microglia,15,1008097535,8097549,
13.7956,µm,Spot,Microglia,16,1008097535,8097550,
12.7901,µm,Spot,Microglia,17,1008097535,8097551,
11.7152,µm,Spot,Microglia,18,1008097535,8097552,
13.0816,µm,Spot,Microglia,19,1008097535,8097553,
12.1688,µm,Spot,Microglia,20,1008097535,8097554,
9.36377,µm,Spot,Microglia,21,1008097535,8097555,
6.88136,µm,Spot,Microglia,22,1008097535,8097556,
7.34334,µm,Spot,Microglia,23,1008097535,8097557,
7.09729,µm,Spot,Microglia,24,1008097535,8097558,
6.76303,µm,Spot,Microglia,25,1008097535,8097559,
5.8919,µm,Spot,Microglia,26,1008097535,8097560,
6.88773,µm,Spot,Microglia,27,1008097535,8097561,
5.80892,µm,Spot,Microglia,28,1008097535,8097562,
4.99525,µm,Spot,Microglia,29,1008097535,8097563,
4.34803,µm,Spot,Microglia,30,1008097535,8097564,
4.31301,µm,Spot,Microglia,31,1008097535,8097565,
4.7603,µm,Spot,Microglia,32,1008097535,8097566,
4.04445,µm,Spot,Microglia,33,1008097535,8097567,
2.2162,µm,Spot,Microglia,34,1008097535,8097568,
3.0136,µm,Spot,Microglia,35,1008097535,8097569,
4.23093,µm,Spot,Microglia,36,1008097535,8097570,
5.2805,µm,Spot,Microglia,37,1008097535,8097571,
5.05278,µm,Spot,Microglia,38,1008097535,8097572,
5.11216,µm,Spot,Microglia,39,1008097535,8097573,
4.505,µm,Spot,Microglia,40,1008097535,8097574,
6.13489,µm,Spot,Microglia,41,1008097535,8097575,
4.58467,µm,Spot,Microglia,42,1008097535,8097576,
4.72793,µm,Spot,Microglia,43,1008097535,8097577,
4.41954,µm,Spot,Microglia,44,1008097535,8097578,
5.40991,µm,Spot,Microglia,45,1008097535,8097579,
4.98003,µm,Spot,Microglia,46,1008097535,8097580,
3.45346,µm,Spot,Microglia,47,1008097535,8097581,
3.8729,µm,Spot,Microglia,48,1008097535,8097582,
4.74098,µm,Spot,Microglia,49,1008097535,8097583,
5.73245,µm,Spot,Microglia,50,1008097535,8097584,
3.05474,µm,Spot,Microglia,51,1008097535,8097585,
2.62824,µm,Spot,Microglia,52,1008097535,8097586,
3.28265,µm,Spot,Microglia,53,1008097535,8097587,
3.32759,µm,Spot,Microglia,54,1008097535,8097588,
4.32523,µm,Spot,Microglia,55,1008097535,8097589,
5.5719,µm,Spot,Microglia,56,1008097535,8097590,
3.78282,µm,Spot,Microglia,57,1008097535,8097591,
4.92405,µm,Spot,Microglia,58,1008097535,8097592,
5.03259,µm,Spot,Microglia,59,1008097535,8097593,
4.0713,µm,Spot,Microglia,60,1008097535,8097594,
3.73694,µm,Spot,Microglia,61,1008097535,8097595,
1.98761,µm,Spot,Microglia,62,1008097535,8097596,
1.82544,µm,Spot,Microglia,63,1008097535,8097597,
2.03605,µm,Spot,Microglia,64,1008097535,8097598,
2.23697,µm,Spot,Microglia,65,1008097535,8097599,
1.83009,µm,Spot,Microglia,66,1008097535,8097600,
1.88857,µm,Spot,Microglia,67,1008097535,8097601,
2.11621,µm,Spot,Microglia,68,1008097535,8097602,
2.13679,µm,Spot,Microglia,69,1008097535,8097603,
1.92991,µm,Spot,Microglia,70,1008097535,8097604,
2.04682,µm,Spot,Microglia,71,1008097535,8097605,
1.19187,µm,Spot,Microglia,72,1008097535,8097606,
1.62866,µm,Spot,Microglia,73,1008097535,8097607,
1.84199,µm,Spot,Microglia,74,1008097535,8097608,
2.91591,µm,Spot,Microglia,75,1008097535,8097609,
2.49238,µm,Spot,Microglia,76,1008097535,8097610,
2.212,µm,Spot,Microglia,77,1008097535,8097611,
2.20246,µm,Spot,Microglia,78,1008097535,8097612,
2.63731,µm,Spot,Microglia,79,1008097535,8097613,
4.02289,µm,Spot,Microglia,80,1008097535,8097614,
3.65774,µm,Spot,Microglia,81,1008097535,8097615,
4.04746,µm,Spot,Microglia,82,1008097535,8097616,
5.0763,µm,Spot,Microglia,83,1008097535,8097617,
4.6577,µm,Spot,Microglia,84,1008097535,8097618,
4.00966,µm,Spot,Microglia,85,1008097535,8097619,
3.83346,µm,Spot,Microglia,86,1008097535,8097620,
3.11074,µm,Spot,Microglia,87,1008097535,8097621,
4.41364,µm,Spot,Microglia,88,1008097535,8097622,
5.26128,µm,Spot,Microglia,89,1008097535,8097623,
3.55664,µm,Spot,Microglia,90,1008097535,8097624,
1.44592,µm,Spot,Microglia,91,1008097535,8097625,
1.25561,µm,Spot,Microglia,92,1008097535,8097626,
3.33245,µm,Spot,Microglia,93,1008097535,8097627,
2.06055,µm,Spot,Microglia,94,1008097535,8097628,
0.822606,µm,Spot,Microglia,95,1008097535,8097629,
1.06485,µm,Spot,Microglia,96,1008097535,8097630,
0.342704,µm,Spot,Microglia,97,1008097535,8097631,
1.49831,µm,Spot,Microglia,98,1008097535,8097632,
1.96446,µm,Spot,Microglia,99,1008097535,8097633,
1.58425,µm,Spot,Microglia,100,1008097535,8097634,
3.2743,µm,Spot,Microglia,101,1008097535,8097635,
2.36956,µm,Spot,Microglia,102,1008097535,8097636,
2.41035,µm,Spot,Microglia,103,1008097535,8097637,
2.98632,µm,Spot,Microglia,104,1008097535,8097638,
2.31238,µm,Spot,Microglia,105,1008097535,8097639,
3.36188,µm,Spot,Microglia,106,1008097535,8097640,
4.10388,µm,Spot,Microglia,107,1008097535,8097641,
4.84657,µm,Spot,Microglia,108,1008097535,8097642,
6.51704,µm,Spot,Microglia,109,1008097535,8097643,
4.52901,µm,Spot,Microglia,110,1008097535,8097644,
3.0949,µm,Spot,Microglia,111,1008097535,8097645,
3.24507,µm,Spot,Microglia,112,1008097535,8097646,
3.17566,µm,Spot,Microglia,113,1008097535,8097647,
4.04527,µm,Spot,Microglia,114,1008097535,8097648,
2.19824,µm,Spot,Microglia,115,1008097535,8097649,
1.66805,µm,Spot,Microglia,116,1008097535,8097650,
1.15348,µm,Spot,Microglia,117,1008097535,8097651,
1.39342,µm,Spot,Microglia,118,1008097535,8097652,
8.00133,µm,Spot,Microglia,119,1008097535,8097653,
10.7047,µm,Spot,Microglia,120,1008097535,8097654,
10.9049,µm,Spot,Microglia,121,1008097535,8097655,
10.51,µm,Spot,Microglia,122,1008097535,8097656,
12.2569,µm,Spot,Microglia,123,1008097535,8097657,
13.9134,µm,Spot,Microglia,124,1008097535,8097658,
13.9101,µm,Spot,Microglia,125,1008097535,8097659,
13.3679,µm,Spot,Microglia,126,1008097535,8097660,
15.8441,µm,Spot,Microglia,127,1008097535,8097661,
14.7094,µm,Spot,Microglia,128,1008097535,8097662,
14.1353,µm,Spot,Microglia,129,1008097535,8097663,
14.1029,µm,Spot,Microglia,130,1008097535,8097664,
14.2172,µm,Spot,Microglia,131,1008097535,8097665,
14.8527,µm,Spot,Microglia,132,1008097535,8097666,
14.7989,µm,Spot,Microglia,133,1008097535,8097667,
17.1806,µm,Spot,Microglia,134,1008097535,8097668,
17.7753,µm,Spot,Microglia,135,1008097535,8097669,
18.535,µm,Spot,Microglia,136,1008097535,8097670,
17.7984,µm,Spot,Microglia,137,1008097535,8097671,
17.5177,µm,Spot,Microglia,138,1008097535,8097672,
18.1133,µm,Spot,Microglia,139,1008097535,8097673,
17.3378,µm,Spot,Microglia,140,1008097535,8097674,
17.1381,µm,Spot,Microglia,141,1008097535,8097675,
16.9881,µm,Spot,Microglia,142,1008097535,8097676,
17.9959,µm,Spot,Microglia,143,1008097535,8097677,
17.5757,µm,Spot,Microglia,144,1008097535,8097678,
17.5989,µm,Spot,Microglia,145,1008097535,8097679,
