
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
1,,Spot,1,1008097535,8097535,
2,,Spot,2,1008097535,8097536,
3,,Spot,3,1008097535,8097537,
4,,Spot,4,1008097535,8097538,
5,,Spot,5,1008097535,8097539,
6,,Spot,6,1008097535,8097540,
7,,Spot,7,1008097535,8097541,
8,,Spot,8,1008097535,8097542,
9,,Spot,9,1008097535,8097543,
10,,Spot,10,1008097535,8097544,
11,,Spot,11,1008097535,8097545,
12,,Spot,12,1008097535,8097546,
13,,Spot,13,1008097535,8097547,
14,,Spot,14,1008097535,8097548,
15,,Spot,15,1008097535,8097549,
16,,Spot,16,1008097535,8097550,
17,,Spot,17,1008097535,8097551,
18,,Spot,18,1008097535,8097552,
19,,Spot,19,1008097535,8097553,
20,,Spot,20,1008097535,8097554,
21,,Spot,21,1008097535,8097555,
22,,Spot,22,1008097535,8097556,
23,,Spot,23,1008097535,8097557,
24,,Spot,24,1008097535,8097558,
25,,Spot,25,1008097535,8097559,
26,,Spot,26,1008097535,8097560,
27,,Spot,27,1008097535,8097561,
28,,Spot,28,1008097535,8097562,
29,,Spot,29,1008097535,8097563,
30,,Spot,30,1008097535,8097564,
31,,Spot,31,1008097535,8097565,
32,,Spot,32,1008097535,8097566,
33,,Spot,33,1008097535,8097567,
34,,Spot,34,1008097535,8097568,
35,,Spot,35,1008097535,8097569,
36,,Spot,36,1008097535,8097570,
37,,Spot,37,1008097535,8097571,
38,,Spot,38,1008097535,8097572,
39,,Spot,39,1008097535,8097573,
40,,Spot,40,1008097535,8097574,
41,,Spot,41,1008097535,8097575,
42,,Spot,42,1008097535,8097576,
43,,Spot,43,1008097535,8097577,
44,,Spot,44,1008097535,8097578,
45,,Spot,45,1008097535,8097579,
46,,Spot,46,1008097535,8097580,
47,,Spot,47,1008097535,8097581,
48,,Spot,48,1008097535,8097582,
49,,Spot,49,1008097535,8097583,
50,,Spot,50,1008097535,8097584,
51,,Spot,51,1008097535,8097585,
52,,Spot,52,1008097535,8097586,
53,,Spot,53,1008097535,8097587,
54,,Spot,54,1008097535,8097588,
55,,Spot,55,1008097535,8097589,
56,,Spot,56,1008097535,8097590,
57,,Spot,57,1008097535,8097591,
58,,Spot,58,1008097535,8097592,
59,,Spot,59,1008097535,8097593,
60,,Spot,60,1008097535,8097594,
61,,Spot,61,1008097535,8097595,
62,,Spot,62,1008097535,8097596,
63,,Spot,63,1008097535,8097597,
64,,Spot,64,1008097535,8097598,
65,,Spot,65,1008097535,8097599,
66,,Spot,66,1008097535,8097600,
67,,Spot,67,1008097535,8097601,
68,,Spot,68,1008097535,8097602,
69,,Spot,69,1008097535,8097603,
70,,Spot,70,1008097535,8097604,
71,,Spot,71,1008097535,8097605,
72,,Spot,72,1008097535,8097606,
73,,Spot,73,1008097535,8097607,
74,,Spot,74,1008097535,8097608,
75,,Spot,75,1008097535,8097609,
76,,Spot,76,1008097535,8097610,
77,,Spot,77,1008097535,8097611,
78,,Spot,78,1008097535,8097612,
79,,Spot,79,1008097535,8097613,
80,,Spot,80,1008097535,8097614,
81,,Spot,81,1008097535,8097615,
82,,Spot,82,1008097535,8097616,
83,,Spot,83,1008097535,8097617,
84,,Spot,84,1008097535,8097618,
85,,Spot,85,1008097535,8097619,
86,,Spot,86,1008097535,8097620,
87,,Spot,87,1008097535,8097621,
88,,Spot,88,1008097535,8097622,
89,,Spot,89,1008097535,8097623,
90,,Spot,90,1008097535,8097624,
91,,Spot,91,1008097535,8097625,
92,,Spot,92,1008097535,8097626,
93,,Spot,93,1008097535,8097627,
94,,Spot,94,1008097535,8097628,
95,,Spot,95,1008097535,8097629,
96,,Spot,96,1008097535,8097630,
97,,Spot,97,1008097535,8097631,
98,,Spot,98,1008097535,8097632,
99,,Spot,99,1008097535,8097633,
100,,Spot,100,1008097535,8097634,
101,,Spot,101,1008097535,8097635,
102,,Spot,102,1008097535,8097636,
103,,Spot,103,1008097535,8097637,
104,,Spot,104,1008097535,8097638,
105,,Spot,105,1008097535,8097639,
106,,Spot,106,1008097535,8097640,
107,,Spot,107,1008097535,8097641,
108,,Spot,108,1008097535,8097642,
109,,Spot,109,1008097535,8097643,
110,,Spot,110,1008097535,8097644,
111,,Spot,111,1008097535,8097645,
112,,Spot,112,1008097535,8097646,
113,,Spot,113,1008097535,8097647,
114,,Spot,114,1008097535,8097648,
115,,Spot,115,1008097535,8097649,
116,,Spot,116,1008097535,8097650,
117,,Spot,117,1008097535,8097651,
118,,Spot,118,1008097535,8097652,
119,,Spot,119,1008097535,8097653,
120,,Spot,120,1008097535,8097654,
121,,Spot,121,1008097535,8097655,
122,,Spot,122,1008097535,8097656,
123,,Spot,123,1008097535,8097657,
124,,Spot,124,1008097535,8097658,
125,,Spot,125,1008097535,8097659,
126,,Spot,126,1008097535,8097660,
127,,Spot,127,1008097535,8097661,
128,,Spot,128,1008097535,8097662,
129,,Spot,129,1008097535,8097663,
130,,Spot,130,1008097535,8097664,
131,,Spot,131,1008097535,8097665,
132,,Spot,132,1008097535,8097666,
133,,Spot,133,1008097535,8097667,
134,,Spot,134,1008097535,8097668,
135,,Spot,135,1008097535,8097669,
136,,Spot,136,1008097535,8097670,
137,,Spot,137,1008097535,8097671,
138,,Spot,138,1008097535,8097672,
139,,Spot,139,1008097535,8097673,
140,,Spot,140,1008097535,8097674,
141,,Spot,141,1008097535,8097675,
142,,Spot,142,1008097535,8097676,
143,,Spot,143,1008097535,8097677,
144,,Spot,144,1008097535,8097678,
145,,Spot,145,1008097535,8097679,
146,,Spot,146,1008097535,8097680,
147,,Spot,147,1008097535,8097681,
148,,Spot,148,1008097535,8097682,
149,,Spot,149,1008097535,8097683,
150,,Spot,150,1008097535,8097684,
151,,Spot,151,1008097535,8097685,
152,,Spot,152,1008097535,8097686,
153,,Spot,153,1008097535,8097687,
154,,Spot,154,1008097535,8097688,
