
Velocity Angle
 ==================== 
Velocity Angle X,Velocity Angle Y,Velocity Angle Z,Unit,Category,Collection,Time,TrackID,ID,
90.0027,104.068,14.0649,°,Spot,Velocity Angle,1,1008097535,8097535,
43.4521,92.8093,46.6882,°,Spot,Velocity Angle,2,1008097535,8097536,
15.6972,91.6499,74.3965,°,Spot,Velocity Angle,3,1008097535,8097537,
119.842,149.354,96.3805,°,Spot,Velocity Angle,4,1008097535,8097538,
141.25,128.194,84.3823,°,Spot,Velocity Angle,5,1008097535,8097539,
103.507,131.607,135.269,°,Spot,Velocity Angle,6,1008097535,8097540,
67.1087,72.7609,150.725,°,Spot,Velocity Angle,7,1008097535,8097541,
9.51805,87.2367,80.9025,°,Spot,Velocity Angle,8,1008097535,8097542,
40.1813,98.5996,51.1254,°,Spot,Velocity Angle,9,1008097535,8097543,
82.9513,96.0353,9.2998,°,Spot,Velocity Angle,10,1008097535,8097544,
149.839,88.3141,120.112,°,Spot,Velocity Angle,11,1008097535,8097545,
148.605,79.3354,119.148,°,Spot,Velocity Angle,12,1008097535,8097546,
153.285,71.3813,108.457,°,Spot,Velocity Angle,13,1008097535,8097547,
125.443,66.3293,135.152,°,Spot,Velocity Angle,14,1008097535,8097548,
40.6229,98.7263,50.7186,°,Spot,Velocity Angle,15,1008097535,8097549,
142.119,87.4997,127.777,°,Spot,Velocity Angle,16,1008097535,8097550,
131.657,76.21,135.087,°,Spot,Velocity Angle,17,1008097535,8097551,
64.3501,82.0078,27.0461,°,Spot,Velocity Angle,18,1008097535,8097552,
74.9098,90.0027,15.0929,°,Spot,Velocity Angle,19,1008097535,8097553,
151.2,65.2132,103.737,°,Spot,Velocity Angle,20,1008097535,8097554,
146.206,63.1551,108.956,°,Spot,Velocity Angle,21,1008097535,8097555,
154.004,68.1754,103.432,°,Spot,Velocity Angle,22,1008097535,8097556,
156.28,110.053,77.8467,°,Spot,Velocity Angle,23,1008097535,8097557,
134.845,73.9035,130.742,°,Spot,Velocity Angle,24,1008097535,8097558,
116.195,81.4889,152.26,°,Spot,Velocity Angle,25,1008097535,8097559,
34.3288,119.979,105.162,°,Spot,Velocity Angle,26,1008097535,8097560,
124.804,74.8861,38.8652,°,Spot,Velocity Angle,27,1008097535,8097561,
144.106,62.6808,111.404,°,Spot,Velocity Angle,28,1008097535,8097562,
153.159,63.4099,93.4229,°,Spot,Velocity Angle,29,1008097535,8097563,
158.813,69.3998,85.251,°,Spot,Velocity Angle,30,1008097535,8097564,
49.8445,133.068,69.9214,°,Spot,Velocity Angle,31,1008097535,8097565,
129.62,132.284,112.042,°,Spot,Velocity Angle,32,1008097535,8097566,
125.307,45.199,114.314,°,Spot,Velocity Angle,33,1008097535,8097567,
117.607,31.4837,103.944,°,Spot,Velocity Angle,34,1008097535,8097568,
50.3302,84.5384,40.2002,°,Spot,Velocity Angle,35,1008097535,8097569,
51.1636,59.8941,53.425,°,Spot,Velocity Angle,36,1008097535,8097570,
52.7991,133.33,66.1426,°,Spot,Velocity Angle,37,1008097535,8097571,
75.0562,163.276,97.3455,°,Spot,Velocity Angle,38,1008097535,8097572,
78.1917,129.172,138.404,°,Spot,Velocity Angle,39,1008097535,8097573,
