
Displacement Delta
 ==================== 
Displacement Delta X,Displacement Delta Y,Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,0,0,µm,Spot,Displacement Delta,8,1000188973,188973,
0.730576,-0.612968,-1.38885,µm,Spot,Displacement Delta,9,1000188973,188974,
0,0.0407829,1.10655,µm,Spot,Displacement Delta,10,1000188973,188975,
0,0.477032,1.34447,µm,Spot,Displacement Delta,11,1000188973,188976,
0,0.549324,0.2323,µm,Spot,Displacement Delta,12,1000188973,188977,
0,-0.0568314,0.720032,µm,Spot,Displacement Delta,13,1000188973,188978,
0.118813,0.0554123,-0.948074,µm,Spot,Displacement Delta,14,1000188973,188979,
-0.334427,-0.301952,0,µm,Spot,Displacement Delta,15,1000188973,188980,
0,0,0,µm,Spot,Displacement Delta,46,1000188985,188985,
0.398655,0.730574,0.178085,µm,Spot,Displacement Delta,47,1000188985,188986,
0.0583611,0,-0.447342,µm,Spot,Displacement Delta,48,1000188985,188987,
0.24646,0.487049,0.273422,µm,Spot,Displacement Delta,49,1000188985,188988,
0.104248,-0.365288,-0.723846,µm,Spot,Displacement Delta,50,1000188985,188989,
0.00699234,-0.974096,-0.874222,µm,Spot,Displacement Delta,51,1000188985,188990,
-0.343281,0.243525,0.258667,µm,Spot,Displacement Delta,52,1000188985,188991,
0,0,0,µm,Spot,Displacement Delta,63,1000189023,189023,
0.109047,-0.244606,0,µm,Spot,Displacement Delta,64,1000189023,189024,
0.0271835,-0.0972404,-0.532499,µm,Spot,Displacement Delta,65,1000189023,189025,
0,0,0,µm,Spot,Displacement Delta,76,1000188994,188994,
0.563713,-0.0823555,3.195,µm,Spot,Displacement Delta,77,1000188994,188995,
-0.27211,-0.557953,-3.195,µm,Spot,Displacement Delta,78,1000188994,188996,
0.389027,0.473118,2.13,µm,Spot,Displacement Delta,79,1000188994,188997,
0,0,0,µm,Spot,Displacement Delta,158,1000189006,189006,
-0.186695,-0.243523,-0.232574,µm,Spot,Displacement Delta,159,1000189006,189007,
-0.106857,0.121761,0.00648499,µm,Spot,Displacement Delta,160,1000189006,189008,
0,0,0,µm,Spot,Displacement Delta,177,1000189026,189026,
0.0118484,-0.121763,-0.550751,µm,Spot,Displacement Delta,178,1000189026,189027,
0.241055,0.365286,0.471695,µm,Spot,Displacement Delta,179,1000189026,189028,
0.51664,1.21762,2.28491,µm,Spot,Displacement Delta,180,1000189026,189029,
0,0,0,µm,Spot,Displacement Delta,195,1000189009,189009,
0.109707,0.121761,0.85231,µm,Spot,Displacement Delta,196,1000189009,189010,
-0.113838,0.974098,0.87149,µm,Spot,Displacement Delta,197,1000189009,189011,
0.566296,0.365288,0.0191345,µm,Spot,Displacement Delta,198,1000189009,189012,
0,0,0,µm,Spot,Displacement Delta,248,1000189013,189013,
-0.0762138,-0.0284882,-1.065,µm,Spot,Displacement Delta,249,1000189013,189014,
0.124405,0.446587,0.532499,µm,Spot,Displacement Delta,250,1000189013,189015,
0.288319,0.164978,-0.532499,µm,Spot,Displacement Delta,251,1000189013,189016,
-0.757572,-0.427193,-0.532499,µm,Spot,Displacement Delta,252,1000189013,189017,
0,0,0,µm,Spot,Displacement Delta,270,1000189020,189020,
-0.287891,0.121763,-0.370483,µm,Spot,Displacement Delta,271,1000189020,189021,
-0.12645,-0.243525,0.0440521,µm,Spot,Displacement Delta,272,1000189020,189022,
0,0,0,µm,Spot,Displacement Delta,327,1000189030,189030,
-0.0510368,0.402779,0.532499,µm,Spot,Displacement Delta,328,1000189030,189031,
-0.0211411,1.15778,-2.13,µm,Spot,Displacement Delta,329,1000189030,189032,
-0.419464,0.723965,3.195,µm,Spot,Displacement Delta,330,1000189030,189033,
-0.879559,-0.587053,-2.0215,µm,Spot,Displacement Delta,346,1000189035,189038,
0.382034,-0.14352,1.70602,µm,Spot,Displacement Delta,347,1000189035,189035,
0.497524,0.730574,0.315475,µm,Spot,Displacement Delta,348,1000189035,189036,
0.720272,0.830578,1.54013,µm,Spot,Displacement Delta,349,1000189035,189037,
