
Displacement Delta X
 ==================== 
Displacement Delta X,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,8,1000188973,188973,
0.730576,µm,Spot,Displacement Delta,9,1000188973,188974,
0,µm,Spot,Displacement Delta,10,1000188973,188975,
0,µm,Spot,Displacement Delta,11,1000188973,188976,
0,µm,Spot,Displacement Delta,12,1000188973,188977,
0,µm,Spot,Displacement Delta,13,1000188973,188978,
0.118813,µm,Spot,Displacement Delta,14,1000188973,188979,
-0.334427,µm,Spot,Displacement Delta,15,1000188973,188980,
0,µm,Spot,Displacement Delta,46,1000188985,188985,
0.398655,µm,Spot,Displacement Delta,47,1000188985,188986,
0.0583611,µm,Spot,Displacement Delta,48,1000188985,188987,
0.24646,µm,Spot,Displacement Delta,49,1000188985,188988,
0.104248,µm,Spot,Displacement Delta,50,1000188985,188989,
0.00699234,µm,Spot,Displacement Delta,51,1000188985,188990,
-0.343281,µm,Spot,Displacement Delta,52,1000188985,188991,
0,µm,Spot,Displacement Delta,76,1000188994,188994,
0.563713,µm,Spot,Displacement Delta,77,1000188994,188995,
-0.27211,µm,Spot,Displacement Delta,78,1000188994,188996,
0.389027,µm,Spot,Displacement Delta,79,1000188994,188997,
0,µm,Spot,Displacement Delta,158,1000189006,189006,
-0.186695,µm,Spot,Displacement Delta,159,1000189006,189007,
-0.106857,µm,Spot,Displacement Delta,160,1000189006,189008,
0,µm,Spot,Displacement Delta,195,1000189009,189009,
0.109707,µm,Spot,Displacement Delta,196,1000189009,189010,
-0.113838,µm,Spot,Displacement Delta,197,1000189009,189011,
0.566296,µm,Spot,Displacement Delta,198,1000189009,189012,
0,µm,Spot,Displacement Delta,248,1000189013,189013,
-0.0762138,µm,Spot,Displacement Delta,249,1000189013,189014,
0.124405,µm,Spot,Displacement Delta,250,1000189013,189015,
0.288319,µm,Spot,Displacement Delta,251,1000189013,189016,
-0.757572,µm,Spot,Displacement Delta,252,1000189013,189017,
0,µm,Spot,Displacement Delta,270,1000189020,189020,
-0.287891,µm,Spot,Displacement Delta,271,1000189020,189021,
-0.12645,µm,Spot,Displacement Delta,272,1000189020,189022,
0,µm,Spot,Displacement Delta,63,1000189023,189023,
0.109047,µm,Spot,Displacement Delta,64,1000189023,189024,
0.0271835,µm,Spot,Displacement Delta,65,1000189023,189025,
0,µm,Spot,Displacement Delta,177,1000189026,189026,
0.0118484,µm,Spot,Displacement Delta,178,1000189026,189027,
0.241055,µm,Spot,Displacement Delta,179,1000189026,189028,
0.51664,µm,Spot,Displacement Delta,180,1000189026,189029,
0,µm,Spot,Displacement Delta,327,1000189030,189030,
-0.0510368,µm,Spot,Displacement Delta,328,1000189030,189031,
-0.0211411,µm,Spot,Displacement Delta,329,1000189030,189032,
-0.419464,µm,Spot,Displacement Delta,330,1000189030,189033,
0.382034,µm,Spot,Displacement Delta,347,1000189035,189035,
0.497524,µm,Spot,Displacement Delta,348,1000189035,189036,
0.720272,µm,Spot,Displacement Delta,349,1000189035,189037,
-0.879559,µm,Spot,Displacement Delta,346,1000189035,189038,
