
Displacement Delta Y
 ==================== 
Displacement Delta Y,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,8,1000188973,188973,
-0.612968,µm,Spot,Displacement Delta,9,1000188973,188974,
0.0407829,µm,Spot,Displacement Delta,10,1000188973,188975,
0.477032,µm,Spot,Displacement Delta,11,1000188973,188976,
0.549324,µm,Spot,Displacement Delta,12,1000188973,188977,
-0.0568314,µm,Spot,Displacement Delta,13,1000188973,188978,
0.0554123,µm,Spot,Displacement Delta,14,1000188973,188979,
-0.301952,µm,Spot,Displacement Delta,15,1000188973,188980,
0,µm,Spot,Displacement Delta,46,1000188985,188985,
0.730574,µm,Spot,Displacement Delta,47,1000188985,188986,
0,µm,Spot,Displacement Delta,48,1000188985,188987,
0.487049,µm,Spot,Displacement Delta,49,1000188985,188988,
-0.365288,µm,Spot,Displacement Delta,50,1000188985,188989,
-0.974096,µm,Spot,Displacement Delta,51,1000188985,188990,
0.243525,µm,Spot,Displacement Delta,52,1000188985,188991,
0,µm,Spot,Displacement Delta,76,1000188994,188994,
-0.0823555,µm,Spot,Displacement Delta,77,1000188994,188995,
-0.557953,µm,Spot,Displacement Delta,78,1000188994,188996,
0.473118,µm,Spot,Displacement Delta,79,1000188994,188997,
0,µm,Spot,Displacement Delta,158,1000189006,189006,
-0.243523,µm,Spot,Displacement Delta,159,1000189006,189007,
0.121761,µm,Spot,Displacement Delta,160,1000189006,189008,
0,µm,Spot,Displacement Delta,195,1000189009,189009,
0.121761,µm,Spot,Displacement Delta,196,1000189009,189010,
0.974098,µm,Spot,Displacement Delta,197,1000189009,189011,
0.365288,µm,Spot,Displacement Delta,198,1000189009,189012,
0,µm,Spot,Displacement Delta,248,1000189013,189013,
-0.0284882,µm,Spot,Displacement Delta,249,1000189013,189014,
0.446587,µm,Spot,Displacement Delta,250,1000189013,189015,
0.164978,µm,Spot,Displacement Delta,251,1000189013,189016,
-0.427193,µm,Spot,Displacement Delta,252,1000189013,189017,
0,µm,Spot,Displacement Delta,270,1000189020,189020,
0.121763,µm,Spot,Displacement Delta,271,1000189020,189021,
-0.243525,µm,Spot,Displacement Delta,272,1000189020,189022,
0,µm,Spot,Displacement Delta,63,1000189023,189023,
-0.244606,µm,Spot,Displacement Delta,64,1000189023,189024,
-0.0972404,µm,Spot,Displacement Delta,65,1000189023,189025,
0,µm,Spot,Displacement Delta,177,1000189026,189026,
-0.121763,µm,Spot,Displacement Delta,178,1000189026,189027,
0.365286,µm,Spot,Displacement Delta,179,1000189026,189028,
1.21762,µm,Spot,Displacement Delta,180,1000189026,189029,
0,µm,Spot,Displacement Delta,327,1000189030,189030,
0.402779,µm,Spot,Displacement Delta,328,1000189030,189031,
1.15778,µm,Spot,Displacement Delta,329,1000189030,189032,
0.723965,µm,Spot,Displacement Delta,330,1000189030,189033,
-0.14352,µm,Spot,Displacement Delta,347,1000189035,189035,
0.730574,µm,Spot,Displacement Delta,348,1000189035,189036,
0.830578,µm,Spot,Displacement Delta,349,1000189035,189037,
-0.587053,µm,Spot,Displacement Delta,346,1000189035,189038,
