
Displacement Delta Z
 ==================== 
Displacement Delta Z,Unit,Category,Collection,Time,TrackID,ID,
0,µm,Spot,Displacement Delta,8,1000188973,188973,
-1.38885,µm,Spot,Displacement Delta,9,1000188973,188974,
1.10655,µm,Spot,Displacement Delta,10,1000188973,188975,
1.34447,µm,Spot,Displacement Delta,11,1000188973,188976,
0.2323,µm,Spot,Displacement Delta,12,1000188973,188977,
0.720032,µm,Spot,Displacement Delta,13,1000188973,188978,
-0.948074,µm,Spot,Displacement Delta,14,1000188973,188979,
0,µm,Spot,Displacement Delta,15,1000188973,188980,
0,µm,Spot,Displacement Delta,46,1000188985,188985,
0.178085,µm,Spot,Displacement Delta,47,1000188985,188986,
-0.447342,µm,Spot,Displacement Delta,48,1000188985,188987,
0.273422,µm,Spot,Displacement Delta,49,1000188985,188988,
-0.723846,µm,Spot,Displacement Delta,50,1000188985,188989,
-0.874222,µm,Spot,Displacement Delta,51,1000188985,188990,
0.258667,µm,Spot,Displacement Delta,52,1000188985,188991,
0,µm,Spot,Displacement Delta,76,1000188994,188994,
3.195,µm,Spot,Displacement Delta,77,1000188994,188995,
-3.195,µm,Spot,Displacement Delta,78,1000188994,188996,
2.13,µm,Spot,Displacement Delta,79,1000188994,188997,
0,µm,Spot,Displacement Delta,158,1000189006,189006,
-0.232574,µm,Spot,Displacement Delta,159,1000189006,189007,
0.00648499,µm,Spot,Displacement Delta,160,1000189006,189008,
0,µm,Spot,Displacement Delta,195,1000189009,189009,
0.85231,µm,Spot,Displacement Delta,196,1000189009,189010,
0.87149,µm,Spot,Displacement Delta,197,1000189009,189011,
0.0191345,µm,Spot,Displacement Delta,198,1000189009,189012,
0,µm,Spot,Displacement Delta,248,1000189013,189013,
-1.065,µm,Spot,Displacement Delta,249,1000189013,189014,
0.532499,µm,Spot,Displacement Delta,250,1000189013,189015,
-0.532499,µm,Spot,Displacement Delta,251,1000189013,189016,
-0.532499,µm,Spot,Displacement Delta,252,1000189013,189017,
0,µm,Spot,Displacement Delta,270,1000189020,189020,
-0.370483,µm,Spot,Displacement Delta,271,1000189020,189021,
0.0440521,µm,Spot,Displacement Delta,272,1000189020,189022,
0,µm,Spot,Displacement Delta,63,1000189023,189023,
0,µm,Spot,Displacement Delta,64,1000189023,189024,
-0.532499,µm,Spot,Displacement Delta,65,1000189023,189025,
0,µm,Spot,Displacement Delta,177,1000189026,189026,
-0.550751,µm,Spot,Displacement Delta,178,1000189026,189027,
0.471695,µm,Spot,Displacement Delta,179,1000189026,189028,
2.28491,µm,Spot,Displacement Delta,180,1000189026,189029,
0,µm,Spot,Displacement Delta,327,1000189030,189030,
0.532499,µm,Spot,Displacement Delta,328,1000189030,189031,
-2.13,µm,Spot,Displacement Delta,329,1000189030,189032,
3.195,µm,Spot,Displacement Delta,330,1000189030,189033,
1.70602,µm,Spot,Displacement Delta,347,1000189035,189035,
0.315475,µm,Spot,Displacement Delta,348,1000189035,189036,
1.54013,µm,Spot,Displacement Delta,349,1000189035,189037,
-2.0215,µm,Spot,Displacement Delta,346,1000189035,189038,
