
Distance to Image Border XY Img=1
 ==================== 
Distance to Image Border XY,Unit,Category,Image,Time,TrackID,ID,
0,µm,Spot,Image 1,8,1000188973,188973,
0,µm,Spot,Image 1,9,1000188973,188974,
0,µm,Spot,Image 1,10,1000188973,188975,
0,µm,Spot,Image 1,11,1000188973,188976,
0,µm,Spot,Image 1,12,1000188973,188977,
0,µm,Spot,Image 1,13,1000188973,188978,
0,µm,Spot,Image 1,14,1000188973,188979,
0,µm,Spot,Image 1,15,1000188973,188980,
18.2734,µm,Spot,Image 1,46,1000188985,188985,
19.004,µm,Spot,Image 1,47,1000188985,188986,
19.004,µm,Spot,Image 1,48,1000188985,188987,
19.491,µm,Spot,Image 1,49,1000188985,188988,
19.1257,µm,Spot,Image 1,50,1000188985,188989,
18.1516,µm,Spot,Image 1,51,1000188985,188990,
18.3952,µm,Spot,Image 1,52,1000188985,188991,
21.6263,µm,Spot,Image 1,76,1000188994,188994,
21.0625,µm,Spot,Image 1,77,1000188994,188995,
21.3347,µm,Spot,Image 1,78,1000188994,188996,
20.9456,µm,Spot,Image 1,79,1000188994,188997,
18.0299,µm,Spot,Image 1,158,1000189006,189006,
17.7864,µm,Spot,Image 1,159,1000189006,189007,
17.9081,µm,Spot,Image 1,160,1000189006,189008,
9.57269,µm,Spot,Image 1,195,1000189009,189009,
9.46298,µm,Spot,Image 1,196,1000189009,189010,
9.57682,µm,Spot,Image 1,197,1000189009,189011,
9.01053,µm,Spot,Image 1,198,1000189009,189012,
22.2819,µm,Spot,Image 1,248,1000189013,189013,
22.3103,µm,Spot,Image 1,249,1000189013,189014,
21.8638,µm,Spot,Image 1,250,1000189013,189015,
21.6988,µm,Spot,Image 1,251,1000189013,189016,
22.126,µm,Spot,Image 1,252,1000189013,189017,
24.2869,µm,Spot,Image 1,270,1000189020,189020,
24.5748,µm,Spot,Image 1,271,1000189020,189021,
24.7013,µm,Spot,Image 1,272,1000189020,189022,
25.2957,µm,Spot,Image 1,63,1000189023,189023,
25.5403,µm,Spot,Image 1,64,1000189023,189024,
25.6376,µm,Spot,Image 1,65,1000189023,189025,
14.4988,µm,Spot,Image 1,177,1000189026,189026,
14.377,µm,Spot,Image 1,178,1000189026,189027,
14.7423,µm,Spot,Image 1,179,1000189026,189028,
15.9599,µm,Spot,Image 1,180,1000189026,189029,
13.5907,µm,Spot,Image 1,327,1000189030,189030,
13.1879,µm,Spot,Image 1,328,1000189030,189031,
12.0301,µm,Spot,Image 1,329,1000189030,189032,
11.3061,µm,Spot,Image 1,330,1000189030,189033,
19.9781,µm,Spot,Image 1,347,1000189035,189035,
20.7086,µm,Spot,Image 1,348,1000189035,189036,
20.9522,µm,Spot,Image 1,349,1000189035,189037,
20.1216,µm,Spot,Image 1,346,1000189035,189038,
