
Intensity Center Ch=2 Img=1
 ==================== 
Intensity Center,Unit,Category,Channel,Image,Time,TrackID,ID,
216,,Spot,2,Image 1,8,1000188973,188973,
228,,Spot,2,Image 1,9,1000188973,188974,
198,,Spot,2,Image 1,10,1000188973,188975,
220,,Spot,2,Image 1,11,1000188973,188976,
212,,Spot,2,Image 1,12,1000188973,188977,
214,,Spot,2,Image 1,13,1000188973,188978,
208,,Spot,2,Image 1,14,1000188973,188979,
246,,Spot,2,Image 1,15,1000188973,188980,
212,,Spot,2,Image 1,46,1000188985,188985,
216,,Spot,2,Image 1,47,1000188985,188986,
214,,Spot,2,Image 1,48,1000188985,188987,
212,,Spot,2,Image 1,49,1000188985,188988,
218,,Spot,2,Image 1,50,1000188985,188989,
216,,Spot,2,Image 1,51,1000188985,188990,
214,,Spot,2,Image 1,52,1000188985,188991,
216,,Spot,2,Image 1,76,1000188994,188994,
222,,Spot,2,Image 1,77,1000188994,188995,
206,,Spot,2,Image 1,78,1000188994,188996,
226,,Spot,2,Image 1,79,1000188994,188997,
244,,Spot,2,Image 1,158,1000189006,189006,
206,,Spot,2,Image 1,159,1000189006,189007,
228,,Spot,2,Image 1,160,1000189006,189008,
214,,Spot,2,Image 1,195,1000189009,189009,
206,,Spot,2,Image 1,196,1000189009,189010,
216,,Spot,2,Image 1,197,1000189009,189011,
216,,Spot,2,Image 1,198,1000189009,189012,
208,,Spot,2,Image 1,248,1000189013,189013,
212,,Spot,2,Image 1,249,1000189013,189014,
208,,Spot,2,Image 1,250,1000189013,189015,
206,,Spot,2,Image 1,251,1000189013,189016,
212,,Spot,2,Image 1,252,1000189013,189017,
214,,Spot,2,Image 1,270,1000189020,189020,
224,,Spot,2,Image 1,271,1000189020,189021,
204,,Spot,2,Image 1,272,1000189020,189022,
220,,Spot,2,Image 1,63,1000189023,189023,
200,,Spot,2,Image 1,64,1000189023,189024,
220,,Spot,2,Image 1,65,1000189023,189025,
212,,Spot,2,Image 1,177,1000189026,189026,
220,,Spot,2,Image 1,178,1000189026,189027,
198,,Spot,2,Image 1,179,1000189026,189028,
214,,Spot,2,Image 1,180,1000189026,189029,
216,,Spot,2,Image 1,327,1000189030,189030,
212,,Spot,2,Image 1,328,1000189030,189031,
232,,Spot,2,Image 1,329,1000189030,189032,
208,,Spot,2,Image 1,330,1000189030,189033,
220,,Spot,2,Image 1,347,1000189035,189035,
226,,Spot,2,Image 1,348,1000189035,189036,
216,,Spot,2,Image 1,349,1000189035,189037,
212,,Spot,2,Image 1,346,1000189035,189038,
