
Intensity Median Ch=2 Img=1
 ==================== 
Intensity Median,Unit,Category,Channel,Image,Time,TrackID,ID,
212.032,,Spot,2,Image 1,8,1000188973,188973,
216.04,,Spot,2,Image 1,9,1000188973,188974,
212.048,,Spot,2,Image 1,10,1000188973,188975,
215.984,,Spot,2,Image 1,11,1000188973,188976,
216.048,,Spot,2,Image 1,12,1000188973,188977,
214.04,,Spot,2,Image 1,13,1000188973,188978,
215.986,,Spot,2,Image 1,14,1000188973,188979,
216.016,,Spot,2,Image 1,15,1000188973,188980,
212.016,,Spot,2,Image 1,46,1000188985,188985,
212.016,,Spot,2,Image 1,47,1000188985,188986,
216.04,,Spot,2,Image 1,48,1000188985,188987,
213.984,,Spot,2,Image 1,49,1000188985,188988,
216.08,,Spot,2,Image 1,50,1000188985,188989,
212.032,,Spot,2,Image 1,51,1000188985,188990,
212,,Spot,2,Image 1,52,1000188985,188991,
211.992,,Spot,2,Image 1,76,1000188994,188994,
212.064,,Spot,2,Image 1,77,1000188994,188995,
215.984,,Spot,2,Image 1,78,1000188994,188996,
212,,Spot,2,Image 1,79,1000188994,188997,
216.04,,Spot,2,Image 1,158,1000189006,189006,
212.012,,Spot,2,Image 1,159,1000189006,189007,
212.04,,Spot,2,Image 1,160,1000189006,189008,
213.952,,Spot,2,Image 1,195,1000189009,189009,
211.992,,Spot,2,Image 1,196,1000189009,189010,
214,,Spot,2,Image 1,197,1000189009,189011,
212.024,,Spot,2,Image 1,198,1000189009,189012,
216,,Spot,2,Image 1,248,1000189013,189013,
216,,Spot,2,Image 1,249,1000189013,189014,
212.04,,Spot,2,Image 1,250,1000189013,189015,
212.016,,Spot,2,Image 1,251,1000189013,189016,
212.032,,Spot,2,Image 1,252,1000189013,189017,
215.984,,Spot,2,Image 1,270,1000189020,189020,
214.008,,Spot,2,Image 1,271,1000189020,189021,
214.016,,Spot,2,Image 1,272,1000189020,189022,
215.984,,Spot,2,Image 1,63,1000189023,189023,
214.028,,Spot,2,Image 1,64,1000189023,189024,
213.984,,Spot,2,Image 1,65,1000189023,189025,
212.04,,Spot,2,Image 1,177,1000189026,189026,
214.016,,Spot,2,Image 1,178,1000189026,189027,
212.016,,Spot,2,Image 1,179,1000189026,189028,
216,,Spot,2,Image 1,180,1000189026,189029,
214.032,,Spot,2,Image 1,327,1000189030,189030,
214.04,,Spot,2,Image 1,328,1000189030,189031,
216.048,,Spot,2,Image 1,329,1000189030,189032,
212.04,,Spot,2,Image 1,330,1000189030,189033,
214,,Spot,2,Image 1,347,1000189035,189035,
218.012,,Spot,2,Image 1,348,1000189035,189036,
218.04,,Spot,2,Image 1,349,1000189035,189037,
213.968,,Spot,2,Image 1,346,1000189035,189038,
