
Intensity StdDev Ch=2 Img=1
 ==================== 
Intensity StdDev,Unit,Category,Channel,Image,Time,TrackID,ID,
7.91885,,Spot,2,Image 1,8,1000188973,188973,
8.02667,,Spot,2,Image 1,9,1000188973,188974,
7.75894,,Spot,2,Image 1,10,1000188973,188975,
7.93385,,Spot,2,Image 1,11,1000188973,188976,
7.62851,,Spot,2,Image 1,12,1000188973,188977,
7.59657,,Spot,2,Image 1,13,1000188973,188978,
7.86678,,Spot,2,Image 1,14,1000188973,188979,
8.03437,,Spot,2,Image 1,15,1000188973,188980,
7.95415,,Spot,2,Image 1,46,1000188985,188985,
7.85775,,Spot,2,Image 1,47,1000188985,188986,
8.09315,,Spot,2,Image 1,48,1000188985,188987,
8.2085,,Spot,2,Image 1,49,1000188985,188988,
8.28623,,Spot,2,Image 1,50,1000188985,188989,
7.94677,,Spot,2,Image 1,51,1000188985,188990,
7.91186,,Spot,2,Image 1,52,1000188985,188991,
8.15677,,Spot,2,Image 1,76,1000188994,188994,
7.94229,,Spot,2,Image 1,77,1000188994,188995,
8.34381,,Spot,2,Image 1,78,1000188994,188996,
7.84355,,Spot,2,Image 1,79,1000188994,188997,
8.14467,,Spot,2,Image 1,158,1000189006,189006,
8.1977,,Spot,2,Image 1,159,1000189006,189007,
8.12783,,Spot,2,Image 1,160,1000189006,189008,
7.78637,,Spot,2,Image 1,195,1000189009,189009,
7.94534,,Spot,2,Image 1,196,1000189009,189010,
8.08803,,Spot,2,Image 1,197,1000189009,189011,
7.9394,,Spot,2,Image 1,198,1000189009,189012,
7.89948,,Spot,2,Image 1,248,1000189013,189013,
7.92819,,Spot,2,Image 1,249,1000189013,189014,
7.5139,,Spot,2,Image 1,250,1000189013,189015,
7.6871,,Spot,2,Image 1,251,1000189013,189016,
7.54558,,Spot,2,Image 1,252,1000189013,189017,
8.63489,,Spot,2,Image 1,270,1000189020,189020,
8.20106,,Spot,2,Image 1,271,1000189020,189021,
7.85804,,Spot,2,Image 1,272,1000189020,189022,
8.4184,,Spot,2,Image 1,63,1000189023,189023,
8.29566,,Spot,2,Image 1,64,1000189023,189024,
8.30268,,Spot,2,Image 1,65,1000189023,189025,
7.71111,,Spot,2,Image 1,177,1000189026,189026,
7.99433,,Spot,2,Image 1,178,1000189026,189027,
7.71065,,Spot,2,Image 1,179,1000189026,189028,
8.18356,,Spot,2,Image 1,180,1000189026,189029,
8.34423,,Spot,2,Image 1,327,1000189030,189030,
8.31223,,Spot,2,Image 1,328,1000189030,189031,
8.45904,,Spot,2,Image 1,329,1000189030,189032,
8.13483,,Spot,2,Image 1,330,1000189030,189033,
8.23041,,Spot,2,Image 1,347,1000189035,189035,
8.74104,,Spot,2,Image 1,348,1000189035,189036,
8.59865,,Spot,2,Image 1,349,1000189035,189037,
8.18836,,Spot,2,Image 1,346,1000189035,189038,
