
Intensity Sum of Square Ch=2 Img=1
 ==================== 
Intensity Sum of Square,Unit,Category,Channel,Image,Time,TrackID,ID,
1.58376e+08,,Spot,2,Image 1,8,1000188973,188973,
1.12976e+08,,Spot,2,Image 1,9,1000188973,188974,
1.09031e+08,,Spot,2,Image 1,10,1000188973,188975,
1.12606e+08,,Spot,2,Image 1,11,1000188973,188976,
1.13135e+08,,Spot,2,Image 1,12,1000188973,188977,
1.0942e+08,,Spot,2,Image 1,13,1000188973,188978,
1.03541e+08,,Spot,2,Image 1,14,1000188973,188979,
1.2916e+08,,Spot,2,Image 1,15,1000188973,188980,
1.91343e+08,,Spot,2,Image 1,46,1000188985,188985,
1.90429e+08,,Spot,2,Image 1,47,1000188985,188986,
1.96765e+08,,Spot,2,Image 1,48,1000188985,188987,
1.96833e+08,,Spot,2,Image 1,49,1000188985,188988,
1.9684e+08,,Spot,2,Image 1,50,1000188985,188989,
1.9095e+08,,Spot,2,Image 1,51,1000188985,188990,
1.90014e+08,,Spot,2,Image 1,52,1000188985,188991,
1.92408e+08,,Spot,2,Image 1,76,1000188994,188994,
1.91708e+08,,Spot,2,Image 1,77,1000188994,188995,
1.97847e+08,,Spot,2,Image 1,78,1000188994,188996,
1.90613e+08,,Spot,2,Image 1,79,1000188994,188997,
1.98271e+08,,Spot,2,Image 1,158,1000189006,189006,
1.91914e+08,,Spot,2,Image 1,159,1000189006,189007,
1.92169e+08,,Spot,2,Image 1,160,1000189006,189008,
1.93218e+08,,Spot,2,Image 1,195,1000189009,189009,
1.93096e+08,,Spot,2,Image 1,196,1000189009,189010,
1.93327e+08,,Spot,2,Image 1,197,1000189009,189011,
1.92795e+08,,Spot,2,Image 1,198,1000189009,189012,
1.98609e+08,,Spot,2,Image 1,248,1000189013,189013,
1.98516e+08,,Spot,2,Image 1,249,1000189013,189014,
1.91868e+08,,Spot,2,Image 1,250,1000189013,189015,
1.9113e+08,,Spot,2,Image 1,251,1000189013,189016,
1.92243e+08,,Spot,2,Image 1,252,1000189013,189017,
2.01329e+08,,Spot,2,Image 1,270,1000189020,189020,
1.93852e+08,,Spot,2,Image 1,271,1000189020,189021,
1.93442e+08,,Spot,2,Image 1,272,1000189020,189022,
2.00121e+08,,Spot,2,Image 1,63,1000189023,189023,
1.9551e+08,,Spot,2,Image 1,64,1000189023,189024,
1.95157e+08,,Spot,2,Image 1,65,1000189023,189025,
1.93304e+08,,Spot,2,Image 1,177,1000189026,189026,
1.97197e+08,,Spot,2,Image 1,178,1000189026,189027,
1.90912e+08,,Spot,2,Image 1,179,1000189026,189028,
1.9975e+08,,Spot,2,Image 1,180,1000189026,189029,
1.94451e+08,,Spot,2,Image 1,327,1000189030,189030,
1.96007e+08,,Spot,2,Image 1,328,1000189030,189031,
2.01457e+08,,Spot,2,Image 1,329,1000189030,189032,
1.9326e+08,,Spot,2,Image 1,330,1000189030,189033,
1.95517e+08,,Spot,2,Image 1,347,1000189035,189035,
2.02094e+08,,Spot,2,Image 1,348,1000189035,189036,
2.01552e+08,,Spot,2,Image 1,349,1000189035,189037,
1.95239e+08,,Spot,2,Image 1,346,1000189035,189038,
