
Overall
 ==================== 
Variable,Value,Unit,Time,ID,
Number of Spots per Time Point,0,,1,,
Number of Spots per Time Point,0,,2,,
Number of Spots per Time Point,0,,3,,
Number of Spots per Time Point,0,,4,,
Number of Spots per Time Point,0,,5,,
Number of Spots per Time Point,0,,6,,
Number of Spots per Time Point,0,,7,,
Number of Spots per Time Point,1,,8,,
Number of Spots per Time Point,1,,9,,
Number of Spots per Time Point,1,,10,,
Number of Spots per Time Point,1,,11,,
Number of Spots per Time Point,1,,12,,
Number of Spots per Time Point,1,,13,,
Number of Spots per Time Point,1,,14,,
Number of Spots per Time Point,1,,15,,
Number of Spots per Time Point,0,,16,,
Number of Spots per Time Point,0,,17,,
Number of Spots per Time Point,0,,18,,
Number of Spots per Time Point,0,,19,,
Number of Spots per Time Point,0,,20,,
Number of Spots per Time Point,0,,21,,
Number of Spots per Time Point,0,,22,,
Number of Spots per Time Point,0,,23,,
Number of Spots per Time Point,0,,24,,
Number of Spots per Time Point,0,,25,,
Number of Spots per Time Point,0,,26,,
Number of Spots per Time Point,0,,27,,
Number of Spots per Time Point,0,,28,,
Number of Spots per Time Point,0,,29,,
Number of Spots per Time Point,0,,30,,
Number of Spots per Time Point,0,,31,,
Number of Spots per Time Point,0,,32,,
Number of Spots per Time Point,0,,33,,
Number of Spots per Time Point,0,,34,,
Number of Spots per Time Point,0,,35,,
Number of Spots per Time Point,0,,36,,
Number of Spots per Time Point,0,,37,,
Number of Spots per Time Point,0,,38,,
Number of Spots per Time Point,0,,39,,
Number of Spots per Time Point,0,,40,,
Number of Spots per Time Point,0,,41,,
Number of Spots per Time Point,0,,42,,
Number of Spots per Time Point,0,,43,,
Number of Spots per Time Point,0,,44,,
Number of Spots per Time Point,0,,45,,
Number of Spots per Time Point,1,,46,,
Number of Spots per Time Point,1,,47,,
Number of Spots per Time Point,1,,48,,
Number of Spots per Time Point,1,,49,,
Number of Spots per Time Point,1,,50,,
Number of Spots per Time Point,1,,51,,
Number of Spots per Time Point,1,,52,,
Number of Spots per Time Point,0,,53,,
Number of Spots per Time Point,0,,54,,
Number of Spots per Time Point,0,,55,,
Number of Spots per Time Point,0,,56,,
Number of Spots per Time Point,0,,57,,
Number of Spots per Time Point,0,,58,,
Number of Spots per Time Point,0,,59,,
Number of Spots per Time Point,0,,60,,
Number of Spots per Time Point,0,,61,,
Number of Spots per Time Point,0,,62,,
Number of Spots per Time Point,1,,63,,
Number of Spots per Time Point,1,,64,,
Number of Spots per Time Point,1,,65,,
Number of Spots per Time Point,0,,66,,
