
Time
 ==================== 
Time,Unit,Category,Time,TrackID,ID,
0.116667,min,Spot,8,1000188973,188973,
0.133333,min,Spot,9,1000188973,188974,
0.15,min,Spot,10,1000188973,188975,
0.166667,min,Spot,11,1000188973,188976,
0.183333,min,Spot,12,1000188973,188977,
0.2,min,Spot,13,1000188973,188978,
0.216667,min,Spot,14,1000188973,188979,
0.233333,min,Spot,15,1000188973,188980,
0.75,min,Spot,46,1000188985,188985,
0.766667,min,Spot,47,1000188985,188986,
0.783333,min,Spot,48,1000188985,188987,
0.8,min,Spot,49,1000188985,188988,
0.816667,min,Spot,50,1000188985,188989,
0.833333,min,Spot,51,1000188985,188990,
0.85,min,Spot,52,1000188985,188991,
1.25,min,Spot,76,1000188994,188994,
1.26667,min,Spot,77,1000188994,188995,
1.28333,min,Spot,78,1000188994,188996,
1.3,min,Spot,79,1000188994,188997,
2.61667,min,Spot,158,1000189006,189006,
2.63333,min,Spot,159,1000189006,189007,
2.65,min,Spot,160,1000189006,189008,
3.23333,min,Spot,195,1000189009,189009,
3.25,min,Spot,196,1000189009,189010,
3.26667,min,Spot,197,1000189009,189011,
3.28333,min,Spot,198,1000189009,189012,
4.11667,min,Spot,248,1000189013,189013,
4.13333,min,Spot,249,1000189013,189014,
4.15,min,Spot,250,1000189013,189015,
4.16667,min,Spot,251,1000189013,189016,
4.18333,min,Spot,252,1000189013,189017,
4.48333,min,Spot,270,1000189020,189020,
4.5,min,Spot,271,1000189020,189021,
4.51667,min,Spot,272,1000189020,189022,
1.03333,min,Spot,63,1000189023,189023,
1.05,min,Spot,64,1000189023,189024,
1.06667,min,Spot,65,1000189023,189025,
2.93333,min,Spot,177,1000189026,189026,
2.95,min,Spot,178,1000189026,189027,
2.96667,min,Spot,179,1000189026,189028,
2.98333,min,Spot,180,1000189026,189029,
5.43333,min,Spot,327,1000189030,189030,
5.45,min,Spot,328,1000189030,189031,
5.46667,min,Spot,329,1000189030,189032,
5.48333,min,Spot,330,1000189030,189033,
5.76667,min,Spot,347,1000189035,189035,
5.78333,min,Spot,348,1000189035,189036,
5.8,min,Spot,349,1000189035,189037,
5.75,min,Spot,346,1000189035,189038,
