
Time Index
 ==================== 
Time Index,Unit,Category,Time,TrackID,ID,
8,,Spot,8,1000188973,188973,
9,,Spot,9,1000188973,188974,
10,,Spot,10,1000188973,188975,
11,,Spot,11,1000188973,188976,
12,,Spot,12,1000188973,188977,
13,,Spot,13,1000188973,188978,
14,,Spot,14,1000188973,188979,
15,,Spot,15,1000188973,188980,
46,,Spot,46,1000188985,188985,
47,,Spot,47,1000188985,188986,
48,,Spot,48,1000188985,188987,
49,,Spot,49,1000188985,188988,
50,,Spot,50,1000188985,188989,
51,,Spot,51,1000188985,188990,
52,,Spot,52,1000188985,188991,
76,,Spot,76,1000188994,188994,
77,,Spot,77,1000188994,188995,
78,,Spot,78,1000188994,188996,
79,,Spot,79,1000188994,188997,
158,,Spot,158,1000189006,189006,
159,,Spot,159,1000189006,189007,
160,,Spot,160,1000189006,189008,
195,,Spot,195,1000189009,189009,
196,,Spot,196,1000189009,189010,
197,,Spot,197,1000189009,189011,
198,,Spot,198,1000189009,189012,
248,,Spot,248,1000189013,189013,
249,,Spot,249,1000189013,189014,
250,,Spot,250,1000189013,189015,
251,,Spot,251,1000189013,189016,
252,,Spot,252,1000189013,189017,
270,,Spot,270,1000189020,189020,
271,,Spot,271,1000189020,189021,
272,,Spot,272,1000189020,189022,
63,,Spot,63,1000189023,189023,
64,,Spot,64,1000189023,189024,
65,,Spot,65,1000189023,189025,
177,,Spot,177,1000189026,189026,
178,,Spot,178,1000189026,189027,
179,,Spot,179,1000189026,189028,
180,,Spot,180,1000189026,189029,
327,,Spot,327,1000189030,189030,
328,,Spot,328,1000189030,189031,
329,,Spot,329,1000189030,189032,
330,,Spot,330,1000189030,189033,
347,,Spot,347,1000189035,189035,
348,,Spot,348,1000189035,189036,
349,,Spot,349,1000189035,189037,
346,,Spot,346,1000189035,189038,
