
Track Position
 ==================== 
Track Position X Mean,Track Position Y Mean,Track Position Z Mean,Unit,Category,Collection,ID,
72.7712,36.1761,31.7539,µm,Track,Track Position,1000188973,
38.4592,20.7778,19.2468,µm,Track,Track Position,1000188985,
49.815,36.2598,29.2875,µm,Track,Track Position,1000188994,
37.4139,19.9081,42.2613,µm,Track,Track Position,1000189006,
61.6515,35.0675,29.3324,µm,Track,Track Position,1000189009,
40.2709,49.0012,23.9092,µm,Track,Track Position,1000189013,
46.5363,27.9444,30.1593,µm,Track,Track Position,1000189020,
42.9842,45.5661,28.3112,µm,Track,Track Position,1000189023,
39.1216,16.8945,32.2993,µm,Track,Track Position,1000189026,
43.7567,58.5286,19.0369,µm,Track,Track Position,1000189030,
40.467,22.4401,20.2207,µm,Track,Track Position,1000189035,
