
Track Position Start
 ==================== 
Track Position X Start,Track Position Y Start,Track Position Z Start,Unit,Category,Collection,ID,
72.1441,36.1543,31.1498,µm,Track,Track Position Start,1000188973,
37.9374,20.2734,19.7805,µm,Track,Track Position Start,1000188985,
49.431,36.4822,27.9562,µm,Track,Track Position Start,1000188994,
37.574,20.0299,42.4142,µm,Track,Track Position Start,1000189006,
61.4846,34.3978,28.2527,µm,Track,Track Position Start,1000189009,
40.2934,48.7754,24.7612,µm,Track,Track Position Start,1000189013,
46.7704,27.9444,30.3916,µm,Track,Track Position Start,1000189020,
42.9024,45.7616,28.4887,µm,Track,Track Position Start,1000189023,
38.863,16.4988,31.9053,µm,Track,Track Position Start,1000189026,
43.9105,57.4666,18.9037,µm,Track,Track Position Start,1000189030,
40.3535,21.9781,20.6098,µm,Track,Track Position Start,1000189035,
