
Track Position X Mean
 ==================== 
Track Position X Mean,Unit,Category,Collection,ID,
72.7712,µm,Track,Track Position,1000188973,
38.4592,µm,Track,Track Position,1000188985,
49.815,µm,Track,Track Position,1000188994,
37.4139,µm,Track,Track Position,1000189006,
61.6515,µm,Track,Track Position,1000189009,
40.2709,µm,Track,Track Position,1000189013,
46.5363,µm,Track,Track Position,1000189020,
42.9842,µm,Track,Track Position,1000189023,
39.1216,µm,Track,Track Position,1000189026,
43.7567,µm,Track,Track Position,1000189030,
40.467,µm,Track,Track Position,1000189035,
