
Track Position X Start
 ==================== 
Track Position X Start,Unit,Category,Collection,ID,
72.1441,µm,Track,Track Position Start,1000188973,
37.9374,µm,Track,Track Position Start,1000188985,
49.431,µm,Track,Track Position Start,1000188994,
37.574,µm,Track,Track Position Start,1000189006,
61.4846,µm,Track,Track Position Start,1000189009,
40.2934,µm,Track,Track Position Start,1000189013,
46.7704,µm,Track,Track Position Start,1000189020,
42.9024,µm,Track,Track Position Start,1000189023,
38.863,µm,Track,Track Position Start,1000189026,
43.9105,µm,Track,Track Position Start,1000189030,
40.3535,µm,Track,Track Position Start,1000189035,
