
Track Position Y Mean
 ==================== 
Track Position Y Mean,Unit,Category,Collection,ID,
36.1761,µm,Track,Track Position,1000188973,
20.7778,µm,Track,Track Position,1000188985,
36.2598,µm,Track,Track Position,1000188994,
19.9081,µm,Track,Track Position,1000189006,
35.0675,µm,Track,Track Position,1000189009,
49.0012,µm,Track,Track Position,1000189013,
27.9444,µm,Track,Track Position,1000189020,
45.5661,µm,Track,Track Position,1000189023,
16.8945,µm,Track,Track Position,1000189026,
58.5286,µm,Track,Track Position,1000189030,
22.4401,µm,Track,Track Position,1000189035,
