
Track Position Z Mean
 ==================== 
Track Position Z Mean,Unit,Category,Collection,ID,
31.7539,µm,Track,Track Position,1000188973,
19.2468,µm,Track,Track Position,1000188985,
29.2875,µm,Track,Track Position,1000188994,
42.2613,µm,Track,Track Position,1000189006,
29.3324,µm,Track,Track Position,1000189009,
23.9092,µm,Track,Track Position,1000189013,
30.1593,µm,Track,Track Position,1000189020,
28.3112,µm,Track,Track Position,1000189023,
32.2993,µm,Track,Track Position,1000189026,
19.0369,µm,Track,Track Position,1000189030,
20.2207,µm,Track,Track Position,1000189035,
