
Track Position Z Start
 ==================== 
Track Position Z Start,Unit,Category,Collection,ID,
31.1498,µm,Track,Track Position Start,1000188973,
19.7805,µm,Track,Track Position Start,1000188985,
27.9562,µm,Track,Track Position Start,1000188994,
42.4142,µm,Track,Track Position Start,1000189006,
28.2527,µm,Track,Track Position Start,1000189009,
24.7612,µm,Track,Track Position Start,1000189013,
30.3916,µm,Track,Track Position Start,1000189020,
28.4887,µm,Track,Track Position Start,1000189023,
31.9053,µm,Track,Track Position Start,1000189026,
18.9037,µm,Track,Track Position Start,1000189030,
20.6098,µm,Track,Track Position Start,1000189035,
